# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID00C3.BIN	F0	0	26	1FB2	宝石	Gemstone	
et/ID00C3.BIN	F0	1	32	1FB2	魔石	Magic Stone	
et/ID00C3.BIN	F0	2	38	1FB2	ＭＡＧ	MAG	
et/ID00C3.BIN	F0	3	46	1FB2	金	Money	
et/ID00C3.BIN	F0	4	50	1FB2	他の物	Other	
et/ID00C3.BIN	F0	5	102	1FB2	アイスクリーム	Ice Cream	
et/ID00C3.BIN	F0	6	118	1FB2	フロスト子を作る	Make Frosty	
et/ID00C3.BIN	F0	7	136	1FB2	やめる	Cancel	
et/ID00C3.BIN	F0	8	142	1FB2	他の物	Other	
et/ID00C3.BIN	F0	9	336	1FBA	スキだらけだ！\n＞攻撃しますか？\n	It's wide open!\n>Attack it?\n	
et/ID00C3.BIN	F0	10	515	1FBA	スキだらけだ！\n＞攻撃しますか？\n	It's wide open!\n>Attack it?\n	
et/ID00C3.BIN	F0	11	647	1FB2	駄目ったら駄目！	No means no!	
et/ID00C3.BIN	F0	12	663	1FB2	仕方ないな	I guess so	
et/ID00C3.BIN	F0	13	673	1FB2	もう持ってない	Don't Have Any	
et/ID00C3.BIN	F0	14	858	1FFB	疲れた	Tired	
et/ID00C3.BIN	F0	15	905	1FFB	出来た！\n<wait>	Done!\n<wait>	
et/ID00C3.BIN	F0	16	983	1FB2	フロスト子ちゃん	Frosty-chan	
et/ID00C3.BIN	F0	17	1001	1FB2	何でもないです	It's Nothing	
et/ID00C3.BIN	F0	18	1107	1FB2	ひたすら作る	Just Build	
et/ID00C3.BIN	F0	19	1121	1FB2	返事をする	Reply	
et/ID00C3.BIN	F0	20	1197	1FB2	謝る	Oops	
et/ID00C3.BIN	F0	21	1203	1FB2	一緒に作ろう	Let's Build	
et/ID00C3.BIN	F0	22	1217	1FB2	ひたすら作る	Just Build	
et/ID00C3.BIN	F0	23	1291	1FBA	二人で雪だるまを作っている	Making a snowman together	
et/ID00C3.BIN	F0	24	1332	1FFB	出来た！\n	Done!\n	
et/ID00C3.BIN	F0	25	1363	1FFB	あっ！崩してしまった！\n<wait>	Oh! It collapsed!\n<wait>	
