# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS0026.BIN	F0	0	7	1FD0	There's no one here...\n	There's no one here...\n	
m/MS0026.BIN	F0	1	38	1FD2	Man:	Man:	
m/MS0026.BIN	F0	2	120	1FD2	Man:	Man:	
m/MS0026.BIN	F0	3	126	1FD3	Damn. Now I really wish I would have visited there\nwhile I still had the chance.\n<wait>	Damn. Now I really wish I would have visited there\nwhile I still had the chance.\n<wait>	
m/MS0026.BIN	F0	4	283	1FD2	Man:	Man:	
m/MS0026.BIN	F0	5	289	1FD3	There are these beautiful priestesses there that make you\nfeel good in all sorts of ways!\n<wait>	There are these beautiful priestesses there that make you\nfeel good in all sorts of ways!\n<wait>	
m/MS0026.BIN	F0	6	387	1FD2	Man:	Man:	
m/MS0026.BIN	F0	7	393	1FD3	I highly suggest that you pay them a visit if you haven't already.\nDoesn't even cost a penny!\n<wait>	I highly suggest that you pay them a visit if you haven't already.\nDoesn't even cost a penny!\n<wait>	
m/MS0026.BIN	F0	8	497	1FD2	Man:	Man:	
m/MS0026.BIN	F0	9	646	1FD0	The man seems completely out of it.\n<wait>	The man seems completely out of it.\n<wait>	
m/MS0026.BIN	F0	10	692	1FD2	Cambion:	Cambion:	
m/MS0026.BIN	F0	11	844	1FD2	Cambion:	Cambion:	
m/MS0026.BIN	F0	12	854	1FD3	One of them is Mother Venus.\nTheir central doctrine is that of free sex.\n<wait>	One of them is Mother Venus.\nTheir central doctrine is that of free sex.\n<wait>	
m/MS0026.BIN	F0	13	935	1FD2	Cambion:	Cambion:	
m/MS0026.BIN	F0	14	945	1FD3	If you think of yourself as a man,\nthen you owe it to yourself to pay them a visit!\n<wait>	If you think of yourself as a man,\nthen you owe it to yourself to pay them a visit!\n<wait>	
m/MS0026.BIN	F0	15	1039	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	16	1243	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	17	1251	1FD3	I asked a friend of mine who knows this stuff,\nand he told me it sounded just like how trains used to.\n<wait>	I asked a friend of mine who knows this stuff,\nand he told me it sounded just like how trains used to.\n<wait>	
m/MS0026.BIN	F0	18	1362	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	19	1370	1FD3	How silly. Trains haven't been running for years!\n<wait>	How silly. Trains haven't been running for years!\n<wait>	
m/MS0026.BIN	F0	20	1430	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	21	1751	1FD2	Ishtarite:	Ishtarite:	
m/MS0026.BIN	F0	22	1936	1FB2	Yes	Yes	
m/MS0026.BIN	F0	23	1941	1FB2	No	No	
m/MS0026.BIN	F0	24	1965	1FD2	Ishtarite:	Ishtarite:	
m/MS0026.BIN	F0	25	1977	1FD3	Excellent!\n<wait>	Excellent!\n<wait>	
m/MS0026.BIN	F0	26	1996	1FD2	Ishtarite:	Ishtarite:	
m/MS0026.BIN	F0	27	2008	1FD3	Please head over to the temple.\n<wait>	Please head over to the temple.\n<wait>	
m/MS0026.BIN	F0	28	2049	1FD2	Ishtarite:	Ishtarite:	
m/MS0026.BIN	F0	29	2061	1FD3	Huh...\n<wait>	Huh...\n<wait>	
m/MS0026.BIN	F0	30	2076	1FD2	Ishtarite:	Ishtarite:	
m/MS0026.BIN	F0	31	2088	1FD3	I still recommend that you visit the temple.\nThe maidens there will do their all to help ease your fatigue.\n<wait>	I still recommend that you visit the temple.\nThe maidens there will do their all to help ease your fatigue.\n<wait>	
m/MS0026.BIN	F0	32	2240	1FD2	Man:	Man:	
m/MS0026.BIN	F0	33	2326	1FD2	Man:	Man:	
m/MS0026.BIN	F0	34	2332	1FD3	Hope that guy is ready, because he's just made a loot of enemies. Haha!\n<wait>	Hope that guy is ready, because he's just made a loot of enemies. Haha!\n<wait>	
m/MS0026.BIN	F0	35	2485	1FD2	Man:	Man:	
m/MS0026.BIN	F0	36	2491	1FD3	It might be ran by demons, but as long as you got the cash,\nthey'll let you party hard.\n<wait>	It might be ran by demons, but as long as you got the cash,\nthey'll let you party hard.\n<wait>	
m/MS0026.BIN	F0	37	2587	1FD2	Man:	Man:	
m/MS0026.BIN	F0	38	2593	1FD3	I kinda want to try that out...\n<wait>	I kinda want to try that out...\n<wait>	
m/MS0026.BIN	F0	39	2635	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	40	2966	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	41	2974	1FD3	Many people visit there for the red-light district.\nIf you ever happen to drop by, I suggest that you remain cautious.\n<wait>	Many people visit there for the red-light district.\nIf you ever happen to drop by, I suggest that you remain cautious.\n<wait>	
m/MS0026.BIN	F0	42	3103	1FD2	Man:	Man:	
m/MS0026.BIN	F0	43	3304	1FD2	Man:	Man:	
m/MS0026.BIN	F0	44	3310	1FD3	I almost feel bad for the women...\n<wait>	I almost feel bad for the women...\n<wait>	
m/MS0026.BIN	F0	45	3427	1FB2	Yes	Yes	
m/MS0026.BIN	F0	46	3432	1FB2	No	No	
m/MS0026.BIN	F0	47	3456	1FD2	Man:	Man:	
m/MS0026.BIN	F0	48	3462	1FD3	Heh. Makes sense. You are a man, after all.\n<wait>	Heh. Makes sense. You are a man, after all.\n<wait>	
m/MS0026.BIN	F0	49	3515	1FD2	Man:	Man:	
m/MS0026.BIN	F0	50	3521	1FD3	Oh, really? That's interesting.\n<wait>	Oh, really? That's interesting.\n<wait>	
m/MS0026.BIN	F0	51	3561	1FD2	Man:	Man:	
m/MS0026.BIN	F0	52	3567	1FD3	There's no reason to force yourself.\n<wait>	There's no reason to force yourself.\n<wait>	
m/MS0026.BIN	F0	53	3727	1FD2	Man:	Man:	
m/MS0026.BIN	F0	54	3765	1FD2	Man:	Man:	
m/MS0026.BIN	F0	55	3771	1FD3	Apparently, that thing built above the Government Office is a castle\nbelonging to Bael. Didn't the Resistance take that guy out a while ago?\n<wait>	Apparently, that thing built above the Government Office is a castle\nbelonging to Bael. Didn't the Resistance take that guy out a while ago?\n<wait>	
m/MS0026.BIN	F0	56	3994	1FD2	Man:	Man:	
m/MS0026.BIN	F0	57	4000	1FD3	No one knows where that thing connects.\n<wait>	No one knows where that thing connects.\n<wait>	
m/MS0026.BIN	F0	58	4072	1FD2	Man:	Man:	
m/MS0026.BIN	F0	59	4321	1FD2	Man:	Man:	
m/MS0026.BIN	F0	60	4327	1FD3	Sometimes, when I'm sure no one has gone in there,\nI will catch a person walking out.\n<wait>	Sometimes, when I'm sure no one has gone in there,\nI will catch a person walking out.\n<wait>	
m/MS0026.BIN	F0	61	4421	1FD2	Man:	Man:	
m/MS0026.BIN	F0	62	4427	1FD3	What's even spookier that this always happens during a new moon.\n	What's even spookier that this always happens during a new moon.\n	
m/MS0026.BIN	F0	63	4520	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	64	4753	1FB2	You got me	You got me	
m/MS0026.BIN	F0	65	4765	1FB2	What's that?	What's that?	
m/MS0026.BIN	F0	66	4799	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	67	4807	1FD3	I knew it! All you men are the same!\n{0B}_	I knew it! All you men are the same!\n{0B}_	runtime inserts: reproduce every {XX} token, in order
m/MS0026.BIN	F0	68	4857	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	69	4865	1FD3	Then, once you've saved up enough money,\nyou head down straight to Roppongi!\n	Then, once you've saved up enough money,\nyou head down straight to Roppongi!\n	
m/MS0026.BIN	F0	70	4947	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	71	4955	1FD3	Oh? You don't know? That's rare.\n<wait>	Oh? You don't know? That's rare.\n<wait>	
m/MS0026.BIN	F0	72	4996	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	73	5004	1FD3	Mother Venus is a religious group that worships a goddess\nby the name of Ishtar.\n<wait>	Mother Venus is a religious group that worships a goddess\nby the name of Ishtar.\n<wait>	
m/MS0026.BIN	F0	74	5093	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	75	5101	1FD3	They claim to offer "love" and "compassion" for all those\nwho visit their temples.\n<wait>In reality, they're simply running a prostitution ring.\n<wait>	They claim to offer "love" and "compassion" for all those\nwho visit their temples.\n<wait>In reality, they're simply running a prostitution ring.\n<wait>	
m/MS0026.BIN	F0	76	5252	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	77	5260	1FD3	Many men come here looking for just that.\n	Many men come here looking for just that.\n	
m/MS0026.BIN	F0	78	5430	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	79	5438	1FD3	If you open one during a full moon, there'll always be a gemstone inside.\nOnce opened, the chest will remain empty until next full moon.\n<wait>	If you open one during a full moon, there'll always be a gemstone inside.\nOnce opened, the chest will remain empty until next full moon.\n<wait>	
m/MS0026.BIN	F0	80	5583	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	81	5591	1FD3	Huh? Have I ever opened one, you ask?\n<wait>	Huh? Have I ever opened one, you ask?\n<wait>	
m/MS0026.BIN	F0	82	5637	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	83	5645	1FD3	No, I have not. For one, I wouldn't know where to find such a thing.\nAlso, it's said that demons go wild during a full moon.\n<wait>	No, I have not. For one, I wouldn't know where to find such a thing.\nAlso, it's said that demons go wild during a full moon.\n<wait>	
m/MS0026.BIN	F0	84	5778	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	85	5786	1FD3	It's hardly worth it risking my life for a single gemstone.\n	It's hardly worth it risking my life for a single gemstone.\n	
m/MS0026.BIN	F0	86	5896	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	87	5980	1FD2	Girl:	Girl:	
m/MS0026.BIN	F0	88	5987	1FD3	It looks like a castle!\n<wait>	It looks like a castle!\n<wait>	
m/MS0026.BIN	F0	89	6019	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	90	6027	1FD3	What is going to happen to our Tokyo?...\n	What is going to happen to our Tokyo?...\n	
m/MS0026.BIN	F0	91	6185	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	92	6193	1FD3	I kinda want to move. Then again, where would we go?\n<wait>	I kinda want to move. Then again, where would we go?\n<wait>	
m/MS0026.BIN	F0	93	6254	1FD2	Girl:	Girl:	
m/MS0026.BIN	F0	94	6261	1FD3	Mommy, Mommy! What's a "prostitute"?\n<wait>	Mommy, Mommy! What's a "prostitute"?\n<wait>	
m/MS0026.BIN	F0	95	6306	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	96	6314	1FD3	You're too young to know!\n	You're too young to know!\n	
m/MS0026.BIN	F0	97	6368	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	98	6497	1FB2	Yeah	Yeah	
m/MS0026.BIN	F0	99	6503	1FB2	Not really	Not really	
m/MS0026.BIN	F0	100	6535	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	101	6543	1FD3	Well, I'm sorry, but I don't know you.\n<wait>	Well, I'm sorry, but I don't know you.\n<wait>	
m/MS0026.BIN	F0	102	6590	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	103	6598	1FD3	Get lost!\n	Get lost!\n	
m/MS0026.BIN	F0	104	6613	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	105	6621	1FD3	Oh. Well, in that case, could you please leave?\n	Oh. Well, in that case, could you please leave?\n	
m/MS0026.BIN	F0	106	6736	1FD2	Woman:	Woman:	
m/MS0026.BIN	F0	107	6744	1FD3	If you want company, then I suggest visiting the temple of Mother Venus.\n	If you want company, then I suggest visiting the temple of Mother Venus.\n	
m/MS0026.BIN	F0	108	6845	1FD2	Man:	Man:	
m/MS0026.BIN	F0	109	7086	1FD2	Man:	Man:	
m/MS0026.BIN	F0	110	7158	1FD2	Man:	Man:	
m/MS0026.BIN	F0	111	7164	1FD3	都庁と何か関係あるのかね{02}データ		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	112	7285	1FD2	Man:	Man:	
m/MS0026.BIN	F0	113	7291	1FD3	That might be the reason why they seem to behave much better here\nthan they do anywhere else.\n	That might be the reason why they seem to behave much better here\nthan they do anywhere else.\n	
m/MS0026.BIN	F0	114	7419	1FD2	娼婦：	Prostitute:	
m/MS0026.BIN	F0	115	7472	1FD2	娼婦：	Prostitute:	
m/MS0026.BIN	F0	116	7480	1FD3	もっと‥‥もっと昔に生まれていれば{02}じゃd\n		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	117	7560	1FD2	娼婦：	Prostitute:	
m/MS0026.BIN	F0	118	7568	1FD3	プリンスホテルが、住居にちょうどイイらしいわ。\n	Apparently the Prince Hotel makes for pretty decent housing.\n	
m/MS0026.BIN	F0	119	7660	1FD2	娼婦：	Prostitute:	
m/MS0026.BIN	F0	120	7668	1FD3	やだぁー。\nせっかく、六本木に移って稼ごうと思ったのに！\n	Ugh, no way.\nAnd here I was planning to move to Roppongi and make some real money!\n	
m/MS0026.BIN	F0	121	7787	1FD2	娼婦：	Prostitute:	
m/MS0026.BIN	F0	122	7795	1FD3	They don't charge a penny, meaning that their visitors are free\nto spend their money here.\n	They don't charge a penny, meaning that their visitors are free\nto spend their money here.\n	
m/MS0026.BIN	F0	123	7914	1FD2	Man:	Man:	
m/MS0026.BIN	F0	124	7976	1FD2	Man:	Man:	
m/MS0026.BIN	F0	125	7982	1FD3	このまま奴が、力を拡大したら{02}バスターr\nここは‥‥東京は生き地獄になってしまう{02}じゃd。\n		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	126	8111	1FD2	Man:	Man:	
m/MS0026.BIN	F0	127	8117	1FD3	何でそう思うかって？\n<wait>	Why do I think that, you ask?\n<wait>	
m/MS0026.BIN	F0	128	8144	1FD2	Man:	Man:	
m/MS0026.BIN	F0	129	8150	1FD3	最近、そっち方面に住みかを求めて行く奴が多いんだよ。\n誰も多くの悪魔を駆逐してまで、移住しようとは思わないからな。\n	Lately, a lot of people have been looking to settle in that direction.\nNo one wants to go through the trouble of driving out a bunch of demons just to move in.\n	
m/MS0026.BIN	F0	130	8326	1FB2	Yeah	Yeah	
m/MS0026.BIN	F0	131	8332	1FB2	Nope	Nope	
m/MS0026.BIN	F0	132	8358	1FD2	Man:	Man:	
m/MS0026.BIN	F0	133	8364	1FD3	Myself, I don't like it one bit.\n<wait>	Myself, I don't like it one bit.\n<wait>	
m/MS0026.BIN	F0	134	8405	1FD2	Man:	Man:	
m/MS0026.BIN	F0	135	8411	1FD3	It's probably some demon making it move, but what for?\nI just don't get it.\n<wait>	It's probably some demon making it move, but what for?\nI just don't get it.\n<wait>	
m/MS0026.BIN	F0	136	8495	1FD2	Man:	Man:	
m/MS0026.BIN	F0	137	8501	1FD3	It even runs both ways!\n	It even runs both ways!\n	
m/MS0026.BIN	F0	138	8530	1FD2	Man:	Man:	
m/MS0026.BIN	F0	139	8536	1FD3	They say that if you visit Shinbashi station late at night,\nyou can see a driverless train rolling in.\n<wait>	They say that if you visit Shinbashi station late at night,\nyou can see a driverless train rolling in.\n<wait>	
m/MS0026.BIN	F0	140	8647	1FD2	Man:	Man:	
m/MS0026.BIN	F0	141	8653	1FD3	If you hop on, it'll take you all the way to Shinagawa.\n	If you hop on, it'll take you all the way to Shinagawa.\n	
m/MS0026.BIN	F0	142	8753	1FD2	バール兵：	Baal Soldier:	
m/MS0026.BIN	F0	143	8765	1FD3	ここはお前のような奴が、立ち入る事は許{03}{0C}ん！\n出て行くが良い。\n<wait>	The likes of you are not permitted{03}{0C} to set foot here!\nGet out.\n<wait>	runtime inserts: reproduce every {XX} token, in order
m/MS0026.BIN	F0	144	8831	1FD0	一行は、{01}.を追い出{03}{0C}た。\n		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	145	8890	1FD2	バール兵：	Baal Soldier:	
m/MS0026.BIN	F0	146	8902	1FD3	{02}山瀬バスターr\n<wait>		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	147	8915	1FBA	{0B}ﾔ{02}		suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	148	8922	1FD0	バール兵は、無視している{02}じゃd\n		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	149	9006	1FBA	こう言う手合いは、なるべく刺激しないに限る。\n一行はそっと{01}.を後にした。\n		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	150	9085	1FB2	話しかける	Talk to it	
m/MS0026.BIN	F0	151	9093	1FB2	くすぐる	Tickle it	
m/MS0026.BIN	F0	152	9103	1FB2	{01}.を出る		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	153	9137	1FD2	バール兵：	Baal Soldier:	
m/MS0026.BIN	F0	154	9149	1FD3	{02}山瀬バスターr\n<wait>		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	155	9164	1FD0	バール兵は、	The Baal Soldier,	
m/MS0026.BIN	F0	156	9210	1FD0	無視するならば、実力行使。\n	If it's going to ignore you, then it's time for force.\n	
m/MS0026.BIN	F0	157	9276	1FFA	{02}山瀬山瀬じゃd\n<wait>		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	158	9297	1FFA	バール兵は、顔色一つ変えずに立っている‥‥\n	The Baal Soldier stands there without so much as a flinch...\n	
m/MS0026.BIN	F0	159	9348	1FB2	もっとやる	Keep going	
m/MS0026.BIN	F0	160	9358	1FB2	怖いから出る	Leave, I'm scared	
m/MS0026.BIN	F0	161	9427	1FFA	{02}山瀬山瀬じゃd\n<wait>		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	162	9448	1FFA	{03}{0B}バール兵は顔色一つ変えず、\n冷たい瞳で	Without so much as a flinch, the Baal Soldier fixes {03}{0B}\nwith a cold stare,	runtime inserts: reproduce every {XX} token, in order
m/MS0026.BIN	F0	163	9510	1FBA	これ以上やると、何を{03}{0C}るかわからない。\n	Keep this up, and there's no telling what might{03}{0C}.\n	runtime inserts: reproduce every {XX} token, in order
m/MS0026.BIN	F0	164	9579	1FD0	なるべく、刺激しない方がよいだろう。\n	Best not to provoke it any further.\n	
m/MS0026.BIN	F0	165	9644	1FD0	バール兵は相変わらず無視している{02}データ<wait>		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	166	9713	1FD2	バール兵：	Baal Soldier:	
m/MS0026.BIN	F0	167	9725	1FD3	母なる金星の擁護する者でなければ、お前など八つ裂きにしてくれるものを‥‥！\n	Were you not under the protection of Mother Venus, I would tear you limb from limb...!\n	
m/MS0026.BIN	F0	168	9818	1FD2	バール兵：	Baal Soldier:	
m/MS0026.BIN	F0	169	9830	1FD3	お前などに話す事は無い！\n<wait>	I have nothing to say to the likes of you!\n<wait>	
m/MS0026.BIN	F0	170	9863	1FD0	一行は{01}.を追い出{03}{0C}てしまった。\n		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	171	9930	1FD2	バール兵：	Baal Soldier:	
m/MS0026.BIN	F0	172	9942	1FD3	{02}ただﾓん{02}じゃI\n立ち去れ！　ここはお前のいて良い所ではない！\n		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	173	10057	1FBA	こう言う手合いは、なるべく刺激しないに限る。\n一行はそっと{01}.を後にした。\n		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	174	10136	1FB2	立ち去る	Leave	
m/MS0026.BIN	F0	175	10146	1FB2	動かない	Stand your ground	
m/MS0026.BIN	F0	176	10212	1FD2	バール兵：	Baal Soldier:	
m/MS0026.BIN	F0	177	10224	1FD3	{02}{DICT:95}ｷこえなかったのか？\nここから出ていけと言ったのだ！\n<wait>		unresolved dictionary reference; runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	178	10281	1FD0	今にもバール兵は、	The Baal Soldier is on the verge of,	
m/MS0026.BIN	F0	179	10322	1FBA	この間のように、集団でかかってこられてはたまらない。\n	Getting swarmed by a whole group like last time would be unbearable.\n	
m/MS0026.BIN	F0	180	10420	1FD2	三四郎：	Sanshirou:	
m/MS0026.BIN	F0	181	10487	1FD2	三四郎：	Sanshirou:	
m/MS0026.BIN	F0	182	10493	1FD3	また、こいつらに集団でかかってこられたら、たまらないからな！\n<wait>	We can't have these guys swarming us again, that'd be rough!\n<wait>	
m/MS0026.BIN	F0	183	10586	1FD0	{01}.に入った途端、バール兵は		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	184	10637	1FD2	三四郎：	Sanshirou:	
m/MS0026.BIN	F0	185	10784	1FD2	バール兵：	Baal Soldier:	
m/MS0026.BIN	F0	186	10796	1FD3	お前などに話す事は無い！\n<wait>	I have nothing to say to the likes of you!\n<wait>	
m/MS0026.BIN	F0	187	10829	1FD0	一行は、{01}.を追い出{03}{0C}た。\n		runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS0026.BIN	F0	188	10888	1FD2	バール兵：	Baal Soldier:	
