# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS003B.BIN	F0	0	162	1FB2	45F	45F	
m/MS003B.BIN	F0	1	167	1FB2	37F	37F	
m/MS003B.BIN	F0	2	172	1FB2	44F	44F	
m/MS003B.BIN	F0	3	177	1FB2	36F	36F	
m/MS003B.BIN	F0	4	182	1FB2	43F	43F	
m/MS003B.BIN	F0	5	187	1FB2	35F	35F	
m/MS003B.BIN	F0	6	192	1FB2	42F	42F	
m/MS003B.BIN	F0	7	197	1FB2	34F	34F	
m/MS003B.BIN	F0	8	202	1FB2	41F	41F	
m/MS003B.BIN	F0	9	207	1FB2	33F	33F	
m/MS003B.BIN	F0	10	212	1FB2	40F	40F	
m/MS003B.BIN	F0	11	217	1FB2	3F	3F	
m/MS003B.BIN	F0	12	221	1FB2	39F	39F	
m/MS003B.BIN	F0	13	226	1FB2	2F	2F	
m/MS003B.BIN	F0	14	230	1FB2	38F	38F	
m/MS003B.BIN	F0	15	235	1FB2	Exit	Exit	
m/MS003B.BIN	F0	16	530	1FB2	45F	45F	
m/MS003B.BIN	F0	17	535	1FB2	37F	37F	
m/MS003B.BIN	F0	18	540	1FB2	44F	44F	
m/MS003B.BIN	F0	19	545	1FB2	36F	36F	
m/MS003B.BIN	F0	20	550	1FB2	43F	43F	
m/MS003B.BIN	F0	21	555	1FB2	35F	35F	
m/MS003B.BIN	F0	22	560	1FB2	42F	42F	
m/MS003B.BIN	F0	23	565	1FB2	34F	34F	
m/MS003B.BIN	F0	24	570	1FB2	41F	41F	
m/MS003B.BIN	F0	25	575	1FB2	33F	33F	
m/MS003B.BIN	F0	26	580	1FB2	40F	40F	
m/MS003B.BIN	F0	27	585	1FB2	3F	3F	
m/MS003B.BIN	F0	28	589	1FB2	39F	39F	
m/MS003B.BIN	F0	29	594	1FB2	1F	1F	
m/MS003B.BIN	F0	30	598	1FB2	38F	38F	
m/MS003B.BIN	F0	31	603	1FB2	Exit	Exit	
m/MS003B.BIN	F0	32	898	1FB2	45F	45F	
m/MS003B.BIN	F0	33	903	1FB2	37F	37F	
m/MS003B.BIN	F0	34	908	1FB2	44F	44F	
m/MS003B.BIN	F0	35	913	1FB2	36F	36F	
m/MS003B.BIN	F0	36	918	1FB2	43F	43F	
m/MS003B.BIN	F0	37	923	1FB2	35F	35F	
m/MS003B.BIN	F0	38	928	1FB2	42F	42F	
m/MS003B.BIN	F0	39	933	1FB2	34F	34F	
m/MS003B.BIN	F0	40	938	1FB2	41F	41F	
m/MS003B.BIN	F0	41	943	1FB2	33F	33F	
m/MS003B.BIN	F0	42	948	1FB2	40F	40F	
m/MS003B.BIN	F0	43	953	1FB2	2F	2F	
m/MS003B.BIN	F0	44	957	1FB2	39F	39F	
m/MS003B.BIN	F0	45	962	1FB2	1F	1F	
m/MS003B.BIN	F0	46	966	1FB2	38F	38F	
m/MS003B.BIN	F0	47	971	1FB2	Exit	Exit	
m/MS003B.BIN	F0	48	1266	1FB2	45F	45F	
m/MS003B.BIN	F0	49	1271	1FB2	37F	37F	
m/MS003B.BIN	F0	50	1276	1FB2	44F	44F	
m/MS003B.BIN	F0	51	1281	1FB2	36F	36F	
m/MS003B.BIN	F0	52	1286	1FB2	43F	43F	
m/MS003B.BIN	F0	53	1291	1FB2	35F	35F	
m/MS003B.BIN	F0	54	1296	1FB2	42F	42F	
m/MS003B.BIN	F0	55	1301	1FB2	34F	34F	
m/MS003B.BIN	F0	56	1306	1FB2	41F	41F	
m/MS003B.BIN	F0	57	1311	1FB2	3F	3F	
m/MS003B.BIN	F0	58	1315	1FB2	40F	40F	
m/MS003B.BIN	F0	59	1320	1FB2	2F	2F	
m/MS003B.BIN	F0	60	1324	1FB2	39F	39F	
m/MS003B.BIN	F0	61	1329	1FB2	1F	1F	
m/MS003B.BIN	F0	62	1333	1FB2	38F	38F	
m/MS003B.BIN	F0	63	1338	1FB2	Exit	Exit	
m/MS003B.BIN	F0	64	1633	1FB2	45F	45F	
m/MS003B.BIN	F0	65	1638	1FB2	37F	37F	
m/MS003B.BIN	F0	66	1643	1FB2	44F	44F	
m/MS003B.BIN	F0	67	1648	1FB2	36F	36F	
m/MS003B.BIN	F0	68	1653	1FB2	43F	43F	
m/MS003B.BIN	F0	69	1658	1FB2	35F	35F	
m/MS003B.BIN	F0	70	1663	1FB2	42F	42F	
m/MS003B.BIN	F0	71	1668	1FB2	33F	33F	
m/MS003B.BIN	F0	72	1673	1FB2	41F	41F	
m/MS003B.BIN	F0	73	1678	1FB2	3F	3F	
m/MS003B.BIN	F0	74	1682	1FB2	40F	40F	
m/MS003B.BIN	F0	75	1687	1FB2	2F	2F	
m/MS003B.BIN	F0	76	1691	1FB2	39F	39F	
m/MS003B.BIN	F0	77	1696	1FB2	1F	1F	
m/MS003B.BIN	F0	78	1700	1FB2	38F	38F	
m/MS003B.BIN	F0	79	1705	1FB2	Exit	Exit	
m/MS003B.BIN	F0	80	2000	1FB2	45F	45F	
m/MS003B.BIN	F0	81	2005	1FB2	37F	37F	
m/MS003B.BIN	F0	82	2010	1FB2	44F	44F	
m/MS003B.BIN	F0	83	2015	1FB2	36F	36F	
m/MS003B.BIN	F0	84	2020	1FB2	43F	43F	
m/MS003B.BIN	F0	85	2025	1FB2	34F	34F	
m/MS003B.BIN	F0	86	2030	1FB2	42F	42F	
m/MS003B.BIN	F0	87	2035	1FB2	33F	33F	
m/MS003B.BIN	F0	88	2040	1FB2	41F	41F	
m/MS003B.BIN	F0	89	2045	1FB2	3F	3F	
m/MS003B.BIN	F0	90	2049	1FB2	40F	40F	
m/MS003B.BIN	F0	91	2054	1FB2	2F	2F	
m/MS003B.BIN	F0	92	2058	1FB2	39F	39F	
m/MS003B.BIN	F0	93	2063	1FB2	1F	1F	
m/MS003B.BIN	F0	94	2067	1FB2	38F	38F	
m/MS003B.BIN	F0	95	2072	1FB2	Exit	Exit	
m/MS003B.BIN	F0	96	2367	1FB2	45F	45F	
m/MS003B.BIN	F0	97	2372	1FB2	37F	37F	
m/MS003B.BIN	F0	98	2377	1FB2	44F	44F	
m/MS003B.BIN	F0	99	2382	1FB2	35F	35F	
m/MS003B.BIN	F0	100	2387	1FB2	43F	43F	
m/MS003B.BIN	F0	101	2392	1FB2	34F	34F	
m/MS003B.BIN	F0	102	2397	1FB2	42F	42F	
m/MS003B.BIN	F0	103	2402	1FB2	33F	33F	
m/MS003B.BIN	F0	104	2407	1FB2	41F	41F	
m/MS003B.BIN	F0	105	2412	1FB2	3F	3F	
m/MS003B.BIN	F0	106	2416	1FB2	40F	40F	
m/MS003B.BIN	F0	107	2421	1FB2	2F	2F	
m/MS003B.BIN	F0	108	2425	1FB2	39F	39F	
m/MS003B.BIN	F0	109	2430	1FB2	1F	1F	
m/MS003B.BIN	F0	110	2434	1FB2	38F	38F	
m/MS003B.BIN	F0	111	2439	1FB2	Exit	Exit	
m/MS003B.BIN	F0	112	2734	1FB2	45F	45F	
m/MS003B.BIN	F0	113	2739	1FB2	36F	36F	
m/MS003B.BIN	F0	114	2744	1FB2	44F	44F	
m/MS003B.BIN	F0	115	2749	1FB2	35F	35F	
m/MS003B.BIN	F0	116	2754	1FB2	43F	43F	
m/MS003B.BIN	F0	117	2759	1FB2	34F	34F	
m/MS003B.BIN	F0	118	2764	1FB2	42F	42F	
m/MS003B.BIN	F0	119	2769	1FB2	33F	33F	
m/MS003B.BIN	F0	120	2774	1FB2	41F	41F	
m/MS003B.BIN	F0	121	2779	1FB2	3F	3F	
m/MS003B.BIN	F0	122	2783	1FB2	40F	40F	
m/MS003B.BIN	F0	123	2788	1FB2	2F	2F	
m/MS003B.BIN	F0	124	2792	1FB2	39F	39F	
m/MS003B.BIN	F0	125	2797	1FB2	1F	1F	
m/MS003B.BIN	F0	126	2801	1FB2	38F	38F	
m/MS003B.BIN	F0	127	2806	1FB2	Exit	Exit	
m/MS003B.BIN	F0	128	3101	1FB2	45F	45F	
m/MS003B.BIN	F0	129	3106	1FB2	36F	36F	
m/MS003B.BIN	F0	130	3111	1FB2	44F	44F	
m/MS003B.BIN	F0	131	3116	1FB2	35F	35F	
m/MS003B.BIN	F0	132	3121	1FB2	43F	43F	
m/MS003B.BIN	F0	133	3126	1FB2	34F	34F	
m/MS003B.BIN	F0	134	3131	1FB2	42F	42F	
m/MS003B.BIN	F0	135	3136	1FB2	33F	33F	
m/MS003B.BIN	F0	136	3141	1FB2	41F	41F	
m/MS003B.BIN	F0	137	3146	1FB2	3F	3F	
m/MS003B.BIN	F0	138	3150	1FB2	40F	40F	
m/MS003B.BIN	F0	139	3155	1FB2	2F	2F	
m/MS003B.BIN	F0	140	3159	1FB2	39F	39F	
m/MS003B.BIN	F0	141	3164	1FB2	1F	1F	
m/MS003B.BIN	F0	142	3168	1FB2	37F	37F	
m/MS003B.BIN	F0	143	3173	1FB2	Exit	Exit	
m/MS003B.BIN	F0	144	3468	1FB2	45F	45F	
m/MS003B.BIN	F0	145	3473	1FB2	36F	36F	
m/MS003B.BIN	F0	146	3478	1FB2	44F	44F	
m/MS003B.BIN	F0	147	3483	1FB2	35F	35F	
m/MS003B.BIN	F0	148	3488	1FB2	43F	43F	
m/MS003B.BIN	F0	149	3493	1FB2	34F	34F	
m/MS003B.BIN	F0	150	3498	1FB2	42F	42F	
m/MS003B.BIN	F0	151	3503	1FB2	33F	33F	
m/MS003B.BIN	F0	152	3508	1FB2	41F	41F	
m/MS003B.BIN	F0	153	3513	1FB2	3F	3F	
m/MS003B.BIN	F0	154	3517	1FB2	40F	40F	
m/MS003B.BIN	F0	155	3522	1FB2	2F	2F	
m/MS003B.BIN	F0	156	3526	1FB2	38F	38F	
m/MS003B.BIN	F0	157	3531	1FB2	1F	1F	
m/MS003B.BIN	F0	158	3535	1FB2	37F	37F	
m/MS003B.BIN	F0	159	3540	1FB2	Exit	Exit	
m/MS003B.BIN	F0	160	3835	1FB2	45F	45F	
m/MS003B.BIN	F0	161	3840	1FB2	36F	36F	
m/MS003B.BIN	F0	162	3845	1FB2	44F	44F	
m/MS003B.BIN	F0	163	3850	1FB2	35F	35F	
m/MS003B.BIN	F0	164	3855	1FB2	43F	43F	
m/MS003B.BIN	F0	165	3860	1FB2	34F	34F	
m/MS003B.BIN	F0	166	3865	1FB2	42F	42F	
m/MS003B.BIN	F0	167	3870	1FB2	33F	33F	
m/MS003B.BIN	F0	168	3875	1FB2	41F	41F	
m/MS003B.BIN	F0	169	3880	1FB2	3F	3F	
m/MS003B.BIN	F0	170	3884	1FB2	39F	39F	
m/MS003B.BIN	F0	171	3889	1FB2	2F	2F	
m/MS003B.BIN	F0	172	3893	1FB2	38F	38F	
m/MS003B.BIN	F0	173	3898	1FB2	1F	1F	
m/MS003B.BIN	F0	174	3902	1FB2	37F	37F	
m/MS003B.BIN	F0	175	3907	1FB2	Exit	Exit	
m/MS003B.BIN	F0	176	4202	1FB2	45F	45F	
m/MS003B.BIN	F0	177	4207	1FB2	36F	36F	
m/MS003B.BIN	F0	178	4212	1FB2	44F	44F	
m/MS003B.BIN	F0	179	4217	1FB2	35F	35F	
m/MS003B.BIN	F0	180	4222	1FB2	43F	43F	
m/MS003B.BIN	F0	181	4227	1FB2	34F	34F	
m/MS003B.BIN	F0	182	4232	1FB2	42F	42F	
m/MS003B.BIN	F0	183	4237	1FB2	33F	33F	
m/MS003B.BIN	F0	184	4242	1FB2	40F	40F	
m/MS003B.BIN	F0	185	4247	1FB2	3F	3F	
m/MS003B.BIN	F0	186	4251	1FB2	39F	39F	
m/MS003B.BIN	F0	187	4256	1FB2	2F	2F	
m/MS003B.BIN	F0	188	4260	1FB2	38F	38F	
m/MS003B.BIN	F0	189	4265	1FB2	1F	1F	
m/MS003B.BIN	F0	190	4269	1FB2	37F	37F	
m/MS003B.BIN	F0	191	4274	1FB2	Exit	Exit	
m/MS003B.BIN	F0	192	4569	1FB2	45F	45F	
m/MS003B.BIN	F0	193	4574	1FB2	36F	36F	
m/MS003B.BIN	F0	194	4579	1FB2	44F	44F	
m/MS003B.BIN	F0	195	4584	1FB2	35F	35F	
m/MS003B.BIN	F0	196	4589	1FB2	43F	43F	
