# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS003D.BIN	F0	0	131	1FD0	There is a computer here. Connect your Arm Terminal?\n	There is a computer here. Connect your Arm Terminal?\n	
m/MS003D.BIN	F0	1	200	1FB2	Connect	Connect	
m/MS003D.BIN	F0	2	209	1FB2	Leave	Leave	
m/MS003D.BIN	F0	3	244	1FD1	Looking for available data	Looking for available data	
m/MS003D.BIN	F0	4	276	1FFA	...\n	...\n	suspect: may be misread operand data, verify before editing
m/MS003D.BIN	F0	5	430	1FB2	Proceed	Proceed	
m/MS003D.BIN	F0	6	439	1FB2	Abort	Abort	
m/MS003D.BIN	F0	7	502	1FBA	>Download aborted.\n<wait>	>Download aborted.\n<wait>	
m/MS003D.BIN	F0	8	527	1FBA	{0C}=	{0C}=	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS003D.BIN	F0	9	595	1FB2	Proceed	Proceed	
m/MS003D.BIN	F0	10	604	1FB2	Abort	Abort	
m/MS003D.BIN	F0	11	641	1FBA	>Download aborted.\n<wait>	>Download aborted.\n<wait>	
m/MS003D.BIN	F0	12	666	1FBA	{0C}=	{0C}=	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS003D.BIN	F0	13	940	1FB2	Proceed	Proceed	
m/MS003D.BIN	F0	14	949	1FB2	Abort	Abort	
m/MS003D.BIN	F0	15	1036	1FBA	>Download aborted.\n<wait>	>Download aborted.\n<wait>	
m/MS003D.BIN	F0	16	1223	1FBA	>Found the DDS data of [	>Found the DDS data of [	
m/MS003D.BIN	F0	17	1280	1FBA	>The DDS data of [	>The DDS data of [	
m/MS003D.BIN	F0	18	1341	1FBA	{0C}=	{0C}=	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS003D.BIN	F0	19	1354	1FBA	>Error. No space left to install.\n<wait>	>Error. No space left to install.\n<wait>	
m/MS003D.BIN	F0	20	1394	1FBA	{0C}=	{0C}=	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS003D.BIN	F0	21	1448	1FB2	Proceed	Proceed	
m/MS003D.BIN	F0	22	1457	1FB2	Abort	Abort	
m/MS003D.BIN	F0	23	1493	1FBA	>Download aborted.\n<wait>	>Download aborted.\n<wait>	
m/MS003D.BIN	F0	24	1518	1FBA	{0C}=	{0C}=	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS003D.BIN	F0	25	1526	1FBA	>Unable to find any available data.\n<wait>	>Unable to find any available data.\n<wait>	
m/MS003D.BIN	F0	26	1568	1FBA	{0C}=	{0C}=	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS003D.BIN	F0	27	1576	1FBA	>Data file found.\n Decrypt and display its contents?\n	>Data file found.\n Decrypt and display its contents?\n	
m/MS003D.BIN	F0	28	1645	1FB2	Proceed	Proceed	
m/MS003D.BIN	F0	29	1654	1FB2	Abort	Abort	
m/MS003D.BIN	F0	30	1679	1FBA	>Please wait a moment	>Please wait a moment	
m/MS003D.BIN	F0	31	1706	1FFA	...\n	...\n	suspect: may be misread operand data, verify before editing
m/MS003D.BIN	F0	32	1746	1FBA	>Unable to break encryption.\n Contents cannot be displayed.\n<wait>	>Unable to break encryption.\n Contents cannot be displayed.\n<wait>	
m/MS003D.BIN	F0	33	1812	1FBA	{0C}=	{0C}=	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS003D.BIN	F0	34	1817	1FBA	>Displaying contents.\n<wait>	>Displaying contents.\n<wait>	
m/MS003D.BIN	F0	35	1864	1FB2	Show again	Show again	
m/MS003D.BIN	F0	36	1876	1FB2	Exit	Exit	
m/MS003D.BIN	F0	37	1900	1FBA	>Closing display.\n<wait>	>Closing display.\n<wait>	
m/MS003D.BIN	F0	38	1924	1FBA	{0C}=	{0C}=	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS003D.BIN	F0	39	1960	1FBA	{0C}=	{0C}=	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS003D.BIN	F0	40	1968	1FBA	>Initializing download.\n<wait>	>Initializing download.\n<wait>	
m/MS003D.BIN	F0	41	1998	1FBA	Downloading	Downloading	
m/MS003D.BIN	F0	42	2015	1FFA	...\n	...\n	suspect: may be misread operand data, verify before editing
m/MS003D.BIN	F0	43	2108	1FBA	{0C}=	{0C}=	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS003D.BIN	F0	44	2447	1FBA	{0C}=	{0C}=	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS003D.BIN	F0	45	2564	1FBA	>Attempting to use a generic saver program\n to protect system.\n<wait>	>Attempting to use a generic saver program\n to protect system.\n<wait>	
