# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS005A.BIN	F0	0	7	1FD0	There's no one here...\n<wait>	There's no one here...\n<wait>	
m/MS005A.BIN	F0	1	40	1FD2	Young Man:	Young Man:	
m/MS005A.BIN	F0	2	118	1FD2	Young Man:	Young Man:	
m/MS005A.BIN	F0	3	130	1FD3	実戦経験が少なくっても、そんだけ優秀って事なのかね。\n<wait>		
m/MS005A.BIN	F0	4	183	1FD2	Young Man:	Young Man:	
m/MS005A.BIN	F0	5	195	1FD3	{02}ただｿょっと悔しいな。\n<wait>		runtime inserts: reproduce every {XX} token, in order
m/MS005A.BIN	F0	6	284	1FD2	Young Man:	Young Man:	
m/MS005A.BIN	F0	7	296	1FD3	悪魔ごときが、そこまで知恵を使ってくるなんてよ、予想外だったよな、畜生！！\n<wait>		
m/MS005A.BIN	F0	8	416	1FD2	Young Man:	Young Man:	
m/MS005A.BIN	F0	9	428	1FD3	Wow, that really sucks!\n<wait>	Wow, that really sucks!\n<wait>	
m/MS005A.BIN	F0	10	460	1FD2	Young Man:	Young Man:	
m/MS005A.BIN	F0	11	472	1FD3	And you did so well hiding in your little hole\npretending like the world outside doesn't exist!\n<wait>	And you did so well hiding in your little hole\npretending like the world outside doesn't exist!\n<wait>	
m/MS005A.BIN	F0	12	576	1FD2	Young Man:	Young Man:	
m/MS005A.BIN	F0	13	588	1FD3	Boo-fucking-hoo!\n<wait>	Boo-fucking-hoo!\n<wait>	
m/MS005A.BIN	F0	14	615	1FD2	Young Man:	Young Man:	
m/MS005A.BIN	F0	15	691	1FB2	The very same	The very same	
m/MS005A.BIN	F0	16	706	1FB2	Nope	Nope	
m/MS005A.BIN	F0	17	732	1FD2	Young Man:	Young Man:	
m/MS005A.BIN	F0	18	744	1FD3	Whoa... Unbelievable.\n<wait>	Whoa... Unbelievable.\n<wait>	
m/MS005A.BIN	F0	19	774	1FD2	Young Man:	Young Man:	
m/MS005A.BIN	F0	20	786	1FD3	I guess this is the real power of the Devil Busters.\n<wait>	I guess this is the real power of the Devil Busters.\n<wait>	
m/MS005A.BIN	F0	21	848	1FD2	Young Man:	Young Man:	
m/MS005A.BIN	F0	22	860	1FD3	Being modest, are we?\n<wait>	Being modest, are we?\n<wait>	
m/MS005A.BIN	F0	23	890	1FD2	Young Man:	Young Man:	
m/MS005A.BIN	F0	24	902	1FD3	エリートってのは、つくづく俺達とは違うね！\n<wait>		
m/MS005A.BIN	F0	25	985	1FD2	Young Man:	Young Man:	
m/MS005A.BIN	F0	26	997	1FD3	大したヤツだよ。見直したね！\nだけど、何だか、トンビに油揚げさらわれたって感じだな。\n<wait>		
m/MS005A.BIN	F0	27	1119	1FD2	Young Man:	Young Man:	
m/MS005A.BIN	F0	28	1131	1FD3	やっぱ、育ちの良さってのは、作戦の成否にも関わってくるんかねぇ？\n<wait>		
m/MS005A.BIN	F0	29	1367	1FD2	Young Man:	Young Man:	
m/MS005A.BIN	F0	30	1379	1FD3	You're saying that you know that already?\nWell excuse me, Mister Devil Buster.\n<wait>	You're saying that you know that already?\nWell excuse me, Mister Devil Buster.\n<wait>	
m/MS005A.BIN	F0	31	1468	1FD2	Dog:	Dog:	
m/MS005A.BIN	F0	32	1474	1FD3	............\n<wait>	............\n<wait>	suspect: may be misread operand data, verify before editing
m/MS005A.BIN	F0	33	1493	1FBA	{0B}+{01}	{0B}+{01}	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS005A.BIN	F0	34	1510	1FD2	Sonoda:	Sonoda:	
m/MS005A.BIN	F0	35	1519	1FD3	The dogs we keep here have been trained to only ever bark\nwhen in the presence of a demon. <wait>They don't react to people.\n<wait>	The dogs we keep here have been trained to only ever bark\nwhen in the presence of a demon. <wait>They don't react to people.\n<wait>	
m/MS005A.BIN	F0	36	1650	1FD2	Sonoda:	Sonoda:	
m/MS005A.BIN	F0	37	1659	1FD3	Since we don't really have any advanced technology to use,\nthis is the sort of stuff we need to rely on in order to survive.\n<wait>	Since we don't really have any advanced technology to use,\nthis is the sort of stuff we need to rely on in order to survive.\n<wait>	
m/MS005A.BIN	F0	38	1797	1FD0	The dog stands before you dauntlessly.\n<wait>	The dog stands before you dauntlessly.\n<wait>	
m/MS005A.BIN	F0	39	1852	1FD2	Strong Man:	Strong Man:	
m/MS005A.BIN	F0	40	2101	1FD2	Strong Man:	Strong Man:	
m/MS005A.BIN	F0	41	2114	1FD3	You've proven yourself a worthy ally, Devil Buster.\n<wait>	You've proven yourself a worthy ally, Devil Buster.\n<wait>	
m/MS005A.BIN	F0	42	2271	1FD2	Man:	Man:	
m/MS005A.BIN	F0	43	2277	1FD3	You damn spy! I won't allow you to pass!\n<wait>	You damn spy! I won't allow you to pass!\n<wait>	
m/MS005A.BIN	F0	44	2326	1FD0	ここで、弁明しても彼らは聞き入れはしないだろう。\n		
m/MS005A.BIN	F0	45	2442	1FD0	{01}{DICT:91}ﾅ倒のニュースがもう伝わっているらしく、前線基地の中は、\n色めきたっているようだ{02}データ<wait>		unresolved dictionary reference; runtime inserts: reproduce every {XX} token, in order
m/MS005A.BIN	F0	46	2516	1FBA	一行は、まず治療室へと連れていかれた。\n<wait>		
m/MS005A.BIN	F0	47	2608	1FD2	Sonoda:	Sonoda:	
m/MS005A.BIN	F0	48	2617	1FD3	{0B}=	{0B}=	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS005A.BIN	F0	49	2791	1FD0	{02}{03}の前線基地と言われる場所に到着した{02}データ<wait>		runtime inserts: reproduce every {XX} token, in order
