# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS00B2.BIN	F0	0	282	1FD2	Bartender:	Bartender:	
m/MS00B2.BIN	F0	1	294	1FD3	Welcome. <wait>Please, have a seat...\n<wait>{0C}@	Welcome. <wait>Please, have a seat...\n<wait>{0C}@	runtime inserts: reproduce every {XX} token, in order
m/MS00B2.BIN	F0	2	344	1FD2	Fem Mutant:	Fem Mutant:	
m/MS00B2.BIN	F0	3	428	1FD2	Fem Mutant:	Fem Mutant:	
m/MS00B2.BIN	F0	4	441	1FD3	Truth is... I ran away from there.\n<wait>	Truth is... I ran away from there.\n<wait>	
m/MS00B2.BIN	F0	5	484	1FD2	Fem Mutant:	Fem Mutant:	
m/MS00B2.BIN	F0	6	497	1FD3	I never liked that, having to rely on others.\nI want to be the one charge of my own destiny.\n	I never liked that, having to rely on others.\nI want to be the one charge of my own destiny.\n	
m/MS00B2.BIN	F0	7	750	1FD2	Fem Mutant:	Fem Mutant:	
m/MS00B2.BIN	F0	8	763	1FD3	His intellect is not a gift from God.\n<wait>It is a gift from a demon.\n	His intellect is not a gift from God.\n<wait>It is a gift from a demon.\n	
m/MS00B2.BIN	F0	9	952	1FD2	Fem Mutant:	Fem Mutant:	
m/MS00B2.BIN	F0	10	965	1FD3	Not that a layman like yourself would understand. Ehehehe.\n<wait>{0C}@	Not that a layman like yourself would understand. Ehehehe.\n<wait>{0C}@	runtime inserts: reproduce every {XX} token, in order
m/MS00B2.BIN	F0	11	1038	1FD2	Cyber Man:	Cyber Man:	
m/MS00B2.BIN	F0	12	1050	1FD3	God damn those guys!\n<wait>	God damn those guys!\n<wait>	
m/MS00B2.BIN	F0	13	1079	1FD2	Cyber Man:	Cyber Man:	
m/MS00B2.BIN	F0	14	1091	1FD3	I was told you could get Cyber Surgery for much cheaper here\nthan in Ichigaya, but that turned out to be a huge scam!\n<wait>	I was told you could get Cyber Surgery for much cheaper here\nthan in Ichigaya, but that turned out to be a huge scam!\n<wait>	
m/MS00B2.BIN	F0	15	1217	1FD2	Cyber Man:	Cyber Man:	
m/MS00B2.BIN	F0	16	1229	1FD3	Fuck! All I want is to get jacked!\n<wait>{0C}@	Fuck! All I want is to get jacked!\n<wait>{0C}@	runtime inserts: reproduce every {XX} token, in order
m/MS00B2.BIN	F0	17	1278	1FD2	Stranger:	Stranger:	
m/MS00B2.BIN	F0	18	1412	1FD2	Stranger:	Stranger:	
m/MS00B2.BIN	F0	19	1423	1FD3	I suppose that means Bael lives after all. Ehehe.\n	I suppose that means Bael lives after all. Ehehe.\n	
m/MS00B2.BIN	F0	20	1711	1FD2	Stranger:	Stranger:	
m/MS00B2.BIN	F0	21	1722	1FD3	Not that I'd ever need to do that, of course. Ehehe...\n	Not that I'd ever need to do that, of course. Ehehe...\n	
