# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID00A3.BIN	0:97	0	0	DATA	>What will you do?\n	>What will you do?\n	@partial; container's record count word disagrees with its body; editable, but verify this file in game
et/ID00A3.BIN	0:97	1	47	1FB2	Gemstone	Gemstone	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	2	57	1FB2	Magic Stone	Magic Stone	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	3	70	1FB2	Magnetite	Magnetite	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	4	81	1FB2	Money	Money	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	5	88	1FB2	Other	Other	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	6	108	00	燎{02:00}燠{03:00}燵{02:01}{01:00}	燎Devil Buster燠Ranged Weapon燵Pentagram{01:00}	@partial; container's record count word disagrees with its body; editable, but verify this file in game; reads: 燎デビルバスター燠飛び道具燵ペンタグランマ早坂達也
et/ID00A3.BIN	0:97	7	139	1FB2	Kitty Stone	Kitty Stone	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	8	152	1FB2	Catnip	Catnip	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	9	160	1FB2	Rub Neck	Rub Neck	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	10	170	1FB2	Never Mind	Never Mind	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	11	182	1FB2	Other	Other	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	12	201	0F	{01:81}{02:02}{01:F4}{02:03}	{01:81}{02:02}{01:F4}{02:03}	@partial; container's record count word disagrees with its body; editable, but verify this file in game; reads: キャンプレジスタンス
et/ID00A3.BIN	0:97	13	210	00	燼2{01:4D}	燼2{01:4D}	@partial; container's record count word disagrees with its body; editable, but verify this file in game; reads: 燼2
et/ID00A3.BIN	0:97	14	236	1FB2	Gemstone	Gemstone	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	15	246	1FB2	Magic Stone	Magic Stone	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	16	259	1FB2	Magnetite	Magnetite	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	17	270	1FB2	Money	Money	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	18	277	1FB2	Other	Other	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	19	297	00	燎{02:00}燠{03:00}燵1{01:01}	燎Devil Buster燠Ranged Weapon燵1{01:01}	@partial; container's record count word disagrees with its body; editable, but verify this file in game; reads: 燎デビルバスター燠飛び道具燵1山瀬勇
et/ID00A3.BIN	0:97	20	311	00			@partial; container's record count word disagrees with its body; editable, but verify this file in game
et/ID00A3.BIN	0:97	21	328	1FB2	Kitty Stone	Kitty Stone	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	22	341	1FB2	Catnip	Catnip	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	23	349	1FB2	Never Mind	Never Mind	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	24	361	1FB2	Other	Other	@partial; container's record count word disagrees with its body; editable, but verify this file in game; menu option, declared width 20 columns
et/ID00A3.BIN	0:97	25	380	0F	{01:CE}{01:02}	{01:CE}{01:02}	@partial; container's record count word disagrees with its body; editable, but verify this file in game; reads: 桐島英美
et/ID00A3.BIN	0:97	26	385	00	燼;{01:5D}	燼;{01:5D}	@partial; container's record count word disagrees with its body; editable, but verify this file in game; reads: 燼;
et/ID00A3.BIN	0:97	27	410	00	{04:EF} seems happy.\n<wait>	{04:EF} seems happy.\n<wait>	@partial; container's record count word disagrees with its body; editable, but verify this file in game; reads:  seems happy.\n<wait>
et/ID00A3.BIN	0:97	28	452	00	{04:EF} has left their guard down.\n>Use this opportunity to attack?\n	{04:EF} has left their guard down.\n>Use this opportunity to attack?\n	@partial; container's record count word disagrees with its body; editable, but verify this file in game; reads:  has left their guard down.\n>Use this opportunity to attack?\n
et/ID00A3.BIN	0:97	29	540	00	{04:EF} seems very excited.\n<wait>	{04:EF} seems very excited.\n<wait>	@partial; container's record count word disagrees with its body; editable, but verify this file in game; reads:  seems very excited.\n<wait>
