# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID0132.BIN	0:00	0	18	1F88	＞会話可能圏外{08:55}\n　会話対象に接近{08:4A}下{08:49}\n<wait>	>Out of conversation range.\n  Get closer to talk.\n<wait>	reads: ＞会話可能圏外です\n　会話対象に接近して下さい\n<wait>
et/ID0132.BIN	0:00	1	71	00	{=E9}{=31}\<	{=E9}{=31}\<	
et/ID0132.BIN	0:00	2	75	00	{=E9}{=20}P	{=E9}{=20}P	
et/ID0132.BIN	0:00	3	79	00	{=E9}{=15}	{=E9}{=15}	
et/ID0132.BIN	0:00	4	143	1FB2	{08:4D}はちょ{08:53}…	That's a bit...	reads: それはちょっと…; menu option, declared width 20 columns
et/ID0132.BIN	0:00	5	157	1FB2	まあ{08:7F}{08:84}	Well, Okay	reads: まあいいけど; menu option, declared width 20 columns
et/ID0132.BIN	0:00	6	179	0F	{01:17}	{01:17}	reads: おまえ
et/ID0132.BIN	0:00	7	182	00			
et/ID0132.BIN	0:00	8	226	1FB2	{08:26}	Yes	reads: はい; menu option, declared width 20 columns
et/ID0132.BIN	0:00	9	230	1FB2	思い直す	Rethink	menu option, declared width 20 columns
et/ID0132.BIN	0:00	10	253	00	{=ED}{=32}	{=ED}{=32}	
et/ID0132.BIN	0:00	11	281	1FB2	怒る	Get Angry	menu option, declared width 20 columns
et/ID0132.BIN	0:00	12	287	1FB2	黙っ{08:2B}	Silence	reads: 黙ってる; menu option, declared width 20 columns
et/ID0132.BIN	0:00	13	307	0F	{01:0B}	{01:0B}	reads: わたしが
et/ID0132.BIN	0:00	14	310	00			
et/ID0132.BIN	0:00	15	348	1FB2	{08:4D}で{08:7F}{08:55}	That's Fine	reads: それでいいです; menu option, declared width 20 columns
et/ID0132.BIN	0:00	16	358	1FB2	冗談{08:81}{08:25}	No Joke	reads: 冗談じゃない; menu option, declared width 20 columns
et/ID0132.BIN	0:00	17	380	0F	{01:15}	{01:15}	reads: いろいろ
et/ID0132.BIN	0:00	18	383	00			
et/ID0132.BIN	0:00	19	454	1FB2	欲しい	I Want	menu option, declared width 20 columns
et/ID0132.BIN	0:00	20	462	1FB2	いら{08:25}	Pass	reads: いらない; menu option, declared width 20 columns
et/ID0132.BIN	0:00	21	482	0F	{01:5E}{01:FF}	{01:5E}{01:FF}	reads: 
et/ID0132.BIN	0:00	22	560	1FFA	{02:09}・・\n	{02:09}..\n	reads: ・・・・・\n
et/ID0132.BIN	0:00	23	575	00	{04:EF}は成仏{08:4B}\n	It's been laid to rest.\n	reads: は成仏した\n
et/ID0132.BIN	0:00	24	616	1FFA	{02:09}・・	{02:09}..	reads: ・・・・・
et/ID0132.BIN	0:00	25	624	1FFB	{01:23}お待ち下{08:49}	{01:23}#Please wait	reads: しばらくお待ち下さい
et/ID0132.BIN	0:00	26	638	1FFA	{02:09}・・\n	{02:09}..\n	reads: ・・・・・\n
et/ID0132.BIN	0:00	27	740	1FB2	仕方{08:25}な	I guess so	reads: 仕方ないな; menu option, declared width 20 columns
et/ID0132.BIN	0:00	28	750	1FB2	絶対やらん	Never!	menu option, declared width 20 columns
et/ID0132.BIN	0:00	29	774	0F	{01:2E}	{01:2E}	reads: 部屋
et/ID0132.BIN	0:00	30	777	00			
et/ID0132.BIN	0:00	31	811	1FBA	！！！\n	!!!\n	
et/ID0132.BIN	0:00	32	825	1FBA	{02:09}！\n	{02:09}!\n	reads: ・・・！\n
et/ID0132.BIN	4:84	0	0	DATA	信用{08:23}{08:52}訳？\n<wait>	So you're saying you don't trust me?\n<wait>	reads: 信用できないって訳？\n<wait>
et/ID0132.BIN	4:47	0	0	DATA	ＭＡＧが足り{08:25}{08:55}{08:52}！\n<wait>	Not enough MAG, you say!\n<wait>	reads: ＭＡＧが足りないですって！\n<wait>
et/ID0132.BIN	4:66	0	0	DATA	お話に{08:7D}{08:25}わ！\n<wait>	This conversation is pointless!\n<wait>	reads: お話にならないわ！\n<wait>
et/ID0132.BIN	8:40	0	0	DATA	{08:7F}男	A fine man	reads: いい男
et/ID0132.BIN	11:16	0	0	DATA	生意気！\n<wait>	How cheeky!\n<wait>	
et/ID0132.BIN	15:C6	0	0	DATA	近くで見ると　{08:89}いち{08:6B}よねぇ\n<wait>	Up close, you're kind of underwhelming.\n<wait>	reads: 近くで見ると　いまいちなのよねぇ\n<wait>
et/ID0132.BIN	15:C7	0	0	DATA	取り巻きぐらい{08:7D}　{02:0D}あげ{08:54}{08:7F}わ\n<wait>	I suppose I could let you be one of my entourage.\n<wait>	reads: 取り巻きぐらいなら　させてあげてもいいわ\n<wait>
