# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS000B.BIN	0:00	0	28	1FD2	Man:	Man:	
m/MS000B.BIN	0:00	1	40	1F7C	Hmm? A customer? It's been a while since we've have one of those.\n<wait>	Hmm? A customer? It's been a while since we've have one of those.\n<wait>	
m/MS000B.BIN	0:00	2	114	1FD2	Man:	Man:	
m/MS000B.BIN	0:00	3	120	1FD3	Say, you're a Devil Summoner, aren't you?\n<wait>	Say, you're a Devil Summoner, aren't you?\n<wait>	
m/MS000B.BIN	0:00	4	170	1FD2	Man:	Man:	
m/MS000B.BIN	0:00	5	176	1FD3	Myself, I like collecting Ihikas and Azumis for sport,\nthough lately, I've started running out of space.\n<wait>	Myself, I like collecting Ihikas and Azumis for sport,\nthough lately, I've started running out of space.\n<wait>	
m/MS000B.BIN	0:00	6	289	1FD2	Man:	Man:	
m/MS000B.BIN	0:00	7	295	1FD3	Take as many as you want. I don't really care.\n	Take as many as you want. I don't really care.\n	
m/MS000B.BIN	0:00	8	343	00	So, what do you think about my Ihikas and Azumis? Cute, right?\n	So, what do you think about my Ihikas and Azumis? Cute, right?\n	
m/MS000B.BIN	0:01	0	2	1FD2	Man:	Man:	
m/MS000B.BIN	0:01	1	8	1FD3	Ah, a fellow Devil Summoner. You've come to the right place.\nHere, you can access a technique known as the three-way fusion.\n<wait>	Ah, a fellow Devil Summoner. You've come to the right place.\nHere, you can access a technique known as the three-way fusion.\n<wait>	
m/MS000B.BIN	0:01	2	141	1FD2	Man:	Man:	
m/MS000B.BIN	0:01	3	147	1FD3	There are demons upstairs. Go have a look if you're interested.\n<wait>	There are demons upstairs. Go have a look if you're interested.\n<wait>	
m/MS000B.BIN	0:02	0	2	1FD2	Man:	Man:	
m/MS000B.BIN	0:02	1	8	1FD3	Welcome to the Grand Cathedral of Shadows.\n<wait>	Welcome to the Grand Cathedral of Shadows.\n<wait>	
m/MS000B.BIN	0:02	2	59	1FD2	Man:	Man:	
m/MS000B.BIN	0:02	3	65	1FD3	What makes this place different from the lesser cathedrals is that here,\nyou are able to utilize the secret technique of three-way fusion.\n<wait>	What makes this place different from the lesser cathedrals is that here,\nyou are able to utilize the secret technique of three-way fusion.\n<wait>	
m/MS000B.BIN	0:02	4	212	1FD2	Man:	Man:	
m/MS000B.BIN	0:02	5	218	1FD3	And that's not all.\n<wait>You didn't hear this from me, but the word on the street\nis that it's also possible to fuse humans with demons here.\n<wait>	And that's not all.\n<wait>You didn't hear this from me, but the word on the street\nis that it's also possible to fuse humans with demons here.\n<wait>	
m/MS000B.BIN	0:02	6	367	1FD2	Man:	Man:	
m/MS000B.BIN	0:02	7	373	1FD3	I can't confirm whether that's just a rumour or something more,\nbut yeah, keep your eyes open I guess...\n<wait>	I can't confirm whether that's just a rumour or something more,\nbut yeah, keep your eyes open I guess...\n<wait>	
m/MS000B.BIN	0:03	0	2	1FD2	Cambion:	Cambion:	
m/MS000B.BIN	0:03	1	12	1FD3	Say, have you ever been to the underground area beneath Tokyo Tower?\n	Say, have you ever been to the underground area beneath Tokyo Tower?\n	
m/MS000B.BIN	0:03	2	85	1F58	{05:00}	{05:00}	reads: YesNoニュートン
m/MS000B.BIN	0:03	3	91	1FD2	Cambion:	Cambion:	
m/MS000B.BIN	0:03	4	101	1FD3	You have? Isn't it incredible?\n<wait>	You have? Isn't it incredible?\n<wait>	
m/MS000B.BIN	0:03	5	140	1FD2	Cambion:	Cambion:	
m/MS000B.BIN	0:03	6	150	1FD3	I don't know how I'd even begin creating something like that.\n<wait>	I don't know how I'd even begin creating something like that.\n<wait>	
m/MS000B.BIN	0:03	7	221	1FD2	Cambion:	Cambion:	
m/MS000B.BIN	0:03	8	231	1FD3	Seriously? You haven't?\n<wait>	Seriously? You haven't?\n<wait>	
m/MS000B.BIN	0:03	9	263	1FD2	Cambion:	Cambion:	
m/MS000B.BIN	0:03	10	273	1FD3	You really should. That place is incredible.\n<wait>Incredible in what way?\n<wait>	You really should. That place is incredible.\n<wait>Incredible in what way?\n<wait>	
m/MS000B.BIN	0:03	11	354	1FD2	Cambion:	Cambion:	
m/MS000B.BIN	0:03	12	364	1FD3	It's not something that words can describe.\nYou'll have to see it with your own eyes to believe it.\n<wait>	It's not something that words can describe.\nYou'll have to see it with your own eyes to believe it.\n<wait>	
m/MS000B.BIN	0:04	0	0	DATA	However, your inventory is full.\nPlease choose something to discard.\n	However, your inventory is full.\nPlease choose something to discard.\n	
m/MS000B.BIN	0:04	1	167	1F50	carded [	carded [	
m/MS000B.BIN	0:04	2	178	1F01	{03:16}] 	{03:16}] 	reads: ] 
m/MS000B.BIN	0:04	3	199	00	x		@skip
m/MS000B.BIN	0:04	4	219	1F58	{05:00}	{05:00}	reads: YesNoニュートン
