# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS000C.BIN	0:00	0	2	1FD0	Soon after, Yuuka enters the room.\n	Soon after, Yuuka enters the room.\n	
m/MS000C.BIN	0:00	1	61	1FD2	Yuuka:	Yuuka:	
m/MS000C.BIN	0:00	2	69	1FD3	Good morning, Katsuragi-kun.\n	Good morning, Katsuragi-kun.\n	
m/MS000C.BIN	0:00	3	114	1FB2	Is it morning already?	Is it morning already?	menu option, declared width 20 columns
m/MS000C.BIN	0:00	4	138	1FB2	Five more minutes...	Five more minutes...	menu option, declared width 20 columns
m/MS000C.BIN	0:00	5	172	0F	{01:25}{04:FF}	{01:25}{04:FF}	reads: ＹＥＳ
m/MS000C.BIN	0:00	6	180	1FD2	Yuuka:	Yuuka:	
m/MS000C.BIN	0:00	7	188	1FD3	Yep. We've gotta hurry, or we'll be late.\n<wait>	Yep. We've gotta hurry, or we'll be late.\n<wait>	
m/MS000C.BIN	0:00	8	238	1FD2	Yuuka:	Yuuka:	
m/MS000C.BIN	0:00	9	246	1FD3	Wouldn't want to miss our very first day, right?\n	Wouldn't want to miss our very first day, right?\n	
m/MS000C.BIN	0:00	10	311	1FB2	Let's hurry	Let's hurry	menu option, declared width 20 columns
m/MS000C.BIN	0:00	11	324	1FB2	It'll be fine	It'll be fine	menu option, declared width 20 columns
m/MS000C.BIN	0:00	12	351	0F	{01:13}{02:FF}	{01:13}{02:FF}	reads: あなたを
m/MS000C.BIN	0:00	13	359	1FD2	Yuuka:	Yuuka:	
m/MS000C.BIN	0:00	14	367	1FD3	Alright then.\n<wait>	Alright then.\n<wait>	
m/MS000C.BIN	0:00	15	389	1FD0	You leap up and quickly get yourself ready.\n<wait>	You leap up and quickly get yourself ready.\n<wait>	
m/MS000C.BIN	0:00	16	441	1FD2	Yuuka:	Yuuka:	
m/MS000C.BIN	0:00	17	449	1FD3	Did you get everything, Katsuragi-kun?\n	Did you get everything, Katsuragi-kun?\n	
m/MS000C.BIN	0:00	18	504	1FB2	Yeah, yeah	Yeah, yeah	menu option, declared width 20 columns
m/MS000C.BIN	0:00	19	516	1FB2	I'm not a kid	I'm not a kid	menu option, declared width 20 columns
m/MS000C.BIN	0:00	20	543	0F	{01:5D}	{01:5D}	reads: 
m/MS000C.BIN	0:00	21	546	00			@skip
m/MS000C.BIN	0:00	22	551	1FD2	Yuuka:	Yuuka:	
m/MS000C.BIN	0:00	23	559	1FD3	Right. Hehehe... Sorry.\n<wait>	Right. Hehehe... Sorry.\n<wait>	
m/MS000C.BIN	0:00	24	591	1FD2	Yuuka:	Yuuka:	
m/MS000C.BIN	0:00	25	599	1FD3	Alright. Let's go then.\n<wait>	Alright. Let's go then.\n<wait>	
m/MS000C.BIN	0:00	26	643	1FD2	Yuuka:	Yuuka:	
m/MS000C.BIN	0:00	27	651	1FD3	Please, don't take it the wrong way. I was just trying to make a joke.\n	Please, don't take it the wrong way. I was just trying to make a joke.\n	
m/MS000C.BIN	0:00	28	738	1FB2	I know	I know	menu option, declared width 20 columns
m/MS000C.BIN	0:00	29	746	1FB2	Really?	Really?	menu option, declared width 20 columns
m/MS000C.BIN	0:00	30	767	0F	{01:37}	{01:37}	reads: リーダー
m/MS000C.BIN	0:00	31	770	00			@skip
m/MS000C.BIN	0:00	32	775	1FD2	Yuuka:	Yuuka:	
m/MS000C.BIN	0:00	33	783	1FD3	Thanks. I knew you'd understand.\n<wait>	Thanks. I knew you'd understand.\n<wait>	
m/MS000C.BIN	0:00	34	829	1FD2	Yuuka:	Yuuka:	
m/MS000C.BIN	0:00	35	837	1FD3	Sorry... Well, anyway. Let's get going then.\n	Sorry... Well, anyway. Let's get going then.\n	
m/MS000C.BIN	0:00	36	889	1FD2	Yuuka:	Yuuka:	
m/MS000C.BIN	0:00	37	897	1FD3	Absolutely not!\nWhat will they think of us?\n<wait>	Absolutely not!\nWhat will they think of us?\n<wait>	
m/MS000C.BIN	0:00	38	949	1FD2	Yuuka:	Yuuka:	
m/MS000C.BIN	0:00	39	957	1FD3	Let's hurry.	Let's hurry.	
m/MS000C.BIN	0:00	40	985	1FB2	Alright	Alright	menu option, declared width 20 columns
m/MS000C.BIN	0:00	41	994	1FB2	You go ahead	You go ahead	menu option, declared width 20 columns
m/MS000C.BIN	0:00	42	1020	0F	{01:01}	{01:01}	reads: 山瀬勇
m/MS000C.BIN	0:00	43	1023	00			@skip
m/MS000C.BIN	0:00	44	1028	1FD2	Yuuka:	Yuuka:	
m/MS000C.BIN	0:00	45	1036	1FD3	Huh? S-Seriously?\n<wait>	Huh? S-Seriously?\n<wait>	
m/MS000C.BIN	0:00	46	1062	1FD0	Yuuka appears quite saddened by your response.\n<wait>	Yuuka appears quite saddened by your response.\n<wait>	
m/MS000C.BIN	0:00	47	1115	1FBA	You decide that it would be better to head out with her after all.\n<wait>	You decide that it would be better to head out with her after all.\n<wait>	
m/MS000C.BIN	0:00	48	1190	1FD2	Yuuka:	Yuuka:	
m/MS000C.BIN	0:00	49	1198	1FD3	Err, alright... Let's get going...\n	Err, alright... Let's get going...\n	
m/MS000C.BIN	0:00	50	1284	1FD2	Yuuka:	Yuuka:	
m/MS000C.BIN	0:00	51	1292	1FD3	This is no time for jokes, Katsuragi-kun!\nWake up! We're seriously gonna be late.\n	This is no time for jokes, Katsuragi-kun!\nWake up! We're seriously gonna be late.\n	
m/MS000C.BIN	0:00	52	1390	1FB2	Just a bit longer...	Just a bit longer...	menu option, declared width 20 columns
m/MS000C.BIN	0:00	53	1412	1FB2	Oh, crap!	Oh, crap!	menu option, declared width 20 columns
m/MS000C.BIN	0:00	54	1435	0F	{01:84}{06:FF}	{01:84}{06:FF}	reads: 
m/MS000C.BIN	0:00	55	1443	1FD0	You pull the blanket over your head in an attempt to ignore her,\nprompting Yuuka to start violently shaking you from side to side.\nThe touch of her hair feels so soft against your skin...\n<wait>	You pull the blanket over your head in an attempt to ignore her,\nprompting Yuuka to start violently shaking you from side to side.\nThe touch of her hair feels so soft against your skin...\n<wait>	
m/MS000C.BIN	0:00	56	1639	1FD2	Yuuka:	Yuuka:	
