# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS001A.BIN	0:00	0	110	1FD2	Hayasaka:	Hayasaka:	
m/MS001A.BIN	0:00	1	121	1FD3	Commander! And Katsuragi as well...\n<wait>	Commander! And Katsuragi as well...\n<wait>	
m/MS001A.BIN	0:00	2	251	1FD2	Nishino:	Nishino:	
m/MS001A.BIN	0:00	3	261	1FD3	...We will be heading over to Harajuku Shelter.\nRegardless of our orders, saving lives takes priority.\n<wait>Now, let's get moving!\n<wait>	...We will be heading over to Harajuku Shelter.\nRegardless of our orders, saving lives takes priority.\n<wait>Now, let's get moving!\n<wait>	
m/MS001A.BIN	0:00	4	399	1FD2	Everyone:	Everyone:	
m/MS001A.BIN	0:00	5	410	1FD3	Roger!\n<wait>	Roger!\n<wait>	
m/MS001A.BIN	0:01	0	81	1FD2	Hayasaka:	Hayasaka:	
m/MS001A.BIN	0:01	1	92	1FD3	Alright, we're finally here.\nAll that separates us from the outside world now is this door...\n<wait>	Alright, we're finally here.\nAll that separates us from the outside world now is this door...\n<wait>	
m/MS001A.BIN	0:01	2	194	1FD2	Emi:	Emi:	
m/MS001A.BIN	0:01	3	200	1FD3	I wonder what's going to happen to us...\n<wait>	I wonder what's going to happen to us...\n<wait>	
m/MS001A.BIN	0:01	4	249	1FD2	Hayasaka:	Hayasaka:	
m/MS001A.BIN	0:01	5	260	1FD3	It's probably for the best if we don't worry about that too much.\nIt's not like we could turn back even if we wanted to.\n<wait>	It's probably for the best if we don't worry about that too much.\nIt's not like we could turn back even if we wanted to.\n<wait>	
m/MS001A.BIN	0:01	6	389	1FD2	Emi:	Emi:	
m/MS001A.BIN	0:01	7	395	1FD3	That's true.\n<wait>	That's true.\n<wait>	
m/MS001A.BIN	0:01	8	416	1FD2	Hayasaka:	Hayasaka:	
m/MS001A.BIN	0:01	9	427	1FD3	Anyway, we can probably take the hazmats suits off now.\n<wait>Fighting demons in these things is going to be impossible.\n<wait>	Anyway, we can probably take the hazmats suits off now.\n<wait>Fighting demons in these things is going to be impossible.\n<wait>	
m/MS001A.BIN	0:01	10	554	1FD2	Emi:	Emi:	
m/MS001A.BIN	0:01	11	560	1FD3	Hold on. Let me check these readings real quick...\n<wait>	Hold on. Let me check these readings real quick...\n<wait>	
m/MS001A.BIN	0:01	12	619	1FD2	Emi:	Emi:	
m/MS001A.BIN	0:01	13	625	1FD3	Okay, everything looks normal.\n<wait>No poison gas detected.\n<wait>	Okay, everything looks normal.\n<wait>No poison gas detected.\n<wait>	
m/MS001A.BIN	0:01	14	692	1FD0	The three of you quickly remove your hazmat suits.\n<wait>Finally. The fresh air feels so good in your lungs.\n<wait>	The three of you quickly remove your hazmat suits.\n<wait>Finally. The fresh air feels so good in your lungs.\n<wait>	
m/MS001A.BIN	0:01	15	807	1FD2	Hayasaka:	Hayasaka:	
m/MS001A.BIN	0:01	16	818	1FD3	Let's get going!\n<wait>	Let's get going!\n<wait>	
