# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS001D.BIN	0:00	0	2	1FD2	Scientist:	Scientist:	
m/MS001D.BIN	0:00	1	19	09	I swear to you, something wasn't right with that Devil Buster\nwho just got off the elevator...\n<wait>	I swear to you, something wasn't right with that Devil Buster\nwho just got off the elevator...\n<wait>	
m/MS001D.BIN	0:00	2	122	1FD2	Scientist:	Scientist:	
m/MS001D.BIN	0:00	3	134	1FD3	Hmm? Where did 	Hmm? Where did 	
m/MS001D.BIN	0:00	4	154	09	he	he	
m/MS001D.BIN	0:00	5	164	09	she go? To the cafeteria.\nI don't know why, but it seemed like 	she go? To the cafeteria.\nI don't know why, but it seemed like 	
m/MS001D.BIN	0:00	6	232	09	he	he	
m/MS001D.BIN	0:00	7	242	09	she was in a hurry.\n<wait>	she was in a hurry.\n<wait>	
m/MS001D.BIN	0:00	8	272	09	The shelter's barrier system is still active.\nJust how on earth did the demons pass through it?\n<wait>	The shelter's barrier system is still active.\nJust how on earth did the demons pass through it?\n<wait>	
m/MS001D.BIN	0:00	9	376	1FD2	Scientist:	Scientist:	
m/MS001D.BIN	0:00	10	388	1FD3	Hmm? Since where did you get there? Oh, don't mind me.\nI'm just blabbering to myself. Hohoho!\n<wait>	Hmm? Since where did you get there? Oh, don't mind me.\nI'm just blabbering to myself. Hohoho!\n<wait>	
m/MS001D.BIN	0:00	11	495	1F03	{=89}{=02}Have you ever been inside there?\n<wait>If you wanted to be poetic about it...\n<wait>you might call it nature's last foothold in the kingdom of man.\n<wait>	{=89}{=02}Have you ever been inside there?\n<wait>If you wanted to be poetic about it...\n<wait>you might call it nature's last foothold in the kingdom of man.\n<wait>	
m/MS001D.BIN	0:00	12	653	09	You sure are looking pale, boy.\n<wait>Remember, exercise is important.\n<wait>	You sure are looking pale, boy.\n<wait>Remember, exercise is important.\n<wait>	
m/MS001D.BIN	0:00	13	732	09	A Devil Buster, huh?\n<wait>While I am thankful, I simply cannot stand the smell of blood.\n<wait>I am very much a pacifist, you see.\n<wait>	A Devil Buster, huh?\n<wait>While I am thankful, I simply cannot stand the smell of blood.\n<wait>I am very much a pacifist, you see.\n<wait>	
m/MS001D.BIN	0:00	14	867	18	The building to the west of here is a giant farm.\n<wait>	The building to the west of here is a giant farm.\n<wait>	
m/MS001D.BIN	0:00	15	925	1FD2	Scientist:	Scientist:	
m/MS001D.BIN	0:00	16	937	1FD3	Have you ever been inside there?\n<wait>No? Then I'd recommend that you go have a look.\n<wait>	Have you ever been inside there?\n<wait>No? Then I'd recommend that you go have a look.\n<wait>	
m/MS001D.BIN	0:01	0	2	1FD2	Man:	Man:	
m/MS001D.BIN	0:01	1	13	09	A Devil Buster passed through here just now.\n	A Devil Buster passed through here just now.\n	
m/MS001D.BIN	0:01	2	63	09	He	He	
m/MS001D.BIN	0:01	3	73	09	She had this dead look in 	She had this dead look in 	
m/MS001D.BIN	0:01	4	104	09	his	his	
m/MS001D.BIN	0:01	5	115	09	her eyes, and kept mumbling to 	her eyes, and kept mumbling to 	
m/MS001D.BIN	0:01	6	151	09	his	his	
m/MS001D.BIN	0:01	7	162	09	herself.\nAre these really the people keeping us safe?\n<wait>	herself.\nAre these really the people keeping us safe?\n<wait>	
m/MS001D.BIN	0:01	8	224	1FD2	Man:	Man:	
m/MS001D.BIN	0:01	9	230	1FD3	Hmm? Where did 	Hmm? Where did 	
m/MS001D.BIN	0:01	10	250	09	He	He	
m/MS001D.BIN	0:01	11	260	09	she go, you ask?\n<wait>To the cafeteria, I think. <wait>	she go, you ask?\n<wait>To the cafeteria, I think. <wait>	
m/MS001D.BIN	0:01	12	317	09	He	He	
m/MS001D.BIN	0:01	13	327	09	She a friend of yours?\nCan you please tell 	She a friend of yours?\nCan you please tell 	
m/MS001D.BIN	0:01	14	375	09	his	his	
m/MS001D.BIN	0:01	15	386	09	her to keep it together?\nI'mn seriously getting freaked out over here...\n<wait>	her to keep it together?\nI'mn seriously getting freaked out over here...\n<wait>	
m/MS001D.BIN	0:01	16	472	1F03	Whoa! That's a sick DB blouson you're wearing.\nIt's pretty old, huh? Certainly looks like it.\n<wait>	Whoa! That's a sick DB blouson you're wearing.\nIt's pretty old, huh? Certainly looks like it.\n<wait>	
m/MS001D.BIN	0:01	17	576	1FD2	Man:	Man:	
m/MS001D.BIN	0:01	18	582	1FD3	They're pretty popular these days,\nand you can find lots of people wearing replicas.\n<wait>That said, I think wearing a brand-new one is about the lamest\nshit ever. Makes you look like some snot-nosed schoolkid.\n<wait>	They're pretty popular these days,\nand you can find lots of people wearing replicas.\n<wait>That said, I think wearing a brand-new one is about the lamest\nshit ever. Makes you look like some snot-nosed schoolkid.\n<wait>	
m/MS001D.BIN	0:01	19	800	1FD2	Man:	Man:	
m/MS001D.BIN	0:01	20	806	1FD3	I like your style, man. Honestly.\nMaybe I'll see if I can find a vintage one myself.\n<wait>	I like your style, man. Honestly.\nMaybe I'll see if I can find a vintage one myself.\n<wait>	
m/MS001D.BIN	0:01	21	901	09	I hear that some sort of a strange new religion is spreading\nin the outside world.\n<wait>	I hear that some sort of a strange new religion is spreading\nin the outside world.\n<wait>	
m/MS001D.BIN	0:01	22	992	1FD2	Man:	Man:	
m/MS001D.BIN	0:01	23	998	1FD3	It's kinda wild that those sorts of ideologies still exist\nafter the rapture.\n<wait>The outside sure is full of weirdos, huh?\n<wait>	It's kinda wild that those sorts of ideologies still exist\nafter the rapture.\n<wait>The outside sure is full of weirdos, huh?\n<wait>	
