# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS003F.BIN	0:00	0	6	1FD0	A kiln meant for burning incense sits in the middle of the room.\n<wait>	A kiln meant for burning incense sits in the middle of the room.\n<wait>	
m/MS003F.BIN	0:00	1	84	00	9	9	
m/MS003F.BIN	0:00	2	86	00	:	:	
m/MS003F.BIN	0:00	3	88	00	;	;	
m/MS003F.BIN	0:00	4	90	00	\<	\<	
m/MS003F.BIN	0:00	5	92	00	=	=	
m/MS003F.BIN	0:00	6	94	00	>	>	
m/MS003F.BIN	0:00	7	96	00	?	?	
m/MS003F.BIN	0:00	8	98	00	@	@	
m/MS003F.BIN	0:00	9	100	00	A	A	
m/MS003F.BIN	0:00	10	102	00	B	B	
m/MS003F.BIN	0:00	11	104	00	v{04:FF}	v{04:FF}	reads: v
m/MS003F.BIN	0:01	0	0	UNTILED	ﾁ / ﾐ / ｱ / ｲBurn an incense / ｲLeave / ｷ / ﾑ / ? / ? / 		@noedit; @untiled; record does not tile (expression selector past end of record at 0x39); read-only, copied verbatim
m/MS003F.BIN	0:02	0	11	00	9	9	
m/MS003F.BIN	0:02	1	13	00	:	:	
m/MS003F.BIN	0:02	2	15	00	;	;	
m/MS003F.BIN	0:02	3	17	00	\<	\<	
m/MS003F.BIN	0:02	4	19	00	=	=	
m/MS003F.BIN	0:02	5	21	00	>	>	
m/MS003F.BIN	0:02	6	23	00	?	?	
m/MS003F.BIN	0:02	7	25	00	@	@	
m/MS003F.BIN	0:02	8	27	00	A	A	
m/MS003F.BIN	0:02	9	29	00	B	B	
m/MS003F.BIN	0:02	10	31	00	v{04:FF}香を使い切{08:52}{08:1F}。\n<wait>	{04:FF} used up all the incense.\n<wait>	reads: v香を使い切ってしまった。\n<wait>
m/MS003F.BIN	0:02	11	58	0C	{08:6D}香を焚き{08:15}\n	Which incense would you like to burn?\n	reads: どの香を焚きますか？\n
m/MS003F.BIN	0:02	12	402	00	?{05:03}	?{05:03}	reads: ?飛び道具
m/MS003F.BIN	0:02	13	406	00	?{06:04}	?{06:04}	reads: ?
m/MS003F.BIN	0:02	14	410	00	?{07:05}	?{07:05}	reads: ?＞もっとやりますか？
m/MS003F.BIN	0:02	15	414	00	?{08:06}	?{08:06}	reads: ?デビル
m/MS003F.BIN	0:02	16	418	00	?	?	
m/MS003F.BIN	0:02	17	424	09	{08:00}?	{08:00}?	reads: 早坂?
m/MS003F.BIN	0:02	18	434	00	?	?	
m/MS003F.BIN	0:02	19	438	0D	?	?	
m/MS003F.BIN	0:02	20	446	00	?	?	
m/MS003F.BIN	0:02	21	453	14	ﾄ		@skip isolated stray half-width kana glyph, no reads context, not readable Japanese
m/MS003F.BIN	0:03	0	9	1F19	{01:19}	{01:19}	reads: われわれ
m/MS003F.BIN	0:03	1	12	00	{02:01}C	{02:01}C	reads: ペンタグランマC
m/MS003F.BIN	0:03	2	16	00	{03:01}l{02:04}{01:68}{02:05}{01:64}{02:06}{01:60}{02:07}{01:5C}{02:FF}	{03:01}l{02:04}{01:68}{02:05}{01:64}{02:06}{01:60}{02:07}{01:5C}{02:FF}	reads: そんなことlアイテム出かけるどうしますか？通信をする
m/MS003F.BIN	0:03	3	40	1B	Name        Amount	Name        Amount	
m/MS003F.BIN	0:03	4	108	1F19	{01:51}	{01:51}	reads: 
m/MS003F.BIN	0:03	5	111	00	{03:01}q	{03:01}q	reads: そんなことq
m/MS003F.BIN	0:03	6	115	00	{04:01}{=8F}{=00}{05:01}ｮ	{04:01}{=8F}{=00}{05:01}ｮ	reads: 切り{=8F}{=00}飛び道具ｮ
m/MS003F.BIN	0:03	7	123	00	{06:01}ﾋ	{06:01}ﾋ	reads: ﾋ
m/MS003F.BIN	0:03	8	127	00	{07:01}{=E9}{=00}{08:01}	{07:01}{=E9}{=00}{08:01}	reads: ＞何をしますか？{=E9}{=00}達也
m/MS003F.BIN	0:03	9	138	09	{01:0A}{01:49}{01:0B}{01:69}{01:0C}{01:87}{01:0D}{01:A4}{01:FF}	{01:0A}{01:49}{01:0B}{01:69}{01:0C}{01:87}{01:0D}{01:A4}{01:FF}	reads: わたしはわたしがわたしのわたしを
m/MS003F.BIN	0:03	10	157	1B	Revival In.	Revival In.	
m/MS003F.BIN	0:03	11	193	1B	Warrior In.	Warrior In.	
m/MS003F.BIN	0:03	12	229	1B	Earth In.	Earth In.	
m/MS003F.BIN	0:03	13	263	1B	Heaven In.	Heaven In.	
m/MS003F.BIN	0:03	14	298	1B	Soul In.	Soul In.	
m/MS003F.BIN	0:03	15	331	1B	Demon In.	Demon In.	
m/MS003F.BIN	0:03	16	365	1B	Scholar In.	Scholar In.	
m/MS003F.BIN	0:03	17	401	1B	Asceticism In.	Asceticism In.	
m/MS003F.BIN	0:03	18	440	1B	Gust In.	Gust In.	
m/MS003F.BIN	0:03	19	473	1B	Artisan In.	Artisan In.	
m/MS003F.BIN	0:03	20	509	1B	Noble In.	Noble In.	
m/MS003F.BIN	0:03	21	543	1B	Luck In.	Luck In.	
m/MS003F.BIN	0:03	22	576	1B	Time Cheat In.	Time Cheat In.	
m/MS003F.BIN	0:04	0	0	DATA	反魂香を	Reviving Incense on	
m/MS003F.BIN	0:04	1	68	1E3E	は{03:10}{08:4B}。\n<wait>	 was healed.\n<wait>	reads: は回復した。\n<wait>
m/MS003F.BIN	0:04	2	139	1E3E	は復活{08:4B}。\n<wait>	 was revived.\n<wait>	reads: は復活した。\n<wait>
m/MS003F.BIN	0:05	0	0	DATA	物夫の香を	Warrior's Incense on	
m/MS003F.BIN	0:05	1	28	1E3E	の強さが上が{08:51}。\n<wait>	's Strength rose.\n<wait>	reads: の強さが上がった。\n<wait>
m/MS003F.BIN	0:05	2	75	19	{03:00}	{03:00}	reads: 飛び道具
m/MS003F.BIN	0:06	0	0	UNTILED	大地の香を / ? / a / 9 / ? / ﾄ / 4 / > / の体力が上が / Q。 / ｺ / N / : / ﾝ / ?		@noedit; @untiled; record does not tile (u8 operand past end of record at 0x50); read-only, copied verbatim
m/MS003F.BIN	0:07	0	0	DATA	天の香を	Heaven's Incense on	
m/MS003F.BIN	0:07	1	26	1E3E	の直感が上が{08:51}。\n<wait>	's Intuition rose.\n<wait>	reads: の直感が上がった。\n<wait>
m/MS003F.BIN	0:08	0	0	DATA	心魂の香を	Soul Incense on	
m/MS003F.BIN	0:08	1	28	1E3E	の精神力が上が{08:51}。\n<wait>	's Will Power rose.\n<wait>	reads: の精神力が上がった。\n<wait>
m/MS003F.BIN	0:09	0	0	DATA	魔性の香を	Sorcerous Incense on	
m/MS003F.BIN	0:09	1	28	1E3E	の魔力が上が{08:51}。\n<wait>	's Magic rose.\n<wait>	reads: の魔力が上がった。\n<wait>
m/MS003F.BIN	0:09	2	71	1B	{03:19}	{03:19}	reads: 
m/MS003F.BIN	0:0A	0	0	DATA	学人の香を	Scholar's Incense on	
m/MS003F.BIN	0:0A	1	28	1E3E	の知力が上が{08:51}。\n<wait>	's Intellect rose.\n<wait>	reads: の知力が上がった。\n<wait>
m/MS003F.BIN	0:0A	2	71	1C	{03:19}	{03:19}	reads: 
m/MS003F.BIN	0:0B	0	0	DATA	精進の香を	Devotion Incense on	record reaches an engine no-op opcode; verify in game
m/MS003F.BIN	0:0B	1	28	1E3E	の加護が上が{08:51}。\n<wait>	's Divine favor rose.\n<wait>	record reaches an engine no-op opcode; verify in game; reads: の加護が上がった。\n<wait>
m/MS003F.BIN	0:0B	2	75	19	{03:00}	{03:00}	record reaches an engine no-op opcode; verify in game; reads: 飛び道具
m/MS003F.BIN	0:0C	0	0	DATA	疾風の香を	Gale Incense on	
m/MS003F.BIN	0:0C	1	28	1E3E	の敏捷性が上が{08:51}。\n<wait>	's Agility rose.\n<wait>	reads: の敏捷性が上がった。\n<wait>
m/MS003F.BIN	0:0C	2	72	00	 {03:19}	 {03:19}	reads:  
m/MS003F.BIN	0:0D	0	0	DATA	職人の香を	Craftsman's Incense on	
m/MS003F.BIN	0:0D	1	28	1E3E	の器用さが上が{08:51}。\n<wait>	's Dexterity rose.\n<wait>	reads: の器用さが上がった。\n<wait>
m/MS003F.BIN	0:0D	2	72	00	!{03:19}	!{03:19}	reads: !
m/MS003F.BIN	0:0E	0	0	DATA	貴人の香を	Noble's Incense on	
m/MS003F.BIN	0:0E	1	28	1E3E	の魅力が上が{08:51}。\n<wait>	's Charm rose.\n<wait>	reads: の魅力が上がった。\n<wait>
m/MS003F.BIN	0:0E	2	70	00	{03:19}	{03:19}	reads: "
m/MS003F.BIN	0:0F	0	0	DATA	運の香を	Luck Incense on	
m/MS003F.BIN	0:0F	1	26	1E3E	は少し運が良く{08:16}{08:72}気が{08:4B}。\n<wait>	 felt...... just a little luckier.\n<wait>	reads: は少し運が良くなった‥‥気がした。\n<wait>
m/MS003F.BIN	0:0F	2	78	00	#{03:19}	#{03:19}	reads: #
m/MS003F.BIN	0:10	0	94	1F80	g用できるメンバーがい{02:0A}。\n	There is no member available to use it on.\n	reads: g用できるメンバーがいません。\n
m/MS003F.BIN	0:10	1	131	0C	誰が使用し{08:15}\n	Who will use it?\n	reads: 誰が使用しますか？\n
m/MS003F.BIN	0:10	2	242	1FBA	不思議な香りがあたりを包み込む{08:72}\n	A mysterious fragrance envelops the surroundings......\n	reads: 不思議な香りがあたりを包み込む‥‥\n
m/MS003F.BIN	0:11	0	9	1F19	{01:19}	{01:19}	reads: われわれ
m/MS003F.BIN	0:11	1	12	00	{02:01}7	{02:01}7	reads: ペンタグランマ7
m/MS003F.BIN	0:11	2	16	00	{03:01}c	{03:01}c	reads: そんなことc
m/MS003F.BIN	0:11	3	20	00	{04:01}_	{04:01}_	reads: 切り_
m/MS003F.BIN	0:11	4	24	00	{05:01}[	{05:01}[	reads: 飛び道具[
m/MS003F.BIN	0:11	5	28	00	{06:01}W	{06:01}W	reads: W
m/MS003F.BIN	0:11	6	32	00	{07:01}S	{07:01}S	reads: ＞何をしますか？S
m/MS003F.BIN	0:11	7	36	00			
m/MS003F.BIN	0:11	8	40	1B	Party:	Party:	
m/MS003F.BIN	0:12	0	75	1E3E	の{03:0D}・{03:0E}が{03:10}{08:4B}。\n	's HP and MP were restored.\n	reads: のＨＰ・ＭＰが回復した。\n
m/MS003F.BIN	0:13	0	8	1F77	{1E10:0103}Nothing happened.\n<wait>	{1E10:0103}Nothing happened.\n<wait>	
m/MS003F.BIN	0:14	0	2	1FBA	不思議な香りがあたりを包み込む{08:72}\n<wait>	A mysterious fragrance envelops the surroundings......\n<wait>	reads: 不思議な香りがあたりを包み込む‥‥\n<wait>
m/MS003F.BIN	0:14	1	43	00	{04:FF}達は意識を失{08:51}。\n<wait>	{04:FF} and the others lost consciousness.\n<wait>	reads: 達は意識を失った。\n<wait>
m/MS003F.BIN	0:14	2	94	00	?	?	
m/MS003F.BIN	0:14	3	101	16	x	x	
m/MS003F.BIN	0:14	4	116	00	{04:FF}達は意識を取り戻{08:4B}。\n<wait>	{04:FF} and the others regained consciousness.\n<wait>	reads: 達は意識を取り戻した。\n<wait>
m/MS003F.BIN	0:18	0	2	1FD2	Maitreya:	Maitreya:	
m/MS003F.BIN	0:18	1	13	1FD3	Do you seek healing?\n<wait>	Do you seek healing?\n<wait>	
m/MS003F.BIN	0:18	2	40	1FBA	Well then...\n<wait>Relax, and get yourself comfortable...\n	Well then...\n<wait>Relax, and get yourself comfortable...\n	
m/MS003F.BIN	0:18	3	112	1FB2	Comply	Comply	menu option, declared width 20 columns
m/MS003F.BIN	0:18	4	120	1FB2	Never mind	Never mind	menu option, declared width 20 columns
m/MS003F.BIN	0:18	5	144	0F	{01:15}{01:FF}	{01:15}{01:FF}	reads: いろいろ
m/MS003F.BIN	0:18	6	165	1F80	itreya:	itreya:	
m/MS003F.BIN	0:18	7	174	1FD3	Oh?\n<wait>It appears that you have no need for healing...\n<wait>	Oh?\n<wait>It appears that you have no need for healing...\n<wait>	
m/MS003F.BIN	0:18	8	239	1FD2	Maitreya:	Maitreya:	
m/MS003F.BIN	0:18	9	250	1FD3	Let us begin...\n<wait>	Let us begin...\n<wait>	
m/MS003F.BIN	0:18	10	274	1FD0	Maitreya extends his palm towards you and begins humming a chant.\n<wait>	Maitreya extends his palm towards you and begins humming a chant.\n<wait>	
