# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS00A2.BIN	0:01	0	0	DATA	>Welcome to Shiba Terminal.\n	>Welcome to Shiba Terminal.\n	
m/MS00A2.BIN	0:03	0	0	DATA	Please wait a moment	Please wait a moment	
m/MS00A2.BIN	0:03	1	26	1FFA	...\n	...\n	
m/MS00A2.BIN	0:03	2	34	1FBA	>AMS map data found. Download it?\n	>AMS map data found. Download it?\n	
m/MS00A2.BIN	0:03	3	84	1FB2	Proceed	Proceed	menu option, declared width 20 columns
m/MS00A2.BIN	0:03	4	93	1FB2	Cancel	Cancel	menu option, declared width 20 columns
m/MS00A2.BIN	0:03	5	113	0F	{01:4C}	{01:4C}	reads: 
m/MS00A2.BIN	0:03	6	116	00			
m/MS00A2.BIN	0:03	7	119	1FBA	Downloading	Downloading	
m/MS00A2.BIN	0:03	8	136	1FFA	...\n	...\n	
m/MS00A2.BIN	0:03	9	148	1FBA	>Download completed successfully.\n<wait>	>Download completed successfully.\n<wait>	
m/MS00A2.BIN	0:03	10	194	1FBA	>Download cancelled.\n<wait>	>Download cancelled.\n<wait>	
