# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS00DE.BIN	0:00	0	4	00	{04:EC} is standing by.\n	{04:EC} is standing by.\n	reads:  is standing by.\n
m/MS00DE.BIN	0:02	0	42	1ECE	 swang their weapon at an ally!\n	 swang their weapon at an ally!\n	
m/MS00DE.BIN	0:02	1	83	1ECF	 pointed their weapon at an ally.\n	 pointed their weapon at an ally.\n	
m/MS00DE.BIN	0:02	2	120	18	 attacked 	 attacked 	
m/MS00DE.BIN	0:02	3	134	00	{04:EB}.\n	{04:EB}.\n	reads: .\n
m/MS00DE.BIN	0:02	4	148	1ECE	attacked using [{04:01}].\n	attacked using [{04:01}].\n	reads: attacked using [切り].\n
m/MS00DE.BIN	0:02	5	172	18	attacked using [{04:01}].\n	attacked using [{04:01}].\n	reads: attacked using [切り].\n
m/MS00DE.BIN	0:02	6	202	1ECF	 cut themselves.\n	 cut themselves.\n	
m/MS00DE.BIN	0:02	7	229	1E5D	 attacked an ally.\n	 attacked an ally.\n	
m/MS00DE.BIN	0:02	8	257	1ECE	 attacked using [{04:01}].\n	 attacked using [{04:01}].\n	reads:  attacked using [切り].\n
m/MS00DE.BIN	0:02	9	282	18	's [{04:01}] swings wild.\n	's [{04:01}] swings wild.\n	reads: 's [切り] swings wild.\n
m/MS00DE.BIN	0:03	0	0	DATA	{04:03}	{04:03}	reads: 　
m/MS00DE.BIN	0:03	1	15	1ECF	 attacked themselves.\n	 attacked themselves.\n	
m/MS00DE.BIN	0:03	2	53	1ECE	 is attacking 	 is attacking 	
m/MS00DE.BIN	0:03	3	71	00	{04:EB}.\n	{04:EB}.\n	reads: .\n
m/MS00DE.BIN	0:03	4	78	18	 attacked an ally!\n	 attacked an ally!\n	
m/MS00DE.BIN	0:03	5	100	18	 attacks.\n	 attacks.\n	
m/MS00DE.BIN	0:03	6	119	1ECF	 is attacking themself.\n	 is attacking themself.\n	
m/MS00DE.BIN	0:03	7	153	1E5D	 is attacking an ally.\n	 is attacking an ally.\n	
m/MS00DE.BIN	0:03	8	179	18	 attacks.\n	 attacks.\n	
m/MS00DE.BIN	0:04	0	35	1ECF	 pointed their gun at themself.\n	 pointed their gun at themself.\n	
m/MS00DE.BIN	0:04	1	83	1ECE	 pointed their gun at 	 pointed their gun at 	
m/MS00DE.BIN	0:04	2	109	00	{04:EB}.\n	{04:EB}.\n	reads: .\n
m/MS00DE.BIN	0:04	3	116	18	 pointed their gun at an ally.\n	 pointed their gun at an ally.\n	
