# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS005E.BIN	0:00	0	2	1FD0	誰も{08:24}{02:08}\n	There's no one here...\n	reads: 誰もいない‥‥‥\n @from-v005
m/MS005E.BIN	0:03	0	11	1F03			
m/MS005E.BIN	0:03	1	15	1FD2	{08:31}：	Rui:	reads: 泪： @from-v005
m/MS005E.BIN	0:03	2	21	1FD3	ねぇ、こっち{08:42}大回り{08:8E}より、ホールに{08:7B}階段使{08:51}方が早いわよ。\n	Let's use the stairs in the main hall instead.\nThat will save us a lot of time.\n	reads: ねぇ、こっちから大回りするより、ホールにある階段使った方が早いわよ。\n @from-v005
m/MS005E.BIN	0:03	3	92	1FD2	{08:31}：	Rui:	reads: 泪： @from-v005
m/MS005E.BIN	0:03	4	98	1FD3	こっち{08:42}大回り{08:8E}より、ホールに{08:7B}階段使{08:51}方が早いわね{08:72}\nとにかく、早く行か{08:25}と{02:08}\n	Let's use the stairs in the main hall instead.\nThat will save us a lot of time.\n	reads: こっちから大回りするより、ホールにある階段使った方が早いわね‥‥\nとにかく、早く行かないと‥‥‥\n @from-v005
m/MS005E.BIN	0:03	5	183	1FD0	とにかく早く、{01:08}の{01:2E}に行かなくては{08:7D}{08:25}。\nホールに{08:7B}階段を使{08:52}、上に行{08:51}方が早い{08:8C}。\n<wait>	We need to get to Baal's throne room, and fast.\nLet's take the stairs in the main hall.\n<wait>	reads: とにかく早く、バエルの部屋に行かなくてはならない。\nホールにある階段を使って、上に行った方が早いだろう。\n<wait> @from-ours
m/MS005E.BIN	0:04	0	11	1F03			
m/MS005E.BIN	0:04	1	15	1FD2	{08:31}：	Rui:	reads: 泪： @from-v005
m/MS005E.BIN	0:04	2	21	1FD3	ねぇちょ{08:53}{08:72}余計な所{08:6A}か行っ{08:2B}場合{08:81}{08:25}わ。\n早く上に向か{08:89}しょ！\n	There's no time for detours. Let's hurry!\n	reads: ねぇちょっと‥‥余計な所なんか行ってる場合じゃないわ。\n早く上に向かいましょ！\n @from-v005
m/MS005E.BIN	0:04	3	95	1FD2	{08:31}：	Rui:	reads: 泪： @from-v005
m/MS005E.BIN	0:04	4	101	1FD3	余計な所に行っ{08:2B}暇は{08:25}わね。\n早く上に行かなくちゃ{02:08}\n	There's no time for detours. Let's hurry!\n	reads: 余計な所に行ってる暇はないわね。\n早く上に行かなくちゃ‥‥‥\n @from-v005
m/MS005E.BIN	0:04	5	158	1FD0	余計な所に行く時間的余裕は無い。\n寄り道せずに、上へ向かおう。\n<wait>	There's no time for detours. Let's hurry!\n<wait>	@from-v005
m/MS005E.BIN	0:05	0	11	1F03			
m/MS005E.BIN	0:05	1	15	1FD2	{08:31}：	Rui:	reads: 泪： @from-v005
m/MS005E.BIN	0:05	2	21	1FD3	こっちに行{08:51}{08:52}、降り階段が{08:7B}{08:74}よ。\n{08:7A}時間の無駄に{08:59}事やめて、と{08:53}と上に行きま{08:80}よ。\n	Wrong way. You can only get downstairs from here.\n	reads: こっちに行ったって、降り階段があるだけよ。\nそんな時間の無駄になる事やめて、とっとと上に行きましょうよ。\n @from-v005
m/MS005E.BIN	0:05	3	115	1FD2	{08:31}：	Rui:	reads: 泪： @from-v005
m/MS005E.BIN	0:05	4	121	1FD3	こっち行{08:52}も、降り階段が{08:7B}{08:74}ね。\n{08:81}あ、こっちに用は{08:25}わ。\n	Wrong way. You can only get downstairs from here.\n	reads: こっち行っても、降り階段があるだけね。\nじゃあ、こっちに用はないわ。\n @from-v005
m/MS005E.BIN	0:05	5	184	1FD0	{02:0E}に行{08:52}も、降り階段が{08:7B}{08:74}で{08:7B}。\n余計な所に行っ{08:14}暇は{08:25}。早く上に向かわなくては{02:08}\n<wait>	Wrong way. You can only get downstairs from here.\n<wait>	reads: こちらに行っても、降り階段があるだけである。\n余計な所に行っている暇はない。早く上に向かわなくては‥‥‥\n<wait> @from-v005
m/MS005E.BIN	0:06	0	11	1F03			
m/MS005E.BIN	0:06	1	15	1FD2	{08:31}：	Rui:	reads: 泪： @from-v005
m/MS005E.BIN	0:06	2	21	1FD3	こっちに行{08:52}も何も無いわ。\n無駄な時間使うのはやめま{08:80}よ。\n	Wrong way. Hurry, there's no time to waste.\n	reads: こっちに行っても何も無いわ。\n無駄な時間使うのはやめましょうよ。\n @from-v005
m/MS005E.BIN	0:06	3	89	1FD2	{08:31}：	Rui:	reads: 泪： @from-v005
m/MS005E.BIN	0:06	4	95	1FD3	こっち行{08:52}も、何にも無いわね。\n{08:73}事{08:4A}{08:25}で、早く上にいかなきゃ{02:08}\n	Wrong way. Hurry, there's no time to waste.\n	reads: こっち行っても、何にも無いわね。\nこんな事してないで、早く上にいかなきゃ‥‥‥\n @from-v005
m/MS005E.BIN	0:06	5	164	1FD0	こっちに行{08:52}も、何も無い。\n{08:59}べく時間のロスは避け、上へ向かわなくては{02:08}\n<wait>	Wrong way. Hurry, there's no time to waste.\n<wait>	reads: こっちに行っても、何も無い。\nなるべく時間のロスは避け、上へ向かわなくては‥‥‥\n<wait> @from-v005
m/MS005E.BIN	0:0C	0	7	1FD2	声：	Voice:	@from-v005
m/MS005E.BIN	0:0C	1	13	1FD3	貴様らを、{08:48}以上先に進ま{08:2A}訳に{08:26}かん！！\n覚悟！！\n<wait>	I will not allow you to pass! Prepare yourselves!\n<wait>	reads: 貴様らを、これ以上先に進ませる訳にはいかん！！\n覚悟！！\n<wait> @from-v005
m/MS005E.BIN	0:0C	2	75	00	{01:04}	{01:04}	reads: 西野義雄
m/MS005E.BIN	0:0C	3	79	00	d{04:FF}	d{04:FF}	reads: d
m/MS005E.BIN	0:0C	4	83	00	d	d	
m/MS005E.BIN	0:0C	5	97	1F82	{01:73}	{01:73}	reads: 
m/MS005E.BIN	0:0C	6	117	1F03			
m/MS005E.BIN	0:0C	7	121	1FD2	{08:31}：	Rui:	reads: 泪： @from-v005
m/MS005E.BIN	0:0C	8	127	1FD3	ちょ{08:53}！\nせっかく{08:45}{08:71}来た{08:52}言うのに、怖じ気づ{08:64}の！？\n<wait>	What? You scared or something?\nListen, we're not going to get a better chance than this.\n<wait>	reads: ちょっと！\nせっかくここまで来たって言うのに、怖じ気づいたの！？\n<wait> @from-v005
m/MS005E.BIN	0:0C	9	189	1FD2	{08:31}：	Rui:	reads: 泪： @from-v005
m/MS005E.BIN	0:0C	10	195	1FD3	冗談{08:81}{08:25}わよ。\n{08:45}{08:71}来{08:50}	I'm not joking.\nI won't let you leave until you've reclaimed Yuuka's head!\n	reads: 冗談じゃないわよ。\nここまで来たら @from-v005
m/MS005E.BIN	0:0C	11	222	00	{04:FE}ちゃんの頭を持ち出す{08:71}、戻る{08:6A}て許さ{08:25}！！\n		reads: ちゃんの頭を持ち出すまで、戻るなんて許さない！！\n @rebase-new
m/MS005E.BIN	0:0C	12	277	1FD2	{08:31}：	Rui:	reads: 泪： @from-v005
m/MS005E.BIN	0:0C	13	283	1FD3	{08:45}{08:71}来た以上、戻る訳には行か{08:25}わね{02:08}\nちょ{08:53}不安{08:74}ど、行く{08:86}{08:25}か{02:08}\n	We've come too far to turn back now.\nAs scared as you might be, we've gotta do this.\n	reads: ここまで来た以上、戻る訳には行かないわね‥‥‥\nちょっと不安だけど、行くしかないか‥‥‥\n @from-v005
m/MS005E.BIN	0:0C	14	354	1FD0	{08:45}{08:71}来た以上、戻る訳に{08:26}か{08:25}。\n	You've come too far to turn back now.\nAs scared as you might be, you've gotta do this.\n<wait>	reads: ここまで来た以上、戻る訳にはいかない。\n @from-v005
m/MS005E.BIN	0:0C	15	389	00	{04:FE}の頭を手に入{08:2F}{08:71}は{02:08}‥！\n<wait>		reads: の頭を手に入れるまでは‥‥‥‥！\n<wait> @rebase-new
m/MS005E.BIN	0:0D	0	2	1FD2	声：	Voice:	@from-v005
m/MS005E.BIN	0:0D	1	8	1FD3	クククク{02:08}！\n<wait>	Hehehe!...\n<wait>	reads: クククク‥‥‥！\n<wait> @from-v005
m/MS005E.BIN	0:0D	2	29	1FD2	声：	Voice:	@from-v005
m/MS005E.BIN	0:0D	3	35	1FD3	オ前達ヲ、石像ニシテクレル！！\n<wait>	I shall turn you into stone!\n<wait>	@from-v005
m/MS005E.BIN	0:0D	4	77	1EBE	{01:00}{01:04}	{01:00}{01:04}	reads: 早坂達也西野義雄
m/MS005E.BIN	0:0D	5	83	00	d{04:FF}	d{04:FF}	reads: d
m/MS005E.BIN	0:0D	6	87	00	d	d	
m/MS005E.BIN	0:0D	7	101	1F82	{01:6E}	{01:6E}	reads: 
m/MS005E.BIN	0:0F	0	2	1FD2	声：	Voice:	@from-v005
