# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS00D8.BIN	0:01	0	50	00	{03:15}	{03:15}	reads: 
m/MS00D8.BIN	0:02	0	8	1F80	{=E2}{=00}{01:1F}{=E8}{=03}	{=E2}{=00}{01:1F}{=E8}{=03}	reads: {=E2}{=00}おにいちゃん{=E8}{=03}
m/MS00D8.BIN	0:02	1	22	00	{02:1F}	{02:1F}	reads: 
m/MS00D8.BIN	0:02	2	36	09	{=E8}{=03}{03:03}	{=E8}{=03}{03:03}	reads: {=E8}{=03}だした
m/MS00D8.BIN	0:02	3	43	19	{=E8}{=03}{03:04}	{=E8}{=03}{03:04}	reads: {=E8}{=03}味方
m/MS00D8.BIN	0:03	0	8	1F80	{=E2}{=00}{01:1F}{=EC}{=03}{05:1F}{=EC}{=03}	{=E2}{=00}{01:1F}{=EC}{=03}{05:1F}{=EC}{=03}	reads: {=E2}{=00}おにいちゃん{=EC}{=03}{=EC}{=03}
m/MS00D8.BIN	0:05	0	8	1F80	{=E2}{=00}{01:1F}{=E8}{=03}{05:00}{01:1F}L{03:00}	{=E2}{=00}{01:1F}{=E8}{=03}{05:00}{01:1F}L{03:00}	reads: {=E2}{=00}おにいちゃん{=E8}{=03}はいいいえニュートンおにいちゃんL飛び道具
m/MS00D8.BIN	0:05	1	35	1F4E	{03:04}	{03:04}	reads: 味方
m/MS00D8.BIN	0:05	2	47	1EC4	{03:19}	{03:19}	reads: 
m/MS00D8.BIN	0:06	0	24	12	{03:05}	{03:05}	reads: 銃口を向けた
m/MS00D8.BIN	0:07	0	8	1F80	{=E2}{=00}{01:1F}{=E8}{=03}{05:00}{01:1F}L{03:00}	{=E2}{=00}{01:1F}{=E8}{=03}{05:00}{01:1F}L{03:00}	reads: {=E2}{=00}おにいちゃん{=E8}{=03}はいいいえニュートンおにいちゃんL飛び道具
m/MS00D8.BIN	0:07	1	27	10	{03:19}	{03:19}	reads: 
m/MS00D8.BIN	0:07	2	39	1F50	{03:19}	{03:19}	reads: 
m/MS00D8.BIN	0:08	0	24	12	{03:05}	{03:05}	reads: 銃口を向けた
m/MS00D8.BIN	0:08	1	27	00	{05:0A}	{05:0A}	reads: ママペンタグランマ'そんなこと.切り3飛び道具:A＞何をしますか？M山瀬勇?ペンタグランマ>そんなこと=切り<飛び道具;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ切り山瀬勇?ペンタグランマ>そんなこと=切り<飛び道具;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ切り切り山瀬勇?ペンタグランマ>そんなこと=切り<飛び道具;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ切り切り切り?ペンタグランマ>=<;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ
m/MS00D8.BIN	0:09	0	8	1F80	{=E2}{=00}{01:1F}{=E8}{=03}{05:00}{01:1F}{=ED}{=03}	{=E2}{=00}{01:1F}{=E8}{=03}{05:00}{01:1F}{=ED}{=03}	reads: {=E2}{=00}おにいちゃん{=E8}{=03}はいいいえニュートンおにいちゃん{=ED}{=03}
m/MS00D8.BIN	0:09	1	31	1F50	{03:19}	{03:19}	reads: 
m/MS00D8.BIN	0:0A	0	0	DATA	{03:0B}{02:04}を{08:48}以上持て{08:25}\n何か捨て{08:15}\n	However, you cannot carry more items.\nWould you like to throw away something?\n	reads: しかし、アイテムをこれ以上持てない\n何か捨てますか？\n @from-v005
m/MS00D8.BIN	0:0A	1	34	1F58	{05:00}	{05:00}	reads: はいいいえニュートン
m/MS00D8.BIN	0:0A	2	102	00	をあきらめ{08:5A}か\n		reads: をあきらめますか\n @rebase-new
m/MS00D8.BIN	0:0A	3	121	1F58	{05:00}	{05:00}	reads: はいいいえニュートン
m/MS00D8.BIN	0:0A	4	172	16	{03:17}	ow away 	reads:  @from-v005 @rebase-tagdiff
m/MS00D8.BIN	0:0A	5	185	00			
m/MS00D8.BIN	0:0A	6	190	1F02	個捨て{08:5A}\n		reads: 個捨てます\n
m/MS00D8.BIN	0:0A	7	203	1F58	{05:00}	{05:00}	reads: はいいいえニュートン
m/MS00D8.BIN	0:0B	0	11	1EB0	{01:30}	{01:30}	reads: 医師
m/MS00D8.BIN	0:0B	1	14	00	{03:01}ｴ		reads: そんなことｴ
m/MS00D8.BIN	0:0B	2	18	00			
m/MS00D8.BIN	0:0B	3	23	1B	＜破棄{02:04}選択＞	\<Select Item to Discard>	reads: ＜破棄アイテム選択＞ @from-ours
m/MS00D8.BIN	0:0B	4	136	00	{02:00}{02:00}{01:18}	{02:00}{02:00}{01:18}	reads: デビルバスターデビルバスターあんた
m/MS00D8.BIN	0:0B	5	171	00			
m/MS00D8.BIN	0:0C	0	81	1F1A	{01:64}	{01:64}	reads: 
m/MS00D8.BIN	0:0C	1	84	00	{02:01}i	{02:01}i	reads: ペンタグランマi
m/MS00D8.BIN	0:0C	2	88	00	{03:01}n	{03:01}n	reads: そんなことn
m/MS00D8.BIN	0:0C	3	92	00	{04:01}s	{04:01}s	reads: 切りs
m/MS00D8.BIN	0:0C	4	96	00	{05:01}x	{05:01}x	reads: 飛び道具x
m/MS00D8.BIN	0:0C	5	100	00	{06:01}}	{06:01}}	reads: }
m/MS00D8.BIN	0:0C	6	104	00	{07:01}{=82}{=00}{08:01}{=87}{=00}	{07:01}{=82}{=00}{08:01}{=87}{=00}	reads: ＞何をしますか？{=82}{=00}達也{=87}{=00}
m/MS00D8.BIN	0:0C	7	117	09	{01:91}	{01:91}	reads: 
m/MS00D8.BIN	0:0C	8	120	00			
m/MS00D8.BIN	0:0C	9	137	1F87	{05:01}	{05:01}	reads: 飛び道具
m/MS00D8.BIN	0:0D	0	76	1FEC	{05:03}	{05:03}	reads: 飛び道具
m/MS00D8.BIN	0:0D	1	88	1F7F	{03:01}{03:17}	{03:01}{03:17}	reads: そんなこと
m/MS00D8.BIN	0:0E	0	11	1EB0	{01:2C}	{01:2C}	reads: 開発
m/MS00D8.BIN	0:0E	1	14	00			
m/MS00D8.BIN	0:0E	2	21	1B	該当メンバー	Matching Member	@from-ours
m/MS00D8.BIN	0:0F	0	86	1F81	{03:05}	{03:05}	reads: 銃口を向けた
m/MS00D8.BIN	0:10	0	11	1EB0	{01:28}	{01:28}	reads: いつも
m/MS00D8.BIN	0:10	1	14	00			
m/MS00D8.BIN	0:10	2	21	1B	メンバー	Member	@from-ours
