# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS00DB.BIN	0:01	0	26	1F80	{03:08}b	{03:08}b	reads: アップb
m/MS00DB.BIN	0:01	1	38	1EB0	{01:9F}	{01:9F}	reads:  @rebase-new
m/MS00DB.BIN	0:01	2	41	00	{02:01}｣		reads: ペンタグランマ｣
m/MS00DB.BIN	0:01	3	45	00	{03:01}ｸ		reads: そんなことｸ
m/MS00DB.BIN	0:01	4	49	00	{04:01}ﾞ		reads: 切りﾞ
m/MS00DB.BIN	0:01	5	53	00	{05:01}{=E6}{=00}{06:01}{=EC}{=00}{07:01}7{01:08}{01:41}{01:09}{01:4F}{01:0A}{01:5D}{01:0B}{01:69}{01:0C}{01:73}{01:0D}{01:2C}{02:0E}{01:7D}{02:0F}{01:89}{02:10}{01:B2}{02:11}{01:D7}{02:12}{01:7E}{04:13}{01:8C}{04:14}{01:90}{04:15}{01:98}{04:16}{01:A2}{04:17}{01:B0}{04:18}{01:C9}{04:19}{01:D7}{04:1A}{01:F0}{05:1B}{01:F4}{05:1C}{01:31}{06:1D}{01:37}{06:1E}{01:7A}{06:1F}{01:8C}{06:20}{01:96}{06:21}{01:A4}{06:22}{01:B6}{06:23}{01:C6}{06:24}{01:12}{07:25}{01:19}{07:26}{01:D9}{07:27}{01:E5}{07:28}{01:FA}{07:FF}	{05:01}{=E6}{=00}{06:01}{=EC}{=00}{07:01}7{01:08}{01:41}{01:09}{01:4F}{01:0A}{01:5D}{01:0B}{01:69}{01:0C}{01:73}{01:0D}{01:2C}{02:0E}{01:7D}{02:0F}{01:89}{02:10}{01:B2}{02:11}{01:D7}{02:12}{01:7E}{04:13}{01:8C}{04:14}{01:90}{04:15}{01:98}{04:16}{01:A2}{04:17}{01:B0}{04:18}{01:C9}{04:19}{01:D7}{04:1A}{01:F0}{05:1B}{01:F4}{05:1C}{01:31}{06:1D}{01:37}{06:1E}{01:7A}{06:1F}{01:8C}{06:20}{01:96}{06:21}{01:A4}{06:22}{01:B6}{06:23}{01:C6}{06:24}{01:12}{07:25}{01:19}{07:26}{01:D9}{07:27}{01:E5}{07:28}{01:FA}{07:FF}	reads: 飛び道具{=E6}{=00}{=EC}{=00}＞何をしますか？7バエルわたしたちわたしはわたしがわたしのわたしを開発こちらがををがりらせ出しわれえさせたちは無事リーダーあなたの成功！われわれはずれた！踊った！歌った！
m/MS00DB.BIN	0:01	6	208	00	何者かに護られ、\n	 is protected by their guardian spirit,\n	@from-v005
m/MS00DB.BIN	0:01	7	233	00	憑依者の言葉に従{08:51}\n	 obeyed their possessor.\n	reads: 憑依者の言葉に従った\n @from-v005
m/MS00DB.BIN	0:01	8	253	00	憑依{08:4B}{08:0B}の言葉を退{08:43}\n	 managed to disobey their possessor.\n	reads: 憑依した悪魔の言葉を退けた\n @from-v005
m/MS00DB.BIN	0:01	9	275	00	{03:11}う{08:53}り{08:13}\n	 is mesmerized by the enemy.\n	reads: 敵にうっとりしている\n @from-v005
m/MS00DB.BIN	0:01	10	287	00	魅了{03:0C}{08:14}\n	 is charmed by the enemy.\n	reads: 魅了されている\n @from-v005
m/MS00DB.BIN	0:01	11	305	0B	誘惑に打ち克ち	 overcame the temptations.\n	@from-v005
m/MS00DB.BIN	0:01	12	323	1FC4	魅了{08:42}解放{03:0C}た\n	 is freed from the temptations.\n	reads: 魅了から解放された\n @from-v005
m/MS00DB.BIN	0:01	13	348	18	いっしゅん魅了の呪縛{08:42}逃{08:60}\n	 momentarily escaped the binding spell.\n	reads: いっしゅん魅了の呪縛から逃れた\n @from-v005
