# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS6004.BIN	0:31	0	37	1FB2	{08:26}	Yes	reads: はい; menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:31	1	41	1FB2	{08:27}	No	reads: いいえ; menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:31	2	58	00	澹		
m/MS6004.BIN	0:31	3	99	1FB2	{08:26}	Yes	reads: はい; menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:31	4	103	1FB2	{08:27}	No	reads: いいえ; menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:31	5	120	00	濟		
m/MS6004.BIN	0:31	6	183	1FB2	{08:26}	Yes	reads: はい; menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:31	7	187	1FB2	{08:27}	No	reads: いいえ; menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:31	8	204	00	濬		
m/MS6004.BIN	0:31	9	253	1FB2	{08:26}	Yes	reads: はい; menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:31	10	257	1FB2	{08:27}	No	reads: いいえ; menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:31	11	274	00	濘		
m/MS6004.BIN	0:57	0	30	1FB2	わ{08:18}	Understood	reads: わかった; menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:57	1	36	1FB2	駄目	No Good	menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:57	2	54	0F	{01:01}	{01:01}	reads: 山瀬勇
m/MS6004.BIN	0:57	3	57	00			
m/MS6004.BIN	0:57	4	67	00	{=EC}{=24}	{=EC}{=24}	
m/MS6004.BIN	0:59	0	58	00	濛		
m/MS6004.BIN	0:59	1	95	18	{02:09}・・引き寄せら{08:2F}？？？\n	.....Am I being drawn in???\n	reads: ・・・・・引き寄せられる？？？\n @from-ours
m/MS6004.BIN	0:59	2	149	00	{=EC}{=01}	{=EC}{=01}	
m/MS6004.BIN	0:5A	0	18	00	{04:EF}は涙を流{08:13}\n	{04:EF} has tears streaming down.\n	reads: は涙を流している\n @from-ours
m/MS6004.BIN	0:5C	0	33	0E	{01:56}	{01:56}	reads: 
m/MS6004.BIN	0:5C	1	36	00			
m/MS6004.BIN	0:5C	2	80	00	{04:EF}は後ずさろうと{08:4B}が後退{08:23}！\n	{04:EF} tried to step back, but can't back away!\n	reads: は後ずさろうとしたが後退できない！\n @from-ours
m/MS6004.BIN	0:5F	0	4	00	{04:EF}は誘惑し{08:1C}\n	{04:EF} tried to tempt you!\n	reads: は誘惑してきた！\n @from-ours
m/MS6004.BIN	0:5F	1	28	1FFA	{02:09}	{02:09}	reads: ・・・
m/MS6004.BIN	0:5F	2	32	1FFB	？？？	???	@from-ours
m/MS6004.BIN	0:5F	3	42	00	{04:FF}は魅了{03:0C}た！\n	{04:FF} was charmed completely!\n	reads: は魅了された！\n @from-ours
m/MS6004.BIN	0:5F	4	87	0E	{02:09}チュッ\n	...Mwah!\n	reads: ・・・チュッ\n @from-ours
m/MS6004.BIN	0:5F	5	118	1FA3	{08:03}が睨んで{08:40}{02:09}\n	Emi is glaring...\n	reads: 英美が睨んでいる・・・\n @from-ours
m/MS6004.BIN	0:5F	6	146	0E	{08:03}のメガトンパンチが炸裂！！！\n	Emi's Megaton Punch explodes!!!\n	reads: 英美のメガトンパンチが炸裂！！！\n @from-ours
m/MS6004.BIN	0:5F	7	219	1FA3	{08:31}が睨んで{08:40}{02:09}\n	Rui is glaring...\n	reads: 泪が睨んでいる・・・\n @from-ours
m/MS6004.BIN	0:5F	8	247	0E	{08:31}の鉄拳が	Rui's Iron Fist	reads: 泪の鉄拳が @from-ours
m/MS6004.BIN	0:62	0	6	1FFA	{02:09}	{02:09}	reads: ・・・
m/MS6004.BIN	0:62	1	10	1FFB	{01:23}お待ち下{08:49}	{01:23}#Please Wait	reads: しばらくお待ち下さい @from-ours
m/MS6004.BIN	0:62	2	24	1FFA	{02:09}\n	{02:09}\n	reads: ・・・\n
m/MS6004.BIN	0:60	0	7	00	濛		
m/MS6004.BIN	0:60	1	40	00	濛		
m/MS6004.BIN	0:73	0	4	00	{04:EF}は怯え{08:14}{08:69}だ\n	{04:EF} seems terrified.\n	reads: は怯えているようだ\n @from-ours
m/MS6004.BIN	0:73	1	35	1FB2	威嚇射撃	Warning Shot	menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:73	2	45	1FB2	近づく	Approach	menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:73	3	53	1FB2	様子を見る	Wait and See	menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:73	4	65	1FB2	{08:0C}	Attack	reads: 攻撃; menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:73	5	82	00	煢{02:00}煌{03:00}熏	煢Devil Buster煌Ranged Weapon熏	reads: 煢デビルバスター煌飛び道具熏 @from-ours
m/MS6004.BIN	0:84	0	6	1FAE	ガンを装備{08:4A}{08:24}！\n	Not equipped with a gun!\n	reads: ガンを装備していない！\n @from-ours
m/MS6004.BIN	0:84	1	137	00	{04:EF}は涙を流{08:13}\n	{04:EF} has tears streaming down.\n	reads: は涙を流している\n @from-ours
m/MS6004.BIN	0:84	2	166	1FB2	脅す	Threaten Them	menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:84	3	172	1FB2	謝る	Apologize	menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:84	4	178	1FB2	ほ{08:53}く	Leave It Alone	reads: ほっとく; menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:84	5	198	0F	{01:39}	{01:39}	reads: アナタ
m/MS6004.BIN	0:84	6	201	00	{02:01}P	{02:01}P	reads: ペンタグランマP
m/MS6004.BIN	0:84	7	205	00			
m/MS6004.BIN	0:84	8	298	1FFA	{02:09}	{02:09}	reads: ・・・
m/MS6004.BIN	0:84	9	302	1FFB	ウソ泣きだ！\n	Fake crying!\n	@from-ours
m/MS6004.BIN	0:84	10	331	1FB2	怒る	Get Angry	menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:84	11	337	1FB2	ほ{08:53}く	Leave It Alone	reads: ほっとく; menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:84	12	358	00	煕		
m/MS6004.BIN	0:84	13	368	00	{04:EF}は泣い{08:14}{02:09}・・\n	{04:EF} is crying.....\n	reads: は泣いている・・・・・\n @from-ours
m/MS6004.BIN	0:84	14	401	1FB2	脅す	Threaten Them	menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:84	15	407	1FB2	謝る	Apologize	menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:84	16	426	00	煦		
m/MS6004.BIN	0:86	0	2	1FBA	{02:09}\n	{02:09}\n	reads: ・・・\n
m/MS6004.BIN	0:87	0	6	00	{04:EF}は泣きや{08:5F}\n	{04:EF} stopped crying.\n	reads: は泣きやんだ\n @from-ours
m/MS6004.BIN	0:87	1	35	00	{04:EF}は睨んで{08:40}{02:09}・・\n	{04:EF} is glaring.....\n	reads: は睨んでいる・・・・・\n @from-ours
m/MS6004.BIN	0:8A	0	95	1FB2	本当	It's True	menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:8A	1	101	1FB2	嘘	A Lie	menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:8A	2	118	00	煬		
m/MS6004.BIN	0:8E	0	4	00	{04:EF}は指を鳴ら{08:17}\n	{04:EF} snapped its fingers!\n	reads: は指を鳴らした！\n @from-ours
m/MS6004.BIN	0:8F	0	4	00	{04:EF}は涙を流{08:13}\n	{04:EF} has tears streaming down.\n	reads: は涙を流している\n @from-ours
m/MS6004.BIN	0:8F	1	33	1FB2	脅す	Threaten Them	menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:8F	2	39	1FB2	謝る	Apologize	menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:8F	3	45	1FB2	ほ{08:53}く	Leave It Alone	reads: ほっとく; menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:8F	4	65	0F	{01:2B}	{01:2B}	reads: ゾンビ
m/MS6004.BIN	0:8F	5	68	00	{02:01}C	{02:01}C	reads: ペンタグランマC
m/MS6004.BIN	0:8F	6	72	00			
m/MS6004.BIN	0:8F	7	101	1FFA	{02:09}{02:09}\n	{02:09}{02:09}\n	reads: ・・・・・・\n
m/MS6004.BIN	0:8F	8	151	00	{04:EF}は{08:76}　泣い{08:14}\n	{04:EF} is still crying.\n	reads: はまだ　泣いている\n @from-ours
m/MS6004.BIN	0:90	0	30	1FB2	{08:26}	Yes	reads: はい; menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:90	1	34	1FB2	{08:27}	No	reads: いいえ; menu option, declared width 20 columns @from-ours
m/MS6004.BIN	0:90	2	50	0F	{01:01}	{01:01}	reads: 山瀬勇
m/MS6004.BIN	0:90	3	53	00			
m/MS6004.BIN	0:90	4	80	00	{=EC}{=1E}	{=EC}{=1E}	
m/MS6004.BIN	0:90	5	119	00	{04:EF}は後ずさろうと{08:4B}が後退{08:23}！\n	{04:EF} tried to step back, but can't back away!\n	reads: は後ずさろうとしたが後退できない！\n @from-ours
