P2000  Souma Yukihito
P2001  Souma Yukihito_
P2002  Utsumi Shouko
P2003  Utsumi Shouko_
P2004  Asuka Rui
P2005  Nishino Yoshio
P2006  Hayasaka Tatsuya
P2007  Sonoda Tetsuya
P2008  Kamikawa Kouki
P2009  Souma Sanshirou
P200A  Yamase Isamu
P200B  Kirishima Emi
P200C  Barbara
P200D  Newton
P200E  Yamada Kazumi
P200F  Jukai
P2010  Nosferatu
P2011  Eye Ball
P2012  Bit Ball
P2013  High Ball
P2014  T93-α
P2015  T93-β
P2016  Innsmouth
P2017  Weredog
P2018  Werecat
P2019  Werewolf
P201A  Vampire
P201B  Doppelganger
P201C  Slime
P201D  Plasma Ball
P201E  Crap Slime
P201F  Splatter
P2020  Dainichi Nyorai
P2021  Baal Hadad
P2022  Marduk
P2023  Lugh
P2024  Amon
P2025  Kama
P2026  Ishtar
P2027  Amaterasu
P2028  Lakshmi
P2029  Urd
P202A  Ninhursag
P202B  Nike
P202C  Freya
P202D  Ame-no-Uzume
P202E  Brigid
P202F  Suseri-Hime
P2030  Kalki
P2031  Susano-o
P2032  Ares
P2033  Ookuninushi
P2034  Yamato-Takeru
P2035  Take-Mikazuchi
P2036  Priyankara
P2037  Take-Minakata
P2038  Hatsueo-no-Mikot
P2039  Tajikarao
P203A  Remiel
P203B  Phanuel
P203C  Raphaela
P203D  Abdiel
P203E  Kikuri-Hime
P203F  Hariti
P2040  Asherah
P2041  Vesta
P2042  Heket
P2043  Qing-Long
P2044  Kingu
P2045  Toyotama-Hime
P2046  Pek-Young
P2047  Kayano-Hime
P2048  Namuci
P2049  Garuda
P204A  Yatagarasu
P204B  Phoenix
P204C  Jatayu
P204D  Hou-Ou
P204E  Suparna
P204F  Kinshichou
P2050  Barong
P2051  Narasimha
P2052  Hakuei
P2053  Shiisaa
P2054  Shirohebi
P2055  Apis
P2056  Shirogitsune
P2057  Salamander
P2058  Undine
P2059  Gnome
P205A  Sylph
P205B  Holy Elemental
P205C  Flame Elemental
P205D  Aqua Elemental
P205E  Terra Elemental
P205F  Aero Elemental
P2060  Virtue
P2061  Power
P2062  Principality
P2063  Archangel
P2064  Daniel
P2065  Cassiel
P2066  Shamsiel
P2067  Angel
P2068  Holy Ghost
P2069  Watcher
P206A  Morax
P206B  Purson
P206C  Haagenti
P206D  Vepar
P206E  Flauros
P206F  Vine
P2070  Forneus
P2071  Decarabia
P2072  Procel
P2073  Eligor
P2074  Orias
P2075  Vapula
P2076  Abaddon
P2077  Marchosias
P2078  Leraje
P2079  Orobas
P207A  Zepar
P207B  Buer
P207C  Zagan
P207D  Amdusias
P207E  Valac
P207F  Stolas
P2080  Valefor
P2081  Caim
P2082  Pendragon
P2083  Naga Kanya
P2084  Naga Raja
P2085  Hong-Long
P2086  Maya
P2087  Ying-Long
P2088  Nagi
P2089  Naga
P208A  Nozuchi
P208B  Melusine
P208C  Yato
P208D  Morrighan
P208E  Celaeno
P208F  Macha
P2090  Aello
P2091  Neamhan
P2092  Okypete
P2093  Podarge
P2094  Aellopus
P2095  Nicothoe
P2096  Harpy
P2097  Bogey Raven
P2098  Tammuz
P2099  Cerberus
P209A  Stonka
P209B  Orthrus
P209C  Kuzunoha
P209D  Gabriel Ratchets
P209E  Kelpie
P209F  Nekomata
P20A0  Cu Sith
P20A1  Osaki Gitsune
P20A2  Okon Kitsune
P20A3  Cait Sith
P20A4  Kitsune
P20A5  Kuda Gitsune
P20A6  Ganesha
P20A7  Djinn
P20A8  Peri
P20A9  Eros
P20AA  Gandharva
P20AB  Cupid
P20AC  Ville
P20AD  Psyche
P20AE  Keukegen
P20AF  Vampire
P20B0  Succubus
P20B1  Lilim
P20B2  Cyak
P20B3  Anahita
P20B4  Apsaras
P20B5  Ariel
P20B6  Rusalka
P20B7  Azumi
P20B8  Nereid
P20B9  Ihika
P20BA  Nymph
P20BB  Mab
P20BC  Cu Chulainn
P20BD  Troll
P20BE  Tam Lin
P20BF  Mabel
P20C0  Elf
P20C1  Hobgoblin
P20C2  Jack-o'-lantern
P20C3  Jack Frost
P20C4  Goblin
P20C5  High Pixie
P20C6  Leprechaun
