# Giten district names (et/ET000D.BIN container 1) -- the location strip
# Edit the 'en' column.  Leave it empty to keep the Japanese.
# Budget 12 half-width cells; see giten/districts.py for why that is conservative.
index	jp	en	status	note
0	　　　　			
1	長崎	Nagasaki		
2	南長崎	S.Nagasaki		
3	東中野	E.Nakano		
4	池袋	Ikebukuro		
5	西池袋	W.Ikebukuro		
6	東池袋	E.Ikebukuro		
7	南池袋	S.Ikebukuro		
8	目白	Mejiro		
9	目白台	Mejirodai		
10	上落合	Kamiochiai		
11	中落合	Nakaochiai		
12	下落合	Shimoochiai		
13	雑司が谷	Zoshigaya		
14	南大塚	S.Otsuka		
15	大塚	Otsuka		
16	千石	Sengoku		
17	小石川	Koishikawa		
18	本駒込	Honkomagome		
19	千駄木	Sendagi		
20	谷中	Yanaka		
21	白山	Hakusan		
22	西日暮里	W.Nippori		
23	東日暮里	E.Nippori		
24	下谷	Shitaya		
25	南千住	S.Senju		
26	三ノ輪	Minowa		
27	日本是	Nihonzutsu		
28	清川	Kiyokawa		
29	竜泉	Ryusen		
30	浅草	Asakusa		
31	元浅草	Motoasakusa		
32	西浅草	W.Asakusa		
33	浅草橋	Asakusabashi		
34	高田馬場	Takadanobaba		
35	高田	Takada		
36	早稲田	Waseda		
37	小日向	Kohinata		
38	関口	Sekiguchi		
39	山吹	Yamabuki		
40	水道	Suido		
41	本郷	Hongo		
42	上野	Ueno		
43	東上野	E.Ueno		
44	北野	Kitano		
45	松ヶ谷	Matsugaya		
46	池ノ端	Ikenohata		
47	湯島	Yushima		
48	入谷	Iriya		
49	花川戸	Hanakawado		
50	本所	Honjo		
51	雷門	Kaminarimon		
52	新宿	Shinjuku		
53	北新宿	N.Shinjuku		
54	西新宿	W.Shinjuku		
55	百人町	Hyakunincho		
56	大久保	Okubo		
57	中央	Chuo		
58	歌舞伎町	Kabukicho		
59	戸山	Toyama		
60	原町	Haramachi		
61	若松町	Wakamatsucho		
62	市ヶ谷	Ichigaya		
63	余丁町	Yochomachi		
64	矢吹	Yabuki		
65	東五軒	Higashigoken		
66	新小川町	Shinogawa		
67	弁天町	Bentencho		
68	榎町	Enokicho		
69	矢入町	Yairicho		
70	神楽坂	Kagurazaka		
71	飯田橋	Iidabashi		
72	富士見町	Fujimicho		
73	神田	Kanda		
74	外神田	Sotokanda		
75	九段	Kudan		
76	九段北	N.Kudan		
77	九段南	S.Kudan		
78	台東	Taito		
79	東駒形	E.Komagata		
80	三筋	Misuji		
81	蔵前	Kuramae		
82	亀沢	Kamezawa		
83	本町	Honcho		
84	千駄ヶ谷	Sendagaya		
85	代々木	Yoyogi		
86	元代々木	Motoyoyogi		
87	富久町	Fukucho		
88	住吉町	Sumiyoshicho		
89	四谷	Yotsuya		
90	愛住町	Aizumicho		
91	荒木町	Arakicho		
