# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
et/ID009C.BIN	5:00	0	24	1FB2	{08:79}通り		Exactly	ours		reads: その通り; menu option, declared width 20 columns
et/ID009C.BIN	5:00	1	32	1FB2	{08:4D}ほど{08:56}		Not Really	ours		reads: それほどでも; menu option, declared width 20 columns
et/ID009C.BIN	5:00	2	115	1FD2	{08:03}：	{08:03}：	Emi:	ours		reads: 英美：; reads: われわれ
et/ID009C.BIN	5:00	3	121	1FD3	何言{08:52}んのよ！\n	What are you saying!\n	What'd you say!?\n	ours	draft	reads: 何言ってんのよ！\n; reads: 何言ってんのよ！\n @seamfix-2026-09-05
et/ID009C.BIN	5:00	4	138	1FBA	{08:03}のメガトンパンチが炸裂！！！\n		Emi's Megaton Punch connects!!!\n	ours		reads: 英美のメガトンパンチが炸裂！！！\n; reads: 英美：
et/ID009C.BIN	5:00	5	198	1FD2	{08:31}：		Rui:	ours		reads: 泪：; reads: 何言ってんのよ！\n
et/ID009C.BIN	5:00	6	204	1FD3	何言{08:52}んのよ！\n		What'd you say!?\n	ours		reads: 何言ってんのよ！\n; reads: 英美のメガトンパンチが炸裂！！！\n
et/ID009C.BIN	5:00	7	221	1FBA	{08:31}の鉄拳が炸裂！！！\n		Rui lands a punch!!!\n	ours		reads: 泪の鉄拳が炸裂！！！\n; reads: 泪：
et/ID009C.BIN	5:00	8	308	1F01	はしょげ{08:14}\n	 looks dejected.\n	It looks dejected.\n	ours	draft	reads: はしょげている\n; reads: 何言ってんのよ！\n @rebase-tagdiff @seamfix-2026-09-05
et/ID009C.BIN	5:00	9	335	1FB2	慰{08:2E}		Soothe	ours		reads: 慰める; menu option, declared width 20 columns; reads: 泪の鉄拳が炸裂！！！\n
et/ID009C.BIN	5:00	10	341	1FB2	無視		Skip	ours		menu option, declared width 20 columns; reads: はしょげている\n
et/ID009C.BIN	5:00	11	467	1FFA	{02:09}・・\n		{02:09}..\n	ours		reads: ・・・・・\n; reads: 慰める; menu option, declared width 20 columns
et/ID009C.BIN	5:00	12	520	1FB2	{08:0B}狩り		Hunting	ours		reads: 悪魔狩り; menu option, declared width 20 columns
et/ID009C.BIN	5:00	13	528	1FB2	{08:0E}探し	Look for an ally	Scouting	ours	draft	reads: 仲魔探し; menu option, declared width 20 columns; menu option, declared width 20 columns @seamfix-2026-09-05
et/ID009C.BIN	5:00	14	536	1FB2	物乞い	Beg	Alms	ours	draft	menu option, declared width 20 columns; menu option, declared width 20 columns @seamfix-2026-09-05
et/ID009C.BIN	5:00	15	544	1FB2	別に…		Meh...	ours		menu option, declared width 20 columns; reads: ・・・・・\n
et/ID009C.BIN	12:24	0	0	DATA	せめて　		At least, 	ours		
et/ID009C.BIN	15:C2	0	0	DATA	控えめな所も{08:7F}わぁー\n<wait>		I like how modest you are~\n<wait>	ours		reads: 控えめな所もいいわぁー\n<wait>
et/ID009C.BIN	15:C3	0	0	DATA	一緒に暮らさ{08:25}？\n<wait>		Want to live together?\n<wait>	ours		reads: 一緒に暮らさない？\n<wait>
et/ID009C.BIN	15:C4	0	0	DATA	そこ{08:71}言{08:52}く{08:2F}{08:6A}て		To think you'd say that much...	ours		reads: そこまで言ってくれるなんて
et/ID009C.BIN	15:C4	1	24	1FFA	{02:09}\n	{02:09}\n				reads: ・・・\n
et/ID009C.BIN	15:C5	0	0	DATA	気休めはやめて！\n<wait>		Stop trying to comfort me!\n<wait>	ours		
