# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
et/ID009D.BIN	0:97	0	0	DATA	＞{02:06}\n		>{02:06}\n	ours		reads: ＞どうしますか？\n
et/ID009D.BIN	0:97	1	33	1FB2	宝石		Gemstone	ours		menu option, declared width 20 columns
et/ID009D.BIN	0:97	2	39	1FB2	魔石		Magic Stone	ours		menu option, declared width 20 columns
et/ID009D.BIN	0:97	3	45	1FB2	ＭＡＧ		MAG	ours		menu option, declared width 20 columns
et/ID009D.BIN	0:97	4	53	1FB2	金		Money	ours		menu option, declared width 20 columns
et/ID009D.BIN	0:97	5	57	1FB2	他の物		Other	ours		menu option, declared width 20 columns
et/ID009D.BIN	0:97	6	109	1FB2	猫{08:81}らしを振る		Wave Cat Toy	ours		reads: 猫じゃらしを振る; menu option, declared width 20 columns; reads: 燎デビルバスター燠飛び道具燵切り早坂達也 @rebase-unmatched idx6 en=燎Devil Buster燠Ranged Weapon燵{04:01}{01:00} @rebase-unmatched idx6 en=燎Devil Buster燠Ranged Weapon燵{04:01}{01:00}
et/ID009D.BIN	0:97	7	125	1FB2	マタタビをあげる		Catnip	ours		menu option, declared width 20 columns; reads: 猫じゃらしを振る
et/ID009D.BIN	0:97	8	143	1FB2	喉を撫でる		Rub Neck	ours		menu option, declared width 20 columns
et/ID009D.BIN	0:97	9	155	1FB2	や{08:2E}		Cancel	ours		reads: やめる; menu option, declared width 20 columns
et/ID009D.BIN	0:97	10	161	1FB2	他の物		Other	ours		menu option, declared width 20 columns; reads: やめる
et/ID009D.BIN	0:97	11	216	1FB2	宝石		Gemstone	ours		menu option, declared width 20 columns
et/ID009D.BIN	0:97	12	222	1FB2	魔石	Magic Stone	Magic Stone	ours	draft	menu option, declared width 20 columns; reads: わたしがキャンプレジスタンス @seamfix-2026-09-05
et/ID009D.BIN	0:97	13	228	1FB2	ＭＡＧ		MAG	ours		menu option, declared width 20 columns; reads: 燼切りM @rebase-unmatched idx13 en=燼{04:01}M @rebase-unmatched idx13 en=燼{04:01}M
et/ID009D.BIN	0:97	14	236	1FB2	金		Money	ours		menu option, declared width 20 columns
et/ID009D.BIN	0:97	15	240	1FB2	他の物		Other	ours		menu option, declared width 20 columns
et/ID009D.BIN	0:97	16	292	1FB2	猫{08:81}らしを振る		Wave Cat Toy	ours		reads: 猫じゃらしを振る; menu option, declared width 20 columns
et/ID009D.BIN	0:97	17	308	1FB2	マタタビをあげる		Catnip	ours		menu option, declared width 20 columns
et/ID009D.BIN	0:97	18	326	1FB2	や{08:2E}		Cancel	ours		reads: やめる; menu option, declared width 20 columns
et/ID009D.BIN	0:97	19	332	1FB2	他の物		Other	ours		menu option, declared width 20 columns; reads: 燎デビルバスター燠飛び道具燵切り早坂達也 @rebase-unmatched idx19 en=燎Devil Buster燠Ranged Weapon燵{04:01}{01:00} @rebase-unmatched idx19 en=燎Devil Buster燠Ranged Weapon燵{04:01}{01:00}
et/ID009D.BIN	0:97	20	386	1F01	は喜んで{08:40}\n	 is delighted\n			draft	reads: は喜んでいる\n; reads: 猫じゃらしを振る; menu option, declared width 20 columns @rebase-new @seamfix-2026-09-05
et/ID009D.BIN	0:97	21	419	1F01	はスキだらけだ！\n＞{08:0C}し{08:15}\n	 is wide open!\n>Attack?\n			draft	reads: はスキだらけだ！\n＞攻撃しますか？\n; menu option, declared width 20 columns @rebase-new @seamfix-2026-09-05
et/ID009D.BIN	0:97	22	472	1F01	はと{08:54}興奮{08:13}\n	 is terribly excited\n			draft	reads: はとても興奮している\n; reads: やめる; menu option, declared width 20 columns @rebase-new @seamfix-2026-09-05
et/ID009D.BIN	0:97	23	487	1FBA	＞も{08:53}やり{08:15}\n		>Keep going?\n	ours		reads: ＞もっとやりますか？\n; menu option, declared width 20 columns
et/ID009D.BIN	0:97	24	513	0E	突然　	Suddenly 			draft	reads: 桐島英美 @seamfix-2026-09-05
