# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
et/ID00A3.BIN	0:97	0	0	DATA	＞{02:06}\n		>What will you do?\n	v005		
et/ID00A3.BIN	0:97	1	33	1FB2	宝石		Gemstone	v005		
et/ID00A3.BIN	0:97	2	39	1FB2	魔石		Magic Stone	v005		
et/ID00A3.BIN	0:97	3	45	1FB2	ＭＡＧ		Magnetite	v005		
et/ID00A3.BIN	0:97	4	53	1FB2	金		Money	v005		
et/ID00A3.BIN	0:97	5	57	1FB2	他の物		Other	v005		
et/ID00A3.BIN	0:97	6	78	00	燎{02:00}燠{03:00}燵{04:01}{01:00}		燎Devil Buster燠Ranged Weapon燵Pentagram{01:00}	ours		
et/ID00A3.BIN	0:97	7	109	1FB2	猫{08:81}らしを振る		Kitty Stone	v005		
et/ID00A3.BIN	0:97	8	125	1FB2	マタタビをあげる		Catnip	v005		
et/ID00A3.BIN	0:97	9	143	1FB2	喉を撫でる		Rub Neck	v005		
et/ID00A3.BIN	0:97	10	155	1FB2	や{08:2E}		Never Mind	v005		
et/ID00A3.BIN	0:97	11	161	1FB2	他の物		Other	v005		
et/ID00A3.BIN	0:97	12	181	0F	{01:35}{02:02}{01:A9}{02:03}	{01:35}{02:02}{01:A9}{02:03}	reads: バーチャルキャンプレジスタンス			
et/ID00A3.BIN	0:97	13	190	00	燼{04:01}M		燼2{01:4D}	ours		
et/ID00A3.BIN	0:97	14	216	1FB2	宝石		Gemstone	v005		
et/ID00A3.BIN	0:97	15	222	1FB2	魔石		Magic Stone	v005		
et/ID00A3.BIN	0:97	16	228	1FB2	ＭＡＧ		Magnetite	v005		
et/ID00A3.BIN	0:97	17	236	1FB2	金		Money	v005		
et/ID00A3.BIN	0:97	18	240	1FB2	他の物		Other	v005		
et/ID00A3.BIN	0:97	19	261	00	燎{02:00}燠{03:00}燵{04:01}{01:00}		reads: 燎デビルバスター燠飛び道具燵切り早坂達也			
et/ID00A3.BIN	0:97	20	292	1FB2	猫{08:81}らしを振る		Kitty Stone	v005		
et/ID00A3.BIN	0:97	21	308	1FB2	マタタビをあげる		Catnip	v005		
et/ID00A3.BIN	0:97	22	326	1FB2	や{08:2E}		Never Mind	v005		
et/ID00A3.BIN	0:97	23	332	1FB2	他の物		Other	v005		
et/ID00A3.BIN	0:97	24	352	0F	{01:8A}{01:02}	{01:8A}{01:02}	reads: 桐島英美			
et/ID00A3.BIN	0:97	25	357	00	燼{03:01}]		燼;{01:5D}	ours		
et/ID00A3.BIN	0:97	26	382	00	{04:EF}は喜んで{08:40}\n<wait>		{04:EF} seems happy.\n<wait>	v005		
et/ID00A3.BIN	0:97	27	421	00	{04:EF}はスキだらけだ！\n＞{08:0C}し{08:15}\n		{04:EF} has left their guard down.\n>Use this opportunity to attack?\n	v005		
et/ID00A3.BIN	0:97	28	474	00	{04:EF}はと{08:54}興奮{08:13}\n<wait>		{04:EF} seems very excited.\n<wait>	v005		
et/ID00A3.BIN	0:97	29	495	1FBA	＞も{08:53}やり{08:15}\n		>Keep going?\n	v005		
et/ID00A3.BIN	0:97	30	521	0E	突然　		Suddenly, 	v005		
et/ID00A3.BIN	0:97	31	531	00	{04:EF}が{03:07}{08:1C}\n		{04:EF} attacks!\n	v005		
et/ID00A3.BIN	0:97	32	551	00	{04:EF}は尻尾をふりふり{08:13}\n<wait>		{04:EF} is wagging its tail.\n<wait>	v005		
et/ID00A3.BIN	0:97	33	578	1FBA	＞も{08:53}やり{08:15}\n		>Keep going?\n	v005		
et/ID00A3.BIN	0:97	34	658	00	{04:EF}は尻尾をふりふり{08:13}\n<wait>		{04:EF} is wagging its tail.\n<wait>	v005		
et/ID00A3.BIN	0:97	35	706	18	猫{08:81}らしを持{08:52}{08:24}！\n<wait>		You don't have a Kitty Toy!\n<wait>	v005		
et/ID00A3.BIN	0:97	36	760	00	{04:EF}は{08:5C}　めろめろだ！\n<wait>		{04:EF} is love!\n<wait>	v005		
et/ID00A3.BIN	0:97	37	826	18	マタタビを持{08:52}{08:24}！\n<wait>		You don't have any Catnip!\n<wait>	v005		
et/ID00A3.BIN	0:97	38	884	00	{04:EF}は喉をゴロゴロ鳴ら{08:13}\n		{04:EF} is purring.\n	v005		
et/ID00A3.BIN	0:97	39	923	1FB2	も{08:53}やる		Keep Going	v005		
et/ID00A3.BIN	0:97	40	933	1FB2	やめちゃう		Stop	v005		
et/ID00A3.BIN	0:97	41	957	0F	{01:58}	{01:58}	reads: 			
et/ID00A3.BIN	0:97	42	960	00						
et/ID00A3.BIN	0:97	43	1028	00	{04:EF}は眠{08:52}{08:1F}\n		{04:EF} fell asleep.\n	v005		
et/ID00A3.BIN	0:97	44	1082	00	{=EC}{=A6}	{=EC}{=A6}				
et/ID00A3.BIN	15:AB	0	0	DATA	うーむ　たまらんのぉ！\n<wait>		Aah! So good!\n<wait>	v005		
et/ID00A3.BIN	15:AC	0	0	DATA	そ　{08:4D}は！\nあぁぁ身体が勝手に！\n<wait>		O-Oh no! My body's moving on its own!\n<wait>	v005		
