# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
et/ID00BC.BIN	2:02	0	19	1FB2	意地{08:56}通る		Push Through	ours		reads: 意地でも通る; menu option, declared width 20 columns
et/ID00BC.BIN	2:02	1	31	1FB2	そこを何とか		Just This Once	ours		menu option, declared width 20 columns
et/ID00BC.BIN	2:02	2	45	1FB2	袖の下を渡す		Bribe Them	ours		menu option, declared width 20 columns
et/ID00BC.BIN	2:02	3	59	1FB2	貴方に用が{08:7B}		I Need to Pass	ours		reads: 貴方に用がある; menu option, declared width 20 columns
et/ID00BC.BIN	2:02	4	121	1FB2	望む所だ	Just what I wanted	Bring It	ours	draft	menu option, declared width 20 columns; reads: 桐島英美アタシレジスタンス @seamfix-2026-09-05
et/ID00BC.BIN	2:02	5	131	1FB2	やだ！		Nope!	ours		menu option, declared width 20 columns
et/ID00BC.BIN	2:02	6	171	1FFA	{02:09}・・\n		{02:09}..\n	ours		reads: ・・・・・\n; menu option, declared width 20 columns
et/ID00BC.BIN	2:02	7	190	1FFA	{02:09}・・\n	.....\n	{02:09}..\n	ours	draft	reads: ・・・・・\n; reads: わたしに
et/ID00BC.BIN	2:02	8	210	1F01	の\n槍を叩き落と{08:17}\n	's\nspear is knocked away!\n	Its\nspear is knocked away!\n	ours	draft	reads: の\n槍を叩き落とした！\n; reads: ・・・・・\n @rebase-tagdiff @seamfix-2026-09-05
et/ID00BC.BIN	2:02	9	291	1F01	は\n武器を叩き落と{03:0C}た！\n	's\nweapon is knocked away!\n	Your\nweapon is knocked away!\n	ours	draft	reads: は\n武器を叩き落とされた！\n; reads: ・・・・・\n @rebase-tagdiff @seamfix-2026-09-05
et/ID00BC.BIN	2:02	10	338	1F01	は\n武器を叩き落と{03:0C}た！\n	's\nweapon is knocked away!\n	Your\nweapon is knocked away!\n	ours	draft	reads: は\n武器を叩き落とされた！\n; reads: の\n槍を叩き落とした！\n @rebase-tagdiff @seamfix-2026-09-05
et/ID00BC.BIN	2:02	11	385	1F01	は\n武器を叩き落と{03:0C}た！\n	's\nweapon is knocked away!\n	Your\nweapon is knocked away!\n	ours	draft	reads: は\n武器を叩き落とされた！\n; reads: は\n武器を叩き落とされた！\n @rebase-tagdiff @seamfix-2026-09-05
et/ID00BC.BIN	2:02	12	479	1FB2	{08:26}	{08:26}	Yes	ours		reads: はい; menu option, declared width 20 columns; reads: は\n武器を叩き落とされた！\n
et/ID00BC.BIN	2:02	13	483	1FB2	やだ！		Nope!	ours		menu option, declared width 20 columns; reads: は\n武器を叩き落とされた！\n
et/ID00BC.BIN	2:02	14	540	1FB2	袖の下を渡す	Offer a bribe	Bribe Them	ours	draft	menu option, declared width 20 columns; reads: はい @seamfix-2026-09-05
et/ID00BC.BIN	2:02	15	554	1FB2	土下座{08:8E}		Grovel	ours		reads: 土下座する; menu option, declared width 20 columns
et/ID00BC.BIN	2:02	16	609	1FB2	{08:26}	{08:26}	Yes	ours		reads: はい; menu option, declared width 20 columns; reads: 山瀬勇
et/ID00BC.BIN	2:02	17	613	1FB2	やだ！	No way!	Nope!	ours	draft	menu option, declared width 20 columns; menu option, declared width 20 columns @seamfix-2026-09-05
et/ID00BC.BIN	2:02	18	712	1FB2	{08:0E}に{08:1A}		Join My Side	ours		reads: 仲魔になって; menu option, declared width 20 columns
et/ID00BC.BIN	2:02	19	720	1FB2	何かくれ		Give Me Something	ours		menu option, declared width 20 columns; reads: 土下座する
et/ID00BC.BIN	4:BD	0	0	DATA	失{08:2A}が{08:7F}！\n<wait>		Begone!\n<wait>	ours		reads: 失せるがいい！\n<wait>
et/ID00BC.BIN	15:BD	0	0	DATA	貴様の{08:69}な輩を　通す訳に{08:26}かん！\n<wait>		I cannot let the likes of you pass!\n<wait>	ours		reads: 貴様のような輩を　通す訳にはいかん！\n<wait>
et/ID00BC.BIN	15:BE	0	0	DATA	私と勝負しろ\n<wait>		Face me in combat.\n<wait>	ours		
et/ID00BC.BIN	15:BF	0	0	DATA	いくぞ！\n<wait>		Here I come!\n<wait>	ours		
et/ID00BC.BIN	15:C0	0	0	DATA	まい{08:12}　私の完敗だ{02:09}\n<wait>		I yield! A complete defeat...\n<wait>	ours		reads: まいった！　私の完敗だ・・・\n<wait>
et/ID00BC.BIN	15:C1	0	0	DATA	武人の風上にも置けん奴め！\n<wait>		You're a disgrace to warriors everywhere!\n<wait>	ours		
