# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
et/ID00C2.BIN	0:97	0	0	DATA	＞{02:06}\n		>{02:06}\n	ours		reads: ＞どうしますか？\n
et/ID00C2.BIN	0:97	1	21	1FB2	宝石		Gemstone	ours		menu option, declared width 20 columns
et/ID00C2.BIN	0:97	2	27	1FB2	魔石		Magic Stone	ours		menu option, declared width 20 columns
et/ID00C2.BIN	0:97	3	33	1FB2	ＭＡＧ		MAG	ours		menu option, declared width 20 columns
et/ID00C2.BIN	0:97	4	41	1FB2	金		Money	ours		menu option, declared width 20 columns
et/ID00C2.BIN	0:97	5	45	1FB2	他の物		Other	ours		menu option, declared width 20 columns
et/ID00C2.BIN	0:97	6	97	1FB2	アイスクリーム		Ice Cream	ours		menu option, declared width 20 columns; reads: 燎デビルバスター燠飛び道具燵切り早坂達也 @rebase-unmatched idx6 en=燎Devil Buster燠Ranged Weapon燵{04:01}{01:00} @rebase-unmatched idx6 en=燎Devil Buster燠Ranged Weapon燵{04:01}{01:00}
et/ID00C2.BIN	0:97	7	113	1FB2	フロスト子を作る		Make Frosty	ours		menu option, declared width 20 columns
et/ID00C2.BIN	0:97	8	131	1FB2	や{08:2E}		Cancel	ours		reads: やめる; menu option, declared width 20 columns
et/ID00C2.BIN	0:97	9	137	1FB2	他の物		Other	ours		menu option, declared width 20 columns; reads: やめる
et/ID00C2.BIN	0:97	10	176	13	アイスクリームを持{08:52}{08:24}！\n<wait>		You don't have any ice cream!\n<wait>	ours		reads: アイスクリームを持っていない！\n<wait>; menu option, declared width 20 columns
et/ID00C2.BIN	0:97	11	244	1F01	は\nハーゲンガッツのお徳用パックを持{08:52}{08:64}！\n<wait>	 had\na value pack of Haagen-Gutts!\n<wait>	You had\na value pack of Haagen-Gutts!\n<wait>	ours	draft	reads: は\nハーゲンガッツのお徳用パックを持っていた！\n<wait>; reads: キャンプ @rebase-tagdiff @seamfix-2026-09-05
et/ID00C2.BIN	0:97	12	310	1F01	は夢中で食べ{08:14}\n<wait>	 eats away, totally absorbed.\n<wait>	It eats away, totally absorbed.\n<wait>	ours	draft	reads: は夢中で食べている\n<wait>; reads: 燼そんなこと] @rebase-unmatched idx12 en=燼such a thing] @rebase-tagdiff @rebase-unmatched idx12 en=燼such a thing] @seamfix-2026-09-05
et/ID00C2.BIN	0:97	13	331	1FBA	スキだらけだ！\n＞{08:0C}し{08:15}\n		It's wide open!\n>Attack it?\n	ours		reads: スキだらけだ！\n＞攻撃しますか？\n; reads: アイスクリームを持っていない！\n<wait>
et/ID00C2.BIN	0:97	14	407	1F01	は\n満足{08:4A}眠{08:52}{08:1F}\n	 is\nsatisfied, and falls asleep.\n	It's\nsatisfied, and falls asleep.\n	ours	draft	reads: は\n満足して眠ってしまった\n; reads: は\nハーゲンガッツのお徳用パックを持っていた！\n<wait> @rebase-tagdiff @seamfix-2026-09-05
et/ID00C2.BIN	0:97	15	438	1F01	は\nバリバリ君を持{08:52}{08:64}！\n<wait>	 had\na Bari Bari-kun to hand!\n<wait>	You had\na Bari Bari-kun on you!\n<wait>	ours	draft	reads: は\nバリバリ君を持っていた！\n<wait>; reads: は夢中で食べている\n<wait> @rebase-tagdiff @seamfix-2026-09-05
et/ID00C2.BIN	0:97	16	488	1F01	は\n夢中で食べ{08:14}\n<wait>	 is\neating away, totally absorbed.\n<wait>	It's\neating away, totally absorbed.\n<wait>	ours	draft	reads: は\n夢中で食べている\n<wait>; reads: スキだらけだ！\n＞攻撃しますか？\n @rebase-tagdiff @seamfix-2026-09-05
et/ID00C2.BIN	0:97	17	510	1FBA	スキだらけだ！\n＞{08:0C}し{08:15}\n		It's wide open!\n>Attack it?\n	ours		reads: スキだらけだ！\n＞攻撃しますか？\n; reads: は\n満足して眠ってしまった\n
et/ID00C2.BIN	0:97	18	642	1FB2	駄目っ{08:50}駄目！		No means no!	ours		reads: 駄目ったら駄目！; menu option, declared width 20 columns; reads: は\nバリバリ君を持っていた！\n<wait>
et/ID00C2.BIN	0:97	19	658	1FB2	仕方{08:25}な		I guess so	ours		reads: 仕方ないな; menu option, declared width 20 columns; reads: は\n夢中で食べている\n<wait>
et/ID00C2.BIN	0:97	20	668	1FB2	{08:5C}持{08:52}{08:25}		Don't Have Any	ours		reads: もう持ってない; menu option, declared width 20 columns; reads: スキだらけだ！\n＞攻撃しますか？\n
et/ID00C2.BIN	0:97	21	723	0E	アイスクリームを持{08:52}{08:24}！\n<wait>		You don't have any ice cream!\n<wait>	ours		reads: アイスクリームを持っていない！\n<wait>; reads: 駄目ったら駄目！; menu option, declared width 20 columns
et/ID00C2.BIN	0:97	22	798	1F01	は\n雪だるまを作り始めた	 starts\nbuilding a snowman	You\nstart building a snowman	ours	draft	reads: は\n雪だるまを作り始めた; reads: 仕方ないな; menu option, declared width 20 columns @rebase-tagdiff @seamfix-2026-09-05
et/ID00C2.BIN	0:97	23	827	1FFA	{02:09}・・\n<wait>		.....\n<wait>	ours		reads: ・・・・・\n<wait>; reads: もう持ってない; menu option, declared width 20 columns
et/ID00C2.BIN	0:97	24	845	15	{02:09}・・	.....	{02:09}..	ours	draft	reads: ・・・・・; reads: あたし
et/ID00C2.BIN	0:97	25	853	1FFB	疲{08:60}	got tired	Tired	ours	draft	reads: 疲れた; reads: ペンタグランマC @seamfix-2026-09-05
et/ID00C2.BIN	0:97	26	859	1FFA	{02:09}・・\n	.....\n	{02:09}..\n	ours	draft	reads: ・・・・・\n
et/ID00C2.BIN	0:97	27	896	14	{02:09}	{02:09}				reads: ・・・; reads: アイスクリームを持っていない！\n<wait>
et/ID00C2.BIN	0:97	28	900	1FFB	出来た！\n<wait>		Done!\n<wait>	ours		reads: は\n雪だるまを作り始めた
et/ID00C2.BIN	0:97	29	922	1FFA	{02:09}	{02:09}				reads: ・・・; reads: ・・・・・\n<wait>
et/ID00C2.BIN	0:97	30	955	1FFA	{02:09}	{02:09}				reads: ・・・; reads: ・・・・・
et/ID00C2.BIN	0:97	31	978	1FB2	フロスト子ちゃん		Frosty-chan	ours		menu option, declared width 20 columns; reads: 疲れた
et/ID00C2.BIN	0:97	32	996	1FB2	何{08:56}{08:25}{08:55}		It's Nothing	ours		reads: 何でもないです; menu option, declared width 20 columns; reads: ・・・・・\n
et/ID00C2.BIN	0:97	33	1024	1FBA	{02:09}・・	.....	{02:09}..	ours	draft	reads: ・・・・・
et/ID00C2.BIN	0:97	34	1074	14	{02:09}・・\n		{02:09}..\n	ours		reads: ・・・・・\n
et/ID00C2.BIN	0:97	35	1102	1FB2	ひたすら作る	Keep building	Just Build	ours	draft	menu option, declared width 20 columns; reads: ・・・ @seamfix-2026-09-05
et/ID00C2.BIN	0:97	36	1116	1FB2	返事を{08:8E}	Answer	Reply	ours	draft	reads: 返事をする; menu option, declared width 20 columns; reads: ・・・ @seamfix-2026-09-05
et/ID00C2.BIN	0:97	37	1158	1FBA	{02:09}・・\n		{02:09}..\n	ours		reads: ・・・・・\n; menu option, declared width 20 columns
et/ID00C2.BIN	0:97	38	1192	1FB2	謝る		Oops	ours		menu option, declared width 20 columns; reads: 何でもないです
et/ID00C2.BIN	0:97	39	1198	1FB2	一緒に作ろう	Build it together	Let's Build	ours	draft	menu option, declared width 20 columns; reads: はやく @seamfix-2026-09-05
et/ID00C2.BIN	0:97	40	1212	1FB2	ひたすら作る	Keep building	Just Build	ours	draft	menu option, declared width 20 columns; menu option, declared width 20 columns @seamfix-2026-09-05
et/ID00C2.BIN	0:97	41	1286	1FBA	二人で雪だるまを作っ{08:14}		Making a snowman together	ours		reads: 二人で雪だるまを作っている; reads: ・・・・・
et/ID00C2.BIN	0:97	42	1310	1FFA	{02:09}\n	{02:09}\n				reads: ・・・\n; reads: ・・・・・\n
et/ID00C2.BIN	0:97	43	1319	0E	{02:09}・・		{02:09}..	ours		reads: ・・・・・; menu option, declared width 20 columns
et/ID00C2.BIN	0:97	44	1327	1FFB	出来た！\n		Done!\n	ours		reads: 返事をする; menu option, declared width 20 columns
et/ID00C2.BIN	0:97	45	1340	00	{02:09}	{02:09}				reads: ・・・; reads: はやく
et/ID00C2.BIN	0:97	46	1350	18	{02:09}・・	.....	{02:09}..	ours	draft	reads: ・・・・・
et/ID00C2.BIN	0:97	47	1358	1FFB	あっ！崩{08:4A}{08:1F}！\n<wait>		Oh! It collapsed!\n<wait>	ours		reads: あっ！崩してしまった！\n<wait>; reads: ・・・・・\n
et/ID00C2.BIN	0:97	48	1379	1FBA	{02:09}	{02:09}				reads: ・・・; menu option, declared width 20 columns @rebase-unmatched idx52 en=Pentagramｧ @rebase-unmatched idx52 en=Pentagramｧ
et/ID00C2.BIN	15:B4	0	0	DATA	{08:73}安物いやぽーん！\n<wait>		No way, this is cheap junk-poon!\n<wait>	ours		reads: こんな安物いやぽーん！\n<wait>
et/ID00C2.BIN	15:B5	0	0	DATA	けち！　けちけちけちー！\n<wait>		Stingy! Stingy stingy stingy!\n<wait>	ours		
et/ID00C2.BIN	15:B6	0	0	DATA	おいしー！\n<wait>		Yummy!\n<wait>	ours		
et/ID00C2.BIN	15:B7	0	0	DATA	そ　{08:4D}はぁ！\nあの　まぼろしのぉ！\n<wait>		T-that's...!\nThe legendary...!\n<wait>	ours		reads: そ　それはぁ！\nあの　まぼろしのぉ！\n<wait>
et/ID00C2.BIN	15:B8	0	0	DATA	何？　{08:79}、ぶっ{08:49}くぅーなモノ！\n<wait>		What? That ugly-lookin' thing!\n<wait>	ours		reads: 何？　その、ぶっさいくぅーなモノ！\n<wait>
et/ID00C2.BIN	15:B9	0	0	DATA	すっげーぷりちー！\n<wait>		So super pretty!\n<wait>	ours		
