# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
et/ID00E9.BIN	0:97	0	0	DATA	＞{02:06}\n		>{02:06}\n	ours		
et/ID00E9.BIN	0:97	1	21	1FB2	宝石		Gemstone	ours		
et/ID00E9.BIN	0:97	2	27	1FB2	魔石		Magic Stone	ours		
et/ID00E9.BIN	0:97	3	33	1FB2	ＭＡＧ		MAG	ours		
et/ID00E9.BIN	0:97	4	41	1FB2	金		Money	ours		
et/ID00E9.BIN	0:97	5	45	1FB2	他の物		Other	ours		
et/ID00E9.BIN	0:97	6	66	00	燎{02:00}燠{03:00}燵{04:01}{01:00}		燎Devil Buster燠Ranged Weapon燵{04:01}{01:00}	ours		
et/ID00E9.BIN	0:97	7	97	1FB2	ミルク		Milk	ours		
et/ID00E9.BIN	0:97	8	105	1FB2	靴		Shoe	ours		
et/ID00E9.BIN	0:97	9	109	1FB2	や{08:2E}		Cancel	ours		
et/ID00E9.BIN	0:97	10	115	1FB2	他の物		Other	ours		
et/ID00E9.BIN	0:97	11	135	0F	{01:FB}	{01:FB}	reads: 			
et/ID00E9.BIN	0:97	12	138	00	{02:00}燼{03:01}s		Devil Buster燼such a things	ours		
et/ID00E9.BIN	0:97	13	154	14	運良くミルクを持{08:52}{08:64}！\n		Luckily, you had some milk!\n	ours		
et/ID00E9.BIN	0:97	14	249	0E	運良くミルクを持{08:52}{08:64}！\n		Luckily, you had some milk!\n	ours		
et/ID00E9.BIN	0:97	15	310	1FFA	{02:09}	{02:09}	reads: ・・・			
et/ID00E9.BIN	0:97	16	328	18	{08:61}ミルクを持{08:52}い{08:19}\n		But you had no milk.\n	ours		
et/ID00E9.BIN	0:97	17	397	1FFA	{02:09}・・\n		{02:09}..\n	ours		
