# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
et/ID014E.BIN	0:97	0	0	DATA	＞{02:06}\n		>{02:06}\n	ours		reads: ＞どうしますか？\n
et/ID014E.BIN	0:97	1	21	1FB2	宝石		Gemstone	ours		menu option, declared width 20 columns
et/ID014E.BIN	0:97	2	27	1FB2	魔石		Magic Stone	ours		menu option, declared width 20 columns
et/ID014E.BIN	0:97	3	33	1FB2	ＭＡＧ		MAG	ours		menu option, declared width 20 columns
et/ID014E.BIN	0:97	4	41	1FB2	金		Money	ours		menu option, declared width 20 columns
et/ID014E.BIN	0:97	5	45	1FB2	他の物		Other	ours		menu option, declared width 20 columns
et/ID014E.BIN	0:97	6	97	1FB2	肉をあげる		Give Meat	ours		menu option, declared width 20 columns; reads: 燎デビルバスター燠飛び道具燵切り早坂達也 @rebase-unmatched idx6 en=燎Devil Buster燠Ranged Weapon燵{04:01}{01:00}
et/ID014E.BIN	0:97	7	109	1FB2	骨をあげる		Give Bone	ours		menu option, declared width 20 columns
et/ID014E.BIN	0:97	8	121	1FB2	や{08:2E}		Cancel	ours		reads: やめる; menu option, declared width 20 columns
et/ID014E.BIN	0:97	9	127	1FB2	他の物		Other	ours		menu option, declared width 20 columns; reads: やめる
et/ID014E.BIN	0:97	10	232	1FB2	{08:26}	{08:26}	Yes	ours		reads: はい; menu option, declared width 20 columns
et/ID014E.BIN	0:97	11	236	1FB2	{08:27}	{08:27}	No	ours		reads: いいえ; menu option, declared width 20 columns; reads: あなたが桐島英美
et/ID014E.BIN	0:97	12	240	1FB2	{08:5C}無い		No More	ours		reads: もう無い; menu option, declared width 20 columns; reads: 燼そんなことg @rebase-unmatched idx12 en=燼such a thingg
et/ID014E.BIN	0:97	13	284	00	{08:5C}肉が無い！\n	{08:5C}肉が無い！\n	No more meat!\n	ours		reads: もう肉が無い！\n; reads: はい; menu option, declared width 20 columns
et/ID014E.BIN	0:97	14	378	18	肉を持{08:52}{08:24}！\n	肉を持{08:52}{08:24}！\n	You don't have any meat!\n	ours		reads: 肉を持っていない！\n; reads: いいえ; menu option, declared width 20 columns
et/ID014E.BIN	0:97	15	449	1FB2	そこを何とか		Just This Once	ours		menu option, declared width 20 columns; reads: もう無い
et/ID014E.BIN	0:97	16	463	1FB2	骨を投げる	骨を投げる	Throw a Bone	ours		menu option, declared width 20 columns; reads: ひとつ
et/ID014E.BIN	0:97	17	549	00	{04:EF}は骨を追いかけ{08:21}\n	{04:EF}は骨を追いかけ{08:21}\n	It chases after the bone.\n	ours		reads: は骨を追いかけていった\n; reads: ペンタグランマ[
et/ID014E.BIN	0:97	18	579	12	{02:09}・・\n	{02:09}・・\n	{02:09}..\n	ours		reads: ・・・・・\n
et/ID014E.BIN	0:97	19	590	00	{04:EF}は骨をくわえて戻{08:52}{08:1E}\n		It comes back with the bone in its mouth.\n	ours		reads: は骨をくわえて戻ってきた\n; reads: もう肉が無い！\n
et/ID014E.BIN	0:97	20	640	1FB2	{08:26}	{08:26}	Yes	ours		reads: はい; menu option, declared width 20 columns; reads: 肉を持っていない！\n
et/ID014E.BIN	0:97	21	644	1FB2	{08:27}	{08:27}	No	ours		reads: いいえ; menu option, declared width 20 columns
et/ID014E.BIN	0:97	22	648	1FB2	{08:90}し{08:69}かな…		What now...?	ours		reads: どうしようかな…; menu option, declared width 20 columns
et/ID014E.BIN	0:97	23	728	1FB2	仕方{08:25}な	仕方{08:25}な	I guess so	ours		reads: 仕方ないな; menu option, declared width 20 columns; reads: ゾンビ
et/ID014E.BIN	0:97	24	738	1FB2	{08:90}し{08:69}かな…	{08:90}し{08:69}かな…	What now...?	ours		reads: どうしようかな…; menu option, declared width 20 columns
et/ID014E.BIN	0:97	25	869	18	骨を持{08:52}{08:24}！\n		You don't have any bones!\n	ours		reads: 骨を持っていない！\n; reads: は骨を追いかけていった\n
et/ID014E.BIN	2:02	0	19	1FB2	意地{08:56}通る		Push Through	ours		reads: 意地でも通る; menu option, declared width 20 columns
et/ID014E.BIN	2:02	1	31	1FB2	お願い{08:8E}		Beg	ours		reads: お願いする; menu option, declared width 20 columns
et/ID014E.BIN	2:02	2	41	1FB2	骨を投げる		Throw a Bone	ours		menu option, declared width 20 columns
et/ID014E.BIN	2:02	3	53	1FB2	{08:81}あ通ら{08:25}		I Won't Pass	ours		reads: じゃあ通らない; menu option, declared width 20 columns
et/ID014E.BIN	2:02	4	149	1FB2	他の物{08:7D}あげる	他の物{08:7D}あげる	Give Something	ours		reads: 他の物ならあげる; menu option, declared width 20 columns; reads: いろいろ
et/ID014E.BIN	2:02	5	165	1FB2	土下座{08:4A}頼む	土下座{08:4A}頼む	Grovel	ours		reads: 土下座して頼む; menu option, declared width 20 columns; reads: ペンタグランマ
et/ID014E.BIN	2:02	6	213	16	{02:09}・・	{02:09}・・	{02:09}..	ours		reads: ・・・・・; reads: そんなこと{=F3}{=01}
et/ID014E.BIN	2:02	7	251	13	骨を持{08:52}{08:24}！\n		You don't have any bones!\n	ours		reads: 骨を持っていない！\n; reads: 他の物ならあげる; menu option, declared width 20 columns
et/ID014E.BIN	2:02	8	302	00	{04:EF}は\n骨を追いかけ{08:21}\n		It\nchases after the bone.\n	ours		reads: は\n骨を追いかけていった\n; reads: 土下座して頼む; menu option, declared width 20 columns
et/ID014E.BIN	2:02	9	333	00	{04:EF}は\n骨をくわえて戻{08:52}{08:1E}\n	{04:EF}は\n骨をくわえて戻{08:52}{08:1E}\n	It\ncomes back with the bone in its mouth.\n	ours		reads: は\n骨をくわえて戻ってきた\n; reads: バエル
et/ID014E.BIN	2:02	10	384	1FB2	{08:26}	{08:26}	Yes	ours		reads: はい; menu option, declared width 20 columns
et/ID014E.BIN	2:02	11	388	1FB2	{08:27}	{08:27}	No	ours		reads: いいえ; menu option, declared width 20 columns; reads: ・・・・・
et/ID014E.BIN	2:02	12	392	1FB2	{08:90}し{08:69}かな…		What now...?	ours		reads: どうしようかな…; menu option, declared width 20 columns; reads: 骨を持っていない！\n
et/ID014E.BIN	2:02	13	480	1FB2	仕方{08:25}な		I guess so	ours		reads: 仕方ないな; menu option, declared width 20 columns; reads: は\n骨を追いかけていった\n
et/ID014E.BIN	2:02	14	490	1FB2	{08:90}し{08:69}かな…		What now...?	ours		reads: どうしようかな…; menu option, declared width 20 columns; reads: は\n骨をくわえて戻ってきた\n
et/ID014E.BIN	3:1E	0	0	DATA	ウマイゾ！\n<wait>		Delicious!\n<wait>	ours		
et/ID014E.BIN	15:BA	0	0	DATA	何ノツモリダ？\n<wait>		What's the meaning of this?\n<wait>	ours		
et/ID014E.BIN	15:AC	0	0	DATA	カ　身体ガ勝手ニ！\n<wait>		...my body moved on its own!\n<wait>	ours		
et/ID014E.BIN	15:BB	0	0	DATA	シマッタ　ツイ{02:09}！\n<wait>		Dammit, I just...!\n<wait>	ours		reads: シマッタ　ツイ・・・！\n<wait>
et/ID014E.BIN	15:BC	0	0	DATA	コノ事ハ　他ノ奴ニハ黙ッテイテモラエナイカ？\n<wait>		Could you keep this between us?\n<wait>	ours		
et/ID014E.BIN	15:BD	0	0	DATA	ココハ通サン！！\n<wait>		You shall not pass!!\n<wait>	ours		
