# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
m/MS000E.BIN	0:00	0	2	1FD0	誰も{08:24}{02:08}\n		There's no one here...\n	v005		reads: 誰もいない‥‥‥\n; reads: 誰もいない‥‥‥\n @refalign
m/MS000E.BIN	0:01	0	20	1FD0	一行の前に一匹の{08:0B}が忽然と現わ{08:60}。\n<wait>		You're just about to exit the building when all of a sudden,\na demon appears before you.\n<wait>	v005		reads: 一行の前に一匹の悪魔が忽然と現われた。\n<wait>; reads: 一行の前に一匹の悪魔が忽然と現われた。\n<wait> @refalign
m/MS000E.BIN	0:01	1	90	1FD2	{08:0B}：		Demon:	v005		reads: 悪魔：; reads: 悪魔： @refalign
m/MS000E.BIN	0:01	2	96	1FD3	こいつが{02:08}					reads: こいつが‥‥‥; reads: こいつが‥‥‥
m/MS000E.BIN	0:01	3	112	1F01	か{02:08}？\n<wait>					reads: か‥‥‥？\n<wait>; reads: か‥‥‥？\n<wait>
m/MS000E.BIN	0:01	4	127	1FD0	{08:0B}はそう言{08:52}、					reads: 悪魔はそう言って、; reads: 悪魔はそう言って、
m/MS000E.BIN	0:01	5	147	1F01	の身体を指さ{08:4B}。\n<wait>					reads: の身体を指さした。\n<wait>; reads: の身体を指さした。\n<wait>
m/MS000E.BIN	0:01	6	177	1FD2	{08:37}：		Sonoda:	v005		reads: 園田：; reads: 園田： @refalign
m/MS000E.BIN	0:01	7	183	1FD3	ああ、{01:29}。{02:08}{08:8F}、貴様は何者だ{02:08}？\n<wait>		Yeah, he is. And you are?\n<wait>	v005		reads: ああ、そうだ。‥‥‥だが、貴様は何者だ‥‥‥？\n<wait>; reads: ああ、そうだ。‥‥‥だが、貴様は何者だ‥‥‥？\n<wait> @refalign
m/MS000E.BIN	0:01	8	224	1FD0	{08:37}は身構{08:41}。\n<wait>		Sonoda readies his weapon.\n<wait>	v005		reads: 園田は身構えた。\n<wait>; reads: 園田は身構えた。\n<wait> @refalign
m/MS000E.BIN	0:01	9	246	1FD2	{08:31}：		Rui:	v005		reads: 泪：; reads: 泪： @refalign
m/MS000E.BIN	0:01	10	252	1FD3	そうよ。{02:08}‥アンタ{08:72}何？\n<wait>		Yeah, he is. And you are?\n<wait>	v005		reads: そうよ。‥‥‥‥アンタ‥‥何？\n<wait>; reads: そうよ。‥‥‥‥アンタ‥‥何？\n<wait> @refalign
m/MS000E.BIN	0:01	11	286	1FD2	{08:0B}：		Demon:	v005		reads: 悪魔：; reads: 悪魔： @refalign
m/MS000E.BIN	0:01	12	292	1FD3	{08:72}お前が					reads: ‥‥お前が; reads: ‥‥お前が
m/MS000E.BIN	0:01	13	306	1F01	{08:72}だな？\n					reads: ‥‥だな？\n; reads: ‥‥だな？\n
m/MS000E.BIN	0:01	14	331	1FB2	何者だ？		And you are?	v005		menu option, declared width 20 columns; menu option, declared width 20 columns @refalign
m/MS000E.BIN	0:01	15	341	1FB2	身構{08:28}		Ready your weapon	v005		reads: 身構える; menu option, declared width 20 columns; menu option, declared width 20 columns @refalign
m/MS000E.BIN	0:01	16	349	1FB2	人違いだ		Wrong person, sorry	v005		menu option, declared width 20 columns; menu option, declared width 20 columns @refalign
m/MS000E.BIN	0:01	17	383	1FD2	{08:0B}：	{08:0B}：	Demon:	v005		reads: 悪魔：; reads: 山田
m/MS000E.BIN	0:01	18	389	1FD3	お{08:53}。{08:45}で、お前達とやり合う気は無い。\n<wait>	お{08:53}。{08:45}で、お前達とやり合う気は無い。\n<wait>	I must apologize, but I am not interested in chitchat.<wait>	v005		reads: おっと。ここで、お前達とやり合う気は無い。\n<wait>; reads: ペンタグランマ9 @rebase-unmatched idx18 en={02:01}J @rebase-unmatched idx18 en={02:01}J
m/MS000E.BIN	0:01	19	439	1FD2	{08:0B}：	{08:0B}：	Demon:	v005		reads: 悪魔：
m/MS000E.BIN	0:01	20	445	1FD3	しらばっくれ{08:54}無駄だ。\n<wait>		Don't even try it. I recognize you.\n<wait>	v005		reads: しらばっくれても無駄だ。\n<wait>; reads: 悪魔： @refalign
m/MS000E.BIN	0:01	21	476	1FD2	{08:0B}：		Demon:	v005		reads: 悪魔：; reads: おっと。ここで、お前達とやり合う気は無い。\n<wait> @refalign
m/MS000E.BIN	0:01	22	482	1FD3	俺{08:62}アドニス様{08:42}の書状を預か{08:52}{08:1E}者だ。\n{08:4D}さえ渡せば、お前達に用は無い。\n<wait>		I have a message to you from Lord Adonis. Here.\n<wait>	v005		reads: 俺は、アドニス様からの書状を預かってきた者だ。\nそれさえ渡せば、お前達に用は無い。\n<wait>; reads: 悪魔： @refalign
