# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
m/MS002C.BIN	0:01	0	46	1FD0	突然、	Suddenly, 			draft	@ours-2026-09-05
m/MS002C.BIN	0:01	1	58	1F01	の背が燃{08:28}{08:69}に熱く{08:16}。\n<wait>背の筋肉が盛り上がり{08:8A}、{08:4D}{08:62}みるみるうちに変化を遂げ、純白の翼と{08:59}。\n<wait>	's back grew burning hot.\n<wait>The muscles of his back began to bulge and, in the blink of an eye,\ntransformed into pure white wings.\n<wait>			draft	reads: の背が燃えるように熱くなった。\n<wait>背の筋肉が盛り上がりだし、それは、みるみるうちに変化を遂げ、純白の翼となる。\n<wait>; reads: の背が燃えるように熱くなった。\n<wait>背の筋肉が盛り上がりだし、それは、みるみるうちに変化を遂げ、純白の翼となる。\n<wait> @ours-2026-09-05
m/MS002C.BIN	0:01	2	160	1FBA	そ{08:4A}、頭の上には金色の輝きを放つリングが出現{08:4B}。\n<wait>	Then a ring of golden light appeared above his head.\n<wait>			draft	reads: そして、頭の上には金色の輝きを放つリングが出現した。\n<wait>; reads: そして、頭の上には金色の輝きを放つリングが出現した。\n<wait> @ours-2026-09-05
m/MS002C.BIN	0:01	3	221	1F01	の心に、光が満ち溢{08:2F}{02:08}‥\n	's heart overflowed with light............\n			draft	reads: の心に、光が満ち溢れる‥‥‥‥\n; reads: の心に、光が満ち溢れる‥‥‥‥\n @ours-2026-09-05
m/MS002C.BIN	0:01	4	252	1F01	は覚醒し、天使とな{08:12}！\n<wait>	 awakened and became an angel!!\n<wait>			draft	reads: は覚醒し、天使となった！！\n<wait>; reads: は覚醒し、天使となった！！\n<wait> @ours-2026-09-05
m/MS002C.BIN	0:02	0	46	1FD0	突然、	Suddenly, 			draft	@ours-2026-09-05
m/MS002C.BIN	0:02	1	58	1F01	の肩が燃{08:28}{08:69}に熱く{08:16}。\n<wait>肩の筋肉が盛り上がり{08:8A}、{08:4D}{08:62}見る間に変化を遂げ、腕と{08:59}。\n<wait>	's shoulders grew burning hot.\n<wait>The muscles of his shoulders began to bulge and, in the blink of an\neye, transformed into arms.\n<wait>			draft	reads: の肩が燃えるように熱くなった。\n<wait>肩の筋肉が盛り上がりだし、それは、見る間に変化を遂げ、腕となる。\n<wait>; reads: の肩が燃えるように熱くなった。\n<wait>肩の筋肉が盛り上がりだし、それは、見る間に変化を遂げ、腕となる。\n<wait> @ours-2026-09-05
m/MS002C.BIN	0:02	2	148	1FBA	そ{08:4A}、額には第三の目が開く{02:08}‥\n<wait>	Then a third eye opened on his forehead............\n<wait>			draft	reads: そして、額には第三の目が開く‥‥‥‥\n<wait>; reads: そして、額には第三の目が開く‥‥‥‥\n<wait> @ours-2026-09-05
m/MS002C.BIN	0:02	3	191	1F01	は覚醒し、四本の腕を持つ魔神とな{08:12}！\n<wait>	 awakened and became a four-armed Majin!!\n<wait>			draft	reads: は覚醒し、四本の腕を持つ魔神となった！！\n<wait>; reads: は覚醒し、四本の腕を持つ魔神となった！！\n<wait> @rebase-tagdiff @ours-2026-09-05
m/MS002C.BIN	0:03	0	46	1FD0	突然、	Suddenly, 			draft	@ours-2026-09-05
