# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
m/MS003F.BIN	0:00	0	6	1FD0	{01:2E}の中には誰も{08:24}。\n香を焚くための炉が置かれ{08:14}。\n<wait>		A kiln meant for burning incense sits in the middle of the room.\n<wait>	v005		reads: 部屋の中には誰もいない。\n香を焚くための炉が置かれている。\n<wait> @refalign
m/MS003F.BIN	0:00	1	67	00	9	9				
m/MS003F.BIN	0:00	2	69	00	:	:				
m/MS003F.BIN	0:00	3	71	00	;	;				
m/MS003F.BIN	0:00	4	73	00	\<	\<				
m/MS003F.BIN	0:00	5	75	00	=	=				
m/MS003F.BIN	0:00	6	77	00	>	>				
m/MS003F.BIN	0:00	7	79	00	?	?				
m/MS003F.BIN	0:00	8	81	00	@	@				
m/MS003F.BIN	0:00	9	83	00	A	A				
m/MS003F.BIN	0:00	10	85	00	B	B				
m/MS003F.BIN	0:00	11	87	00	v{04:FF}	v{04:FF}				reads: v
m/MS003F.BIN	0:01	0	16	1FB2	香を焚く		Burn an incense	v005		menu option, declared width 20 columns; @noedit; @untiled; record does not tile (expression selector past end of record at 0x35); read-only, copied verbatim @rebase-new @refalign
m/MS003F.BIN	0:01	1	26	1FB2	立ち去る		Leave	v005		menu option, declared width 20 columns @rebase-new @refalign
m/MS003F.BIN	0:02	0	11	00	9	9				
m/MS003F.BIN	0:02	1	13	00	:	:				
m/MS003F.BIN	0:02	2	15	00	;	;				
m/MS003F.BIN	0:02	3	17	00	\<	\<				
m/MS003F.BIN	0:02	4	19	00	=	=				
m/MS003F.BIN	0:02	5	21	00	>	>				
m/MS003F.BIN	0:02	6	23	00	?	?				
m/MS003F.BIN	0:02	7	25	00	@	@				
m/MS003F.BIN	0:02	8	27	00	A	A				
m/MS003F.BIN	0:02	9	29	00	B	B				
m/MS003F.BIN	0:02	10	31	00	v{04:FF}香を使い切{08:52}{08:1F}。\n<wait>		{04:FF} used up all the incense.\n<wait>	ours		reads: v香を使い切ってしまった。\n<wait>
m/MS003F.BIN	0:02	11	58	0C	{08:6D}香を焚き{08:15}\n		Which incense would you like to burn?\n	ours		reads: どの香を焚きますか？\n
m/MS003F.BIN	0:03	0	40	1B	香の名前    所持数	香の名前    所持数	Revival In.	v005		reads: われわれ
m/MS003F.BIN	0:03	1	157	1B	反魂香	反魂香	Warrior In.	v005		reads: ペンタグランマC
m/MS003F.BIN	0:03	2	188	1B	物夫の香	物夫の香	Earth In.	v005		reads: そんなことMアイテム出かけるどうしますか？通信をするふたつ
m/MS003F.BIN	0:03	3	221	1B	大地の香		Earth In.	v005		@rebase-unmatched idx3 en=Name        Amount @refalign
m/MS003F.BIN	0:03	4	254	1B	天の香	天の香	Soul In.	v005		reads: 
m/MS003F.BIN	0:03	5	285	1B	心魂の香	心魂の香	Demon In.	v005		reads: そんなことi
m/MS003F.BIN	0:03	6	318	1B	魔性の香		Demon In.	v005		reads: 切り{=86}{=00}飛び道具｡ @rebase-unmatched idx6 en={03:01}q @refalign
m/MS003F.BIN	0:03	7	351	1B	学人の香		Scholar In.	v005		reads: ｾ @refalign
m/MS003F.BIN	0:03	8	384	1B	精進の香		Asceticism In.	v005		reads: ＞何をしますか？ﾛ @refalign
m/MS003F.BIN	0:03	9	417	1B	疾風の香	疾風の香	Artisan In.	v005		reads: 達也{=F8}{=00}
m/MS003F.BIN	0:03	10	450	1B	職人の香	職人の香	Noble In.	v005		reads: 大丈夫わたしがわたしのわたしを
m/MS003F.BIN	0:03	11	483	1B	貴人の香		Noble In.	v005		@refalign
m/MS003F.BIN	0:03	12	516	1B	運の香		Luck In.	v005		@refalign
m/MS003F.BIN	0:03	13	547	1B	時だましの香		Time Cheat In.	v005		@rebase-new @refalign
m/MS003F.BIN	0:04	0	0	DATA	反魂香を		Reviving Incense on	ours		
m/MS003F.BIN	0:04	1	68	1E3E	は{03:10}{08:4B}。\n<wait>		 was healed.\n<wait>	ours		reads: は回復した。\n<wait>
m/MS003F.BIN	0:04	2	139	1E3E	は復活{08:4B}。\n<wait>		 was revived.\n<wait>	ours		reads: は復活した。\n<wait>
m/MS003F.BIN	0:05	0	0	DATA	物夫の香を		Warrior's Incense on	ours		
m/MS003F.BIN	0:05	1	28	1E3E	の強さが上が{08:51}。\n<wait>		's Strength rose.\n<wait>	ours		reads: の強さが上がった。\n<wait>
m/MS003F.BIN	0:05	2	75	19	{03:00}	{03:00}				reads: 飛び道具
m/MS003F.BIN	0:06	0	0	UNTILED	大地の香を / ? / a / 9 / ? / ﾄ / 4 / > / の体力が上が / Q。 / ｺ / N / : / ﾝ / ?					@noedit; @untiled; record does not tile (u8 operand past end of record at 0x50); read-only, copied verbatim
m/MS003F.BIN	0:07	0	0	DATA	天の香を		Heaven's Incense on	ours		
m/MS003F.BIN	0:07	1	26	1E3E	の直感が上が{08:51}。\n<wait>		's Intuition rose.\n<wait>	ours		reads: の直感が上がった。\n<wait>
m/MS003F.BIN	0:08	0	0	DATA	心魂の香を		Soul Incense on	ours		
