# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
m/MS00DD.BIN	0:03	0	0	DATA	{04:05}に{08:62}効果が無{08:18}\n					reads: 　には、効果が無かった\n; reads: 　には、効果が無かった\n @refalign
m/MS00DD.BIN	0:04	0	0	DATA	{08:61}{04:05}に、かわ{03:0C}て{08:1F}\n					reads: しかし　に、かわされてしまった\n; reads: しかし　に、かわされてしまった\n @refalign
m/MS00DD.BIN	0:09	0	27	00	ﾝ\n{01:00}ﾝ					reads: ﾝ\n早坂達也ﾝ
m/MS00DD.BIN	0:09	1	37	0B	{05:00}ﾝ					reads: はいいいえﾝ; reads: はいいいえニュートンﾝ
m/MS00DD.BIN	0:0A	0	7	1E5C	{04:05}{08:62}巧くかわ{08:17}\n					reads: 　は、巧くかわした！\n; reads: 　は、巧くかわした！\n @refalign
m/MS00DD.BIN	0:0A	1	25	18	{03:0B}{04:05}にかわ{03:0C}た\n\n					reads: しかし、　にかわされた\n\n; reads: しかし、　にかわされた\n\n @refalign
m/MS00DD.BIN	0:0B	0	7	1E5C	{04:05}に{08:62}ダメージが無{08:18}\n					reads: 　には、ダメージが無かった\n; reads: 　には、ダメージが無かった\n @refalign
m/MS00DD.BIN	0:0B	1	31	18	{04:05}にダメージを与えられ{08:19}\n\n					reads: 　にダメージを与えられなかった\n\n; reads: 　にダメージを与えられなかった\n\n @refalign
m/MS00DD.BIN	0:0C	0	13	1E5C	{08:62}かすり傷を受け、\n	 took only a scratch,				reads: は、かすり傷を受け、\n; reads: は、かすり傷を受け、\n @ours-2026-09-05
m/MS00DD.BIN	0:0C	1	35	18	をかすり					reads: は、かすり傷を受け、\n
m/MS00DD.BIN	0:0D	0	0	DATA	{04:05}{04:09}、\n					reads: 　はに、\n
m/MS00DD.BIN	0:0E	0	25	00	{07:0C}ﾝ					reads: もっとﾝ
m/MS00DD.BIN	0:0E	1	51	13	会心の一撃！\n					@refalign
m/MS00DD.BIN	0:0E	2	67	18	痛烈な一撃！\n					@refalign
m/MS00DD.BIN	0:0E	3	90	1F01	{04:09}、	 				reads: はに、; reads: はに、 @rebase-tagdiff @seamfix-2026-09-05
m/MS00DD.BIN	0:0F	0	60	1E5D	必殺の一撃！\n					@refalign
m/MS00DD.BIN	0:0F	1	76	18	痛恨の一撃！\n					@refalign
m/MS00DD.BIN	0:10	0	13	1F01	に{08:62}効か{08:25}	 is unaffected 				reads: には、効かない; reads: には、効かない @refalign @seamfix-2026-09-05
m/MS00DD.BIN	0:10	1	32	1F01	には{08:20}く効か{08:25}\n	 is completely unaffected\n				reads: にはまったく効かない\n; reads: にはまったく効かない\n @ours-2026-09-05
m/MS00DD.BIN	0:11	0	28	1E5C	{03:0B}{04:05}{08:62}跳ね返{08:17}\n					reads: しかし、　は、跳ね返した！\n; reads: しかし、　は、跳ね返した！\n @refalign
m/MS00DD.BIN	0:11	1	54	1F83	{08:01}(#	{08:01}(#				reads: 達也(#
m/MS00DD.BIN	0:11	2	74	1F01	に、	 				reads: に、 @rebase-tagdiff @refalign @seamfix-2026-09-05
m/MS00DD.BIN	0:11	3	82	1F02	{03:0D}のダメージを与{08:41}\n					reads: ＨＰのダメージを与えた\n; reads: ＨＰのダメージを与えた\n @refalign
m/MS00DD.BIN	0:11	4	118	0C	#	#				
m/MS00DD.BIN	0:11	5	135	1F01	に、	 				reads: に、 @rebase-tagdiff @refalign @seamfix-2026-09-05
m/MS00DD.BIN	0:11	6	143	1F02	{03:0E}を失わせた\n					reads: ＭＰを失わせた\n; reads: ＭＰを失わせた\n @refalign
m/MS00DD.BIN	0:11	7	188	1F83	{04:EC}{08:62}	{04:EC} lost				reads: は、; reads: は、 @ours-2026-09-05
m/MS00DD.BIN	0:11	8	196	1F02	{03:0F}を失わせた\n					reads: ＥＸＰを失わせた\n; reads: ＥＸＰを失わせた\n @refalign
