# et/ET0101.BIN -- rebuilt by `python -m giten etdb`
# Edit the en_* cells.  Leave one empty to keep the Japanese.
# index	jp	en	status	note
0	ターミナル	Terminal	draft	
1	出口	Exit	draft	
2	昇り階段	Stairs Up	draft	
3	降り階段	Stairs Down	draft	
4	エレベータ	Elevator	draft	
5	エレベータ	Elevator	draft	
6	エレベータ	Elevator	draft	
7	シュータ	Chute	draft	
8			draft	
9			draft	
10			draft	
11			draft	
12			draft	
13			draft	
14			draft	
15			draft	
16	コンピュータショップ	Computer Shop	draft	
17	武器屋	Weapon Shop	draft	
18	転送装置	Transporter	draft	
19	薬屋	Pharmacy	draft	
20	邪教の館	Cathedral of Shadows	draft	
21	病院	Hospital	draft	
22	泉	Spring	draft	
23	回復ポイント	Recovery Point	draft	
24	防具屋	Armor Shop	draft	
25	酒場	Bar	draft	
26	ラグの店	Rag's Shop	draft	
27	道具屋	Item Shop	draft	
28			draft	
29			draft	
30			draft	
31			draft	
32			draft	
33			draft	
34			draft	
35			draft	
36			draft	
37			draft	
38			draft	
39			draft	
40			draft	
41			draft	
42			draft	
43			draft	
44			draft	
45			draft	
46			draft	
47			draft	
48			draft	
49			draft	
50			draft	
51			draft	
52			draft	
53			draft	
54			draft	
55			draft	
56			draft	
57			draft	
58			draft	
59	コンピュータ端末	Computer Terminal	draft	
60			draft	
61	降り階段	Stairs Down	draft	
62			draft	
63			draft	
64			draft	
65			draft	
66			draft	
67			draft	
68			draft	
69	泉	Spring	draft	
70	泉	Spring	draft	
71	泉	Spring	draft	
72			draft	
73			draft	
74			draft	
75			draft	
76			draft	
77			draft	
78			draft	
79			draft	
80	昇り階段	Stairs Up	draft	
81	降り階段	Stairs Down	draft	
82			draft	
83			draft	
84			draft	
85			draft	
86			draft	
87			draft	
88			draft	
89			draft	
90			draft	
91			draft	
92			draft	
93			draft	
94			draft	
95			draft	
