# Giten location names (the bar at the top of the screen)
# Edit the english column.  Leave it empty to keep the Japanese.
# id	japanese	english
0000	初台ｼｪﾙﾀｰ	Hatsudai Shelter
0001	ﾊﾞｰﾁｬﾀﾞﾝｼﾞｮﾝ	Virtua Dungeon
0002	亜空間	Subspace
0003	東郷神社地下	Under Togo Shrine
0004	労働キャンプ代々木	Yoyogi Labour Camp
0005	　　　　　　	
0006	新宿地下街	Shinjuku Arcade
0007	新宿地下道	Shinjuku Underpass
0008	新宿地下道	Shinjuku Underpass
0009	新宿都庁	Metro Gov't Bldg
000A	マイシテー	My City
000B	慶王ルミネ	Keio Lumine
000C	黄泉比良坂	Yomotsu Hirasaka
000D	御田急ハルク	Odakyu Halc
000E	オリンピックプール	Olympic Pool
000F	オリンピックプール	Olympic Pool
0010	原宿ｼｪﾙﾀｰ	Harajuku Shelter
0011	ミレニアム　総本山	Millennium Temple
0012	シャンシャンシティ	Shanshan City
0013	シャンシャンシティ	Shanshan City
0014	市ヶ谷ｼｪﾙﾀｰ	Ichigaya Shelter
0015	東京タワー	Tokyo Tower
0016	御茶ﾉ水ｼｪﾙﾀｰ	Ochanomizu Shelter
0017	地下鉄大手町駅	Otemachi Station
0018	ミレニアム　総本山	Millennium Temple
0019	八重洲地下街	Yaesu Arcade
001A	銀座地下街	Ginza Arcade
001B	神田地下街	Kanda Arcade
001C	地下鉄御茶ノ水駅	Ochanomizu Stn
001D	上野神殿	Ueno Temple
001E	地下鉄新橋駅	Shimbashi Station
001F	秋葉原駅ビル	Akihabara Stn Bldg
0020	バール教団　総本部	Baal Cult HQ
0021	アメ屋プラザ	Ameya Plaza
0022	地下鉄上野駅	Ueno Station
0023	御花屋敷	Hanayashiki
0024	御花屋敷	Hanayashiki
0025	浅草地下鉄　ビル	Asakusa Subway
0026	地下鉄浅草駅	Asakusa Station
0027	地下鉄霞ヶ関駅	Kasumigaseki Stn
0028	渋谷	Shibuya
0029	品川ホテル	Shinagawa Hotel
002A	品川水族館	Shinagawa Aquarium
002B	品川ホテル	Shinagawa Hotel
002C	地下鉄六本木駅	Roppongi Station
002D	大歓楽街	Pleasure Quarter
002E	六本木	Roppongi
002F	邪教の殿堂	Hall of the Cult
0030	渋谷	Shibuya
0031	バール教団　支部	Baal Cult Branch
0032	母なる金星	Mother Venus
0033	イシュタルの槌	Ishtar's Hammer
0034	恵比寿ガーデン	Ebisu Garden
0035	バエル城	Bael Castle
0036	高天原	Takamagahara
0037	中有	Limbo
0038	黄泉	Yomi
0039	有楽町線	Yurakucho Line
003A	地下鉄東池袋駅	Higashi-Ikebukuro
003B	地下鉄護国寺駅	Gokokuji Station
003C	地下鉄飯田橋駅	Iidabashi Station
003D	千代田線	Chiyoda Line
003E	明治神宮前駅	Meiji-Jingumae
003F	丸ノ内線	Marunouchi Line
0040	地下鉄千駄木駅	Sendagi Station
0041	銀座線	Ginza Line
0042	品川水族館駅	Aquarium Station
0043	日比谷線	Hibiya Line
0044	日比谷線	Hibiya Line
0045	地下鉄三ノ輪駅	Minowa Station
0046	芝浦埠頭駅	Shibaura Pier Stn
0047	地下鉄秋葉原駅	Akihabara Station
0048	臨海新交通	Rinkai Line
0049	目白不動	Mejiro Fudo
004A	目青不動	Meao Fudo
004B	目赤不動	Meaka Fudo
004C	目黄不動	Meki Fudo
004D	目黒不動	Meguro Fudo
004E	来てはいけない所	Forbidden Place
004F	護国寺	Gokokuji
0050	銀座線	Ginza Line
0051	代々木公園駅	Yoyogi Park Stn
0052	戸山ｼｪﾙﾀｰ	Toyama Shelter
0053	ミレニアム　病院	Millennium Hosp.
0055	築地本願寺	Tsukiji Honganji
0056	臨海ｺﾛｼｱﾑ	Rinkai Colosseum
0057	　　　　　　　　　	
0060	シャンシャンシティ	Shanshan City
0061	シャンシャンシティ	Shanshan City
0062	品川ホテル	Shinagawa Hotel
0063	品川ホテル	Shinagawa Hotel
0064	御花屋敷	Hanayashiki
0065	御花屋敷	Hanayashiki
0066	御茶ﾉ水ｼｪﾙﾀｰ	Ochanomizu Shelter
0067	御茶ﾉ水ｼｪﾙﾀｰ	Ochanomizu Shelter
0068	ミレニアム　総本山	Millennium Temple
0080	MURAKAMI	
0081	会話チェック	Talk Check
0082	初台ｼｪﾙﾀｰ	Hatsudai Shelter
0083	ﾚｼﾞｽﾀﾝｽ基地	Resistance Base
0084	労働キャンプ新宿	Shinjuku Work Camp
0085	新宿都庁	Metro Gov't Bldg
0086	亜空間	Subspace
0087	平沢研究所	Hirasawa Lab
0088	新宿爆心地	Shinjuku Epicentre
0089	鬼子母神	Kishimojin
008A	御茶ﾉ水ｼｪﾙﾀｰ	Ochanomizu Shelter
008B	地下研究所	Underground Lab
00FF	２Ｄ戦闘フィールド	2D Battle Field
