# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
p/P2000.BIN	NAME	0	54	NAME	相馬雪彦		Souma Yukihito	v005		
p/P2001.BIN	NAME	0	54	NAME	相馬雪彦＿		Souma Yukihito_	v005		
p/P2002.BIN	NAME	0	54	NAME	内海笙子		Utsumi Shouko	v005		
p/P2003.BIN	NAME	0	54	NAME	内海笙子＿		Utsumi Shouko_	v005		
p/P2004.BIN	NAME	0	54	NAME	飛鳥泪		Asuka Rui	v005		
p/P2005.BIN	NAME	0	54	NAME	西野義雄		Nishino Yoshio	v005		
p/P2006.BIN	NAME	0	54	NAME	早坂達也		Hayasaka	v005		
p/P2007.BIN	NAME	0	54	NAME	園田哲也		Sonoda Tetsuya	v005		
p/P2008.BIN	NAME	0	54	NAME	上河公輝		Kamikawa Kouki	v005		
p/P2009.BIN	NAME	0	54	NAME	相馬三四郎		Souma Sanshirou	v005		
p/P200A.BIN	NAME	0	54	NAME	山瀬勇		Yamase Isamu	v005		
p/P200B.BIN	NAME	0	54	NAME	桐島恵美		Kirishima Emi	v005		
p/P200C.BIN	NAME	0	54	NAME	バーバラ		Barbara	v005		
p/P200D.BIN	NAME	0	54	NAME	ニュートン		Newton	v005		
p/P200E.BIN	NAME	0	54	NAME	山田カズミ		Yamada Kazumi	v005		
p/P200F.BIN	NAME	0	54	NAME	樹海		Jukai	v005		
p/P2010.BIN	NAME	0	54	NAME	ノスフェラトゥ		Nosferatu	v005		
p/P2011.BIN	NAME	0	54	NAME	アイ・ボール		Eye Ball	v005		
p/P2012.BIN	NAME	0	54	NAME	ビット・ボール		Bit Ball	v005		
p/P2013.BIN	NAME	0	54	NAME	ハイボール		High Ball	v005		
p/P2014.BIN	NAME	0	54	NAME	Ｔ９３－α		fixed 16-byte field: at most 15 bytes plus a NUL			
p/P2015.BIN	NAME	0	54	NAME	Ｔ９３－β		fixed 16-byte field: at most 15 bytes plus a NUL			
p/P2016.BIN	NAME	0	54	NAME	インズマス		Innsmouth	v005		
p/P2017.BIN	NAME	0	54	NAME	ワードック		Weredog	v005		
p/P2018.BIN	NAME	0	54	NAME	ワーキャット		Werecat	v005		
p/P2019.BIN	NAME	0	54	NAME	ワーウルフ		Werewolf	v005		
p/P201A.BIN	NAME	0	54	NAME	ヴァンピール		Vampire	v005		
p/P201B.BIN	NAME	0	54	NAME	ドッペルゲンガー		Doppelganger	v005		
p/P201C.BIN	NAME	0	54	NAME	スライム		Slime	v005		
p/P201D.BIN	NAME	0	54	NAME	プラズマ・ボール		Plasma Ball	v005		
p/P201E.BIN	NAME	0	54	NAME	クラップスライム		Crap Slime	v005		
p/P201F.BIN	NAME	0	54	NAME	スプラッター		Splatter	v005		
p/P2020.BIN	NAME	0	54	NAME	大日如来		Dainichi Nyorai	v005		
p/P2021.BIN	NAME	0	54	NAME	バールハダド		Baal Hadad	v005		
p/P2022.BIN	NAME	0	54	NAME	マルドゥーク		Marduk	v005		
p/P2023.BIN	NAME	0	54	NAME	ルー		Lugh	v005		
p/P2024.BIN	NAME	0	54	NAME	アモン		Amon	v005		
p/P2025.BIN	NAME	0	54	NAME	カーマ		Kama	v005		
p/P2026.BIN	NAME	0	54	NAME	イシュタル		Ishtar	v005		
p/P2027.BIN	NAME	0	54	NAME	アマテラス		Amaterasu	v005		
p/P2028.BIN	NAME	0	54	NAME	ラクシュミ		Lakshmi	v005		
p/P2029.BIN	NAME	0	54	NAME	ウルド		Urd	v005		
p/P202A.BIN	NAME	0	54	NAME	ニンフルサグ		Ninhursag	v005		
p/P202B.BIN	NAME	0	54	NAME	ニケ		Nike	v005		
p/P202C.BIN	NAME	0	54	NAME	フレイア		Freya	v005		
p/P202D.BIN	NAME	0	54	NAME	アメノウズメ		Ame-no-Uzume	v005		
p/P202E.BIN	NAME	0	54	NAME	ブリーイッド		Brigid	v005		
p/P202F.BIN	NAME	0	54	NAME	スセリヒメ		Suseri-Hime	v005		
p/P2030.BIN	NAME	0	54	NAME	カルキ		Kalki	v005		
p/P2031.BIN	NAME	0	54	NAME	スサノオ		Susano-o	v005		
p/P2032.BIN	NAME	0	54	NAME	アレス		Ares	v005		
p/P2033.BIN	NAME	0	54	NAME	大国主		Ookuninushi	v005		
p/P2034.BIN	NAME	0	54	NAME	ヤマトタケル		Yamato-Takeru	v005		
p/P2035.BIN	NAME	0	54	NAME	タケミカズチ		Take-Mikazuchi	v005		
p/P2036.BIN	NAME	0	54	NAME	ピャンカラ		Priyankara	v005		
p/P2037.BIN	NAME	0	54	NAME	タケミナカタ		Take-Minakata	v005		
p/P2038.BIN	NAME	0	54	NAME	ハツセオノミコト		Hatsuseo Mikoto	v005		
p/P2039.BIN	NAME	0	54	NAME	タヂカラオ		Tajikarao	v005		
p/P203A.BIN	NAME	0	54	NAME	レミエル		Remiel	v005		
p/P203B.BIN	NAME	0	54	NAME	ファニエル		Phanuel	v005		
p/P203C.BIN	NAME	0	54	NAME	ラファエラ		Raphaela	v005		
p/P203D.BIN	NAME	0	54	NAME	アブドゥエル		Abdiel	v005		
p/P203E.BIN	NAME	0	54	NAME	ククリヒメ		Kikuri-Hime	v005		
p/P203F.BIN	NAME	0	54	NAME	ハリティー		Hariti	v005		
p/P2040.BIN	NAME	0	54	NAME	アシラト		Asherah	v005		
p/P2041.BIN	NAME	0	54	NAME	ヴェスタ		Vesta	v005		
p/P2042.BIN	NAME	0	54	NAME	ヘケト		Heket	v005		
p/P2043.BIN	NAME	0	54	NAME	チンロン		Qing-Long	v005		
p/P2044.BIN	NAME	0	54	NAME	キングー		Kingu	v005		
p/P2045.BIN	NAME	0	54	NAME	トヨタマヒメ		Toyotama-Hime	v005		
p/P2046.BIN	NAME	0	54	NAME	ペクヨン		Pek-Young	v005		
p/P2047.BIN	NAME	0	54	NAME	カヤノヒメ		Kayano-Hime	v005		
p/P2048.BIN	NAME	0	54	NAME	ナムチ		Namuci	v005		
p/P2049.BIN	NAME	0	54	NAME	ガルーダ		Garuda	v005		
p/P204A.BIN	NAME	0	54	NAME	八た烏		Yatagarasu	v005		
p/P204B.BIN	NAME	0	54	NAME	フェニックス		Phoenix	v005		
p/P204C.BIN	NAME	0	54	NAME	ジャターユ		Jatayu	v005		
p/P204D.BIN	NAME	0	54	NAME	鳳凰		Hou-Ou	v005		
p/P204E.BIN	NAME	0	54	NAME	スパルナ		Suparna	v005		
p/P204F.BIN	NAME	0	54	NAME	キンシチョウ		Kinshichou	v005		
p/P2050.BIN	NAME	0	54	NAME	バロン		Barong	v005		
p/P2051.BIN	NAME	0	54	NAME	ナラシンハ		Narasimha	v005		
p/P2052.BIN	NAME	0	54	NAME	白影		Hakuei	v005		
p/P2053.BIN	NAME	0	54	NAME	シーサー		Shiisaa	v005		
p/P2054.BIN	NAME	0	54	NAME	白蛇		Shirohebi	v005		
p/P2055.BIN	NAME	0	54	NAME	アピス		Apis	v005		
p/P2056.BIN	NAME	0	54	NAME	白狐		Shirogitsune	v005		
p/P2057.BIN	NAME	0	54	NAME	サラマンダー		Salamander	v005		
p/P2058.BIN	NAME	0	54	NAME	ウンディーネ		Undine	v005		
p/P2059.BIN	NAME	0	54	NAME	ノーム		Gnome	v005		
p/P205A.BIN	NAME	0	54	NAME	シルフ		Sylph	v005		
p/P205B.BIN	NAME	0	54	NAME	ホリーエレメント		Holy Elemental	v005		
p/P205C.BIN	NAME	0	54	NAME	フレイムエレメﾝﾄ		Flame Elemental	v005		
p/P205D.BIN	NAME	0	54	NAME	アクアエレメント		Aqua Elemental	v005		
p/P205E.BIN	NAME	0	54	NAME	テラエレメント		Terra Elemental	v005		
p/P205F.BIN	NAME	0	54	NAME	エアロエレメント		Aero Elemental	v005		
p/P2060.BIN	NAME	0	54	NAME	ヴァーチュー		Virtue	v005		
p/P2061.BIN	NAME	0	54	NAME	パワー		Power	v005		
p/P2062.BIN	NAME	0	54	NAME	プリンシパリティ		Principality	v005		
p/P2063.BIN	NAME	0	54	NAME	アークエンジェル		Archangel	v005		
p/P2064.BIN	NAME	0	54	NAME	ダニエル		Daniel	v005		
p/P2065.BIN	NAME	0	54	NAME	カシエル		Cassiel	v005		
p/P2066.BIN	NAME	0	54	NAME	シェムシエル		Shamsiel	v005		
p/P2067.BIN	NAME	0	54	NAME	エンジェル		Angel	v005		
p/P2068.BIN	NAME	0	54	NAME	ホーリーゴースト		Holy Ghost	v005		
p/P2069.BIN	NAME	0	54	NAME	ウォッチャー		Watcher	v005		
p/P206A.BIN	NAME	0	54	NAME	モラクス		Morax	v005		
p/P206B.BIN	NAME	0	54	NAME	プルソン		Purson	v005		
p/P206C.BIN	NAME	0	54	NAME	ハアゲンティ		Haagenti	v005		
