# Giten race / lineage / title tables (et/ET0000.BIN)
# Edit the 'en' column.  Leave it empty to keep the Japanese.
# Budgets in half-width cells: race 14, lineage 16, title 14, group 10
kind	index	jp	en	status	note
race	0	種族不明	Unknown	draft	
race	1	魔神	Deity	draft	
race	2	女神	Megami	draft	
race	3	破壊神	Destroyer	draft	
race	4	鬼神	Kishin	draft	
race	5	大天使	Archangel	draft	
race	6	地母神	Earth Mother	draft	
race	7	龍神	Dragon	draft	
race	8	霊鳥	Avian	draft	
race	9	神獣	Divine Beast	draft	
race	10	聖獣	Holy Beast	draft	
race	11	精霊	Elemental	draft	
race	12	天使	Angel	draft	
race	13	降天使	Descended	draft	
race	14	龍王	Drake	draft	
race	15	妖鳥	Raptor	draft	
race	16	魔獣	Beast	draft	
race	17	妖魔	Yoma	draft	
race	18	夜魔	Night	draft	
race	19	水妖	Nymph	draft	
race	20	妖精	Fairy	draft	
race	21	樹精	Dryad	draft	
race	22	鬼女	Femme	draft	
race	23	闘鬼	Brawler	draft	
race	24	妖鬼	Ogre	draft	
race	25	地霊	Earth Spirit	draft	
race	26	魔人	Fiend	draft	
race	27	デモノイド	Demonoid	draft	
race	28	獣人	Beastman	draft	
race	29	イシュタル信者	Ishtar Cultist	draft	
race	30	バエル信者	Bael Cultist	draft	
race	31	狂人	Madman	draft	
race	32	兵士	Soldier	draft	
race	33	人	Human	draft	
race	34	犬	Dog	draft	
race	35	外道	Heretic	draft	
race	36	傀儡	Puppet	draft	
race	37	マシン	Machine	draft	
race	38	悪霊	Spirit	draft	
race	39	屍鬼	Ghoul	draft	
race	40	幽鬼	Wraith	draft	
race	41	邪鬼	Brute	draft	
race	42	妖樹	Treant	draft	
race	43	妖獣	Wilder	draft	
race	44	凶鳥	Foul Bird	draft	
race	45	邪龍	Wyrm	draft	
race	46	下魔	Lesser Demon	draft	
race	47	堕天使	Fallen Angel	draft	
race	48	悪魔	Demon	draft	
race	49	邪神	Vile	draft	
race	50	魔王	Tyrant	draft	
lineage	0	神族不明	Unknown	draft	
lineage	1	天津神族	Amatsu	draft	
lineage	2	国津神族	Kunitsu	draft	
lineage	3	ヘブライ神族	Hebrew	draft	
lineage	4	仙族	Sennin	draft	
lineage	5	ディーヴァ神族	Deva	draft	
lineage	6	阿修羅神族	Asura	draft	
lineage	7	夜叉神族	Yaksha	draft	
lineage	8	羅刹神族	Rakshasa	draft	
lineage	9	アース神族	Aesir	draft	
lineage	10	ヴァン神族	Vanir	draft	
lineage	11	ダヌー神族	Danu	draft	
lineage	12	オリンポス神族	Olympian	draft	
lineage	13	ティターン神族	Titan	draft	
lineage	14	ガイアネス神族	Gaianes	draft	
lineage	15	フォーモリア神族	Fomorian	draft	
lineage	16	ヴィー神族	Viy	draft	
lineage	17	無し	None	draft	
lineage	18	バベル神族	Babel	draft	
lineage	19	ルイス神族	Luis	draft	
lineage	20	トーテム神族	Totem	draft	
lineage	21	ラー神族	Ra	draft	
lineage	22	ヤザタ神族	Yazata	draft	
title	0	愚者	Fool	draft	
title	1	異能者	Esper	draft	
title	2	覚醒者	Awakened	draft	
title	3	超人	Superhuman	draft	
title	4	導師	Guru	draft	
title	5	神人	Demigod	draft	
title	6	神	God	draft	
group	0	大種族不明	Unknown	draft	
group	1	天神系	Divine	draft	
group	2	鬼神系	Kishin	draft	
group	3	魔族系	Demonic	draft	
group	4	飛天系	Celestial	draft	
group	5	龍族系	Dragon	draft	
group	6	鳥族系	Avian	draft	
group	7	獣族系	Beast	draft	
group	8	鬼族系	Ogre	draft	
group	9	精霊系	Elemental	draft	
group	10	邪霊系	Spectral	draft	
group	11	外道系	Heretic	draft	
group	12	人系	Human	draft	
group	13	魔人系	Fiend	draft	
group	14	無生物	Inanimate	draft	
group	15	草木系	Plant	draft	
