# et/ET0004.BIN -- rebuilt by `python -m giten etdb`
# Edit the en_* cells.  Leave one empty to keep the Japanese.
# index	jp_name	en_name	jp_desc	en_desc	status	note
0	攻撃無し	No Attack	なし	None	draft	
1	剣攻撃	Sword Attack	剣の攻撃	A sword attack	draft	
2	攻撃	Attack	素手の攻撃	A bare-handed attack	draft	
3	ハンドガン	Handgun	ハンドガン	Handgun	draft	
4	マシンガン	Machine Gun	マシンガン	Machine gun	draft	
5	襲撃	Assault	襲いかかる攻撃	A lunging attack	draft	
6	鈍器攻撃	Blunt Attack	鈍器で殴る攻撃	A blow with a blunt weapon	draft	
7	突き攻撃	Thrust Attack	突き刺す攻撃	A stabbing attack	draft	
8	鞭攻撃	Whip Attack	鞭で打つ攻撃	A strike with a whip	draft	
9	ショットガン	Shotgun	ショットガンで撃つ攻撃	A shot from a shotgun	draft	
10	レーザーガン	Laser Gun	レーザーガンで撃つ攻撃	A shot from a laser gun	draft	
11	攻撃11	Attack 11	攻撃11	Attack 11	draft	
12	攻撃12	Attack 12	攻撃12	Attack 12	draft	
13	攻撃13	Attack 13	攻撃13	Attack 13	draft	
14	攻撃14	Attack 14	攻撃14	Attack 14	draft	
15	攻撃15	Attack 15	攻撃15	Attack 15	draft	
16	アギ	Agi	炎の小球＠が敵１体を襲う	A small ball of flame＠ strikes one foe	draft	
17	アギラオ	Agilao	燃えさかる炎の弾玉＠の攻撃が敵１体を焼く	A blazing bullet of fire＠ burns one foe	draft	
18	アギラオン	Agilaon	灼熱の炎の玉の攻撃＠が、敵１体を焼く	A searing ball of fire＠ burns one foe	draft	
19	アギダイオン	Agidyne	巨大な炎の大柱＠が燃えたち、敵１体を焼きつくす	A huge pillar of flame＠ blazes up and burns one foe away	draft	
20	マハアギ	Maha Agi	炎の小球＠が、敵集団を攻撃＠する	A small ball of flame＠ attacks a group of foes	draft	
21	マハアギラ	Maha Agila	高熱の炎の珠＠が、敵の集団の中で炸裂する	A white-hot fire orb＠ bursts among a group of foes	draft	
22	マハラギオン	Maha Ragion	灼熱の炎の大爆発＠により、複数の敵に与える	A searing fire blast＠ damages several foes	draft	
23	アギヤード	Agiyard	炎の絨毯＠は戦闘終了まで敵を焼き続ける	A carpet of flame＠ burns foes until the battle ends	draft	
24	ザン	Zan	風の弾丸＠を作り出し、１体に攻撃を集中させる	A bullet of wind＠ is formed and focused on one foe	draft	
25	ザンマ	Zanma	風の刃＠を作り出し、１体を切り刻む	A blade of wind＠ is formed and cuts one foe apart	draft	
26	ザンマオン	Zanmaon	風の砲弾＠ともいえる、強力な衝撃波で、的１体を襲う	A cannon shot of wind＠ -- a shock wave that strikes one foe	draft	
27	ザンダイオン	Zandyne	すべてを貫く風＠が、画面上の敵にダメージを与える	An all-piercing wind＠ damages every foe on screen	draft	
28	マハザン	Maha Zan	切り裂きの風＠が、複数の敵を切り刻む	A slashing wind＠ cuts several foes apart	draft	
29	マハザンマ	Maha Zanma	乱舞する風の剣＠が、複数の敵を切り刻む	Whirling swords of wind＠ cut several foes apart	draft	
30	マハザンマオン	Maha Zanmaon	切り裂く嵐の風＠が、複数の敵に襲いかかる	A slashing storm wind＠ falls upon several foes	draft	
31	ダーム	Dahm	小さな爆烈＠で、少数の敵を攻撃する	A small blast＠ attacks a few foes	draft	
32	ダムド	Damdo	爆烈魔法＠により、複数の敵にダメージを与える	Blast magic＠ damages several foes	draft	
33	ダムドーラ	Damdora	大爆烈＠が敵のただ中で引き起こされる	A great blast＠ erupts in the midst of the foes	draft	
34	ダムドラオン	Damdoraon	超爆烈＠が、すべての敵をなぎ倒す	A titanic blast＠ mows down every foe	draft	
35	ジオ	Zio	小さな雷撃＠が、敵１体を襲う	A small bolt＠ strikes one foe	draft	
36	ジオラ	Ziora	電撃により、敵１体を攻撃＠する	An electric shock＠ strikes one foe	draft	
37	ジオンガ	Zionga	大きな雷撃を、敵１体に集中＠する	A great bolt＠ is focused on one foe	draft	
38	ジオンダイン	Ziodyne	想像を絶する雷撃＠により、敵１体を手中攻撃する	An unimaginable bolt＠ strikes one foe	draft	
39	マハジオ	Maha Zio	拡散する弱い電撃＠が複数の敵を襲う	A weak spreading shock＠ strikes several foes	draft	
40	マハジオラ	Maha Ziora	拡散する電撃＠で、複数の敵を攻撃する	A spreading shock＠ attacks several foes	draft	
