# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID0099.BIN	F0	0	26	1FB2	宝石		
et/ID0099.BIN	F0	1	32	1FB2	魔石		
et/ID0099.BIN	F0	2	38	1FB2	ＭＡＧ		
et/ID0099.BIN	F0	3	46	1FB2	金		
et/ID0099.BIN	F0	4	50	1FB2	他の物		
et/ID0099.BIN	F0	5	102	1FB2	肉をあげる		
et/ID0099.BIN	F0	6	114	1FB2	骨をあげる		
et/ID0099.BIN	F0	7	126	1FB2	やめる		
et/ID0099.BIN	F0	8	132	1FB2	他の物		
et/ID0099.BIN	F0	9	237	1FB2	はい		
et/ID0099.BIN	F0	10	241	1FB2	いいえ		
et/ID0099.BIN	F0	11	245	1FB2	もう無い		
et/ID0099.BIN	F0	12	454	1FB2	そこを何とか		
et/ID0099.BIN	F0	13	468	1FB2	骨を投げる		
et/ID0099.BIN	F0	14	645	1FB2	はい		
et/ID0099.BIN	F0	15	649	1FB2	いいえ		
et/ID0099.BIN	F0	16	653	1FB2	どうしようかな…		
et/ID0099.BIN	F0	17	733	1FB2	仕方ないな		
et/ID0099.BIN	F0	18	743	1FB2	どうしようかな…		
et/ID0099.BIN	F0	19	929	1FB2	意地でも通る		
et/ID0099.BIN	F0	20	941	1FB2	お願いする		
et/ID0099.BIN	F0	21	951	1FB2	骨を投げる		
et/ID0099.BIN	F0	22	1150	1FB2	他の物ならあげる		
et/ID0099.BIN	F0	23	1166	1FB2	土下座して頼む		
et/ID0099.BIN	F0	24	1377	1FB2	はい		
et/ID0099.BIN	F0	25	1381	1FB2	いいえ		
et/ID0099.BIN	F0	26	1385	1FB2	どうしようかな…		
et/ID0099.BIN	F0	27	1473	1FB2	仕方ないな		
et/ID0099.BIN	F0	28	1483	1FB2	どうしようかな…		
