# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID00A2.BIN	F0	0	52	1FB2	Gemstone	Gemstone	
et/ID00A2.BIN	F0	1	62	1FB2	Magic Stone	Magic Stone	
et/ID00A2.BIN	F0	2	75	1FB2	Magnetite	Magnetite	
et/ID00A2.BIN	F0	3	86	1FB2	Money	Money	
et/ID00A2.BIN	F0	4	93	1FB2	Other	Other	
et/ID00A2.BIN	F0	5	144	1FB2	Kitty Stone	Kitty Stone	
et/ID00A2.BIN	F0	6	157	1FB2	Catnip	Catnip	
et/ID00A2.BIN	F0	7	165	1FB2	Rub Neck	Rub Neck	
et/ID00A2.BIN	F0	8	175	1FB2	Never Mind	Never Mind	
et/ID00A2.BIN	F0	9	187	1FB2	Other	Other	
et/ID00A2.BIN	F0	10	241	1FB2	Gemstone	Gemstone	
et/ID00A2.BIN	F0	11	251	1FB2	Magic Stone	Magic Stone	
et/ID00A2.BIN	F0	12	264	1FB2	Magnetite	Magnetite	
et/ID00A2.BIN	F0	13	275	1FB2	Money	Money	
et/ID00A2.BIN	F0	14	282	1FB2	Other	Other	
et/ID00A2.BIN	F0	15	333	1FB2	Kitty Stone	Kitty Stone	
et/ID00A2.BIN	F0	16	346	1FB2	Catnip	Catnip	
et/ID00A2.BIN	F0	17	354	1FB2	Never Mind	Never Mind	
et/ID00A2.BIN	F0	18	366	1FB2	Other	Other	
et/ID00A2.BIN	F0	19	574	1FBA	>Keep going?\n	>Keep going?\n	
et/ID00A2.BIN	F0	20	667	1FBA	>Keep going?\n	>Keep going?\n	
et/ID00A2.BIN	F0	21	1015	1FB2	Keep Going	Keep Going	
et/ID00A2.BIN	F0	22	1027	1FB2	Stop	Stop	
