# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID00C1.BIN	F0	0	26	1FB2	宝石		
et/ID00C1.BIN	F0	1	32	1FB2	魔石		
et/ID00C1.BIN	F0	2	38	1FB2	ＭＡＧ		
et/ID00C1.BIN	F0	3	46	1FB2	金		
et/ID00C1.BIN	F0	4	50	1FB2	他の物		
et/ID00C1.BIN	F0	5	102	1FB2	お菓子をあげる		
et/ID00C1.BIN	F0	6	118	1FB2	パンプキンヘッド		
et/ID00C1.BIN	F0	7	136	1FB2	やめる		
et/ID00C1.BIN	F0	8	142	1FB2	他の物		
et/ID00C1.BIN	F0	9	296	1FB2	仕方ないな		
et/ID00C1.BIN	F0	10	306	1FB2	駄目ったら駄目！		
et/ID00C1.BIN	F0	11	322	1FB2	もう持ってない		
et/ID00C1.BIN	F0	12	617	1FB2	そっくりなのに		
et/ID00C1.BIN	F0	13	631	1FB2	ごめんなさい		
et/ID00C1.BIN	F0	14	790	1FB2	一緒にやる		
et/ID00C1.BIN	F0	15	802	1FB2	そりゃヤバイ		
et/ID00C1.BIN	F0	16	816	1FB2	ほっとく		
et/ID00C1.BIN	F0	17	940	1FB2	駄目ったら駄目！		
et/ID00C1.BIN	F0	18	956	1FB2	仕方ないな		
et/ID00C1.BIN	F0	19	1077	1FB2	仕方ないな		
et/ID00C1.BIN	F0	20	1087	1FB2	絶対いや		
