# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID012B.BIN	F0	0	148	1FB2	それはちょっと…		
et/ID012B.BIN	F0	1	162	1FB2	まあいいけど		
et/ID012B.BIN	F0	2	231	1FB2	はい		
et/ID012B.BIN	F0	3	235	1FB2	思い直す		
et/ID012B.BIN	F0	4	286	1FB2	怒る		
et/ID012B.BIN	F0	5	292	1FB2	黙ってる		
et/ID012B.BIN	F0	6	353	1FB2	それでいいです		
et/ID012B.BIN	F0	7	363	1FB2	冗談じゃない		
et/ID012B.BIN	F0	8	459	1FB2	欲しい		
et/ID012B.BIN	F0	9	467	1FB2	いらない		
et/ID012B.BIN	F0	10	629	1FFB	{01}#お待ち下さい		runtime inserts: reproduce every {XX} token, in order
et/ID012B.BIN	F0	11	745	1FB2	仕方ないな		
et/ID012B.BIN	F0	12	755	1FB2	絶対やらん		
et/ID012B.BIN	F0	13	816	1FBA	！！！\n		
