# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID014E.BIN	F0	0	26	1FB2	宝石		
et/ID014E.BIN	F0	1	32	1FB2	魔石		
et/ID014E.BIN	F0	2	38	1FB2	ＭＡＧ		
et/ID014E.BIN	F0	3	46	1FB2	金		
et/ID014E.BIN	F0	4	50	1FB2	他の物		
et/ID014E.BIN	F0	5	102	1FB2	肉をあげる		
et/ID014E.BIN	F0	6	114	1FB2	骨をあげる		
et/ID014E.BIN	F0	7	126	1FB2	やめる		
et/ID014E.BIN	F0	8	132	1FB2	他の物		
et/ID014E.BIN	F0	9	237	1FB2	はい		
et/ID014E.BIN	F0	10	241	1FB2	いいえ		
et/ID014E.BIN	F0	11	245	1FB2	もう無い		
et/ID014E.BIN	F0	12	454	1FB2	そこを何とか		
et/ID014E.BIN	F0	13	468	1FB2	骨を投げる		
et/ID014E.BIN	F0	14	645	1FB2	はい		
et/ID014E.BIN	F0	15	649	1FB2	いいえ		
et/ID014E.BIN	F0	16	653	1FB2	どうしようかな…		
et/ID014E.BIN	F0	17	733	1FB2	仕方ないな		
et/ID014E.BIN	F0	18	743	1FB2	どうしようかな…		
et/ID014E.BIN	F0	19	939	1FB2	意地でも通る		
et/ID014E.BIN	F0	20	951	1FB2	お願いする		
et/ID014E.BIN	F0	21	961	1FB2	骨を投げる		
et/ID014E.BIN	F0	22	973	1FB2	じゃあ通らない		
et/ID014E.BIN	F0	23	1069	1FB2	他の物ならあげる		
et/ID014E.BIN	F0	24	1085	1FB2	土下座して頼む		
et/ID014E.BIN	F0	25	1304	1FB2	はい		
et/ID014E.BIN	F0	26	1308	1FB2	いいえ		
et/ID014E.BIN	F0	27	1312	1FB2	どうしようかな…		
et/ID014E.BIN	F0	28	1400	1FB2	仕方ないな		
et/ID014E.BIN	F0	29	1410	1FB2	どうしようかな…		
