# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS000D.BIN	F0	0	26	1FD2	Sonoda:	Sonoda:	
m/MS000D.BIN	F0	1	35	1FD3	Phew... That was a close one...\nNow then, we must hurry. There's no time.\n<wait>	Phew... That was a close one...\nNow then, we must hurry. There's no time.\n<wait>	
m/MS000D.BIN	F0	2	123	1FD2	Hayasaka:	Hayasaka:	
m/MS000D.BIN	F0	3	134	1FD3	That was a close one...\n<wait>There's no time for this. We must hurry!\n<wait>	That was a close one...\n<wait>There's no time for this. We must hurry!\n<wait>	
m/MS000D.BIN	F0	4	217	1FD2	Kamikawa:	Kamikawa:	
m/MS000D.BIN	F0	5	228	1FD3	Phew... That was a close one...\nNow then, we must hurry. There's no time.\n<wait>	Phew... That was a close one...\nNow then, we must hurry. There's no time.\n<wait>	
m/MS000D.BIN	F0	6	316	1FD2	Emi:	Emi:	
m/MS000D.BIN	F0	7	322	1FD3	That was a close one...\nNow, we've gotta hurry or we won't make it in time!\n<wait>	That was a close one...\nNow, we've gotta hurry or we won't make it in time!\n<wait>	
m/MS000D.BIN	F0	8	410	1FD2	Sonoda:	Sonoda:	
m/MS000D.BIN	F0	9	419	1FD3	Phew... That was a close one.\n<wait>	Phew... That was a close one.\n<wait>	
m/MS000D.BIN	F0	10	455	1FBA	{0B}o	{0B}o	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS000D.BIN	F0	11	462	1FD2	Hayasaka:	Hayasaka:	
m/MS000D.BIN	F0	12	473	1FD3	Katsuragi. I don't know what you're thinking,\nbut please, exercise some goddamn caution!\n<wait>	Katsuragi. I don't know what you're thinking,\nbut please, exercise some goddamn caution!\n<wait>	
m/MS000D.BIN	F0	13	576	1FD2	Kamikawa:	Kamikawa:	
m/MS000D.BIN	F0	14	587	1FD3	You've gotta be more careful, Katsuragi!\n<wait>	You've gotta be more careful, Katsuragi!\n<wait>	
m/MS000D.BIN	F0	15	642	1FD2	Emi:	Emi:	
m/MS000D.BIN	F0	16	648	1FD3	You've gotta be more careful, Katsuragi!\n<wait>	You've gotta be more careful, Katsuragi!\n<wait>	
m/MS000D.BIN	F0	17	698	1FD2	Sonoda:	Sonoda:	
m/MS000D.BIN	F0	18	720	1FD2	Hayasaka:	Hayasaka:	
m/MS000D.BIN	F0	19	731	1FD3	Phew... That was a close one.<wait>	Phew... That was a close one.<wait>	
m/MS000D.BIN	F0	20	784	1FD2	Hayasaka:	Hayasaka:	
m/MS000D.BIN	F0	21	808	1FD2	Kamikawa:	Kamikawa:	
m/MS000D.BIN	F0	22	819	1FD3	That was a close one...\n<wait>	That was a close one...\n<wait>	
m/MS000D.BIN	F0	23	870	1FD2	Emi:	Emi:	
