# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS001B.BIN	F0	0	16	1FD0	The elevator is currently on 1F. It's faster to take the stairs.\n<wait>	The elevator is currently on 1F. It's faster to take the stairs.\n<wait>	
m/MS001B.BIN	F0	1	141	1FD2	Yuuka:	Yuuka:	
m/MS001B.BIN	F0	2	149	1FD3	Wrong way, Katsuragi. This is no time for detours.\n<wait>	Wrong way, Katsuragi. This is no time for detours.\n<wait>	
m/MS001B.BIN	F0	3	218	1FD2	Yuuka:	Yuuka:	
m/MS001B.BIN	F0	4	226	1FD3	We've gotta hurry or we'll be late. Let's hurry to the office.\n<wait>	We've gotta hurry or we'll be late. Let's hurry to the office.\n<wait>	
m/MS001B.BIN	F0	5	320	1FD2	Yuuka:	Yuuka:	
m/MS001B.BIN	F0	6	328	1FD3	We've gotta hurry over to Emi's place.\n	We've gotta hurry over to Emi's place.\n	
m/MS001B.BIN	F0	7	397	1FD2	Yuuka:	Yuuka:	
m/MS001B.BIN	F0	8	405	1FD3	We've gotta hurry to the office.\n	We've gotta hurry to the office.\n	
m/MS001B.BIN	F0	9	479	1FD2	Guard Robot:	Guard Robot:	
m/MS001B.BIN	F0	10	493	1FD3	THIS AREA IS OFF LIMITS\n<wait>YOU CANNOT PASS WITHOUT AUTHORIZATION\n<wait><wait>	THIS AREA IS OFF LIMITS\n<wait>YOU CANNOT PASS WITHOUT AUTHORIZATION\n<wait><wait>	
m/MS001B.BIN	F0	11	657	1FD0	A pile of broken debris that was once a guard robot lies here.\n<wait>	A pile of broken debris that was once a guard robot lies here.\n<wait>	
m/MS001B.BIN	F0	12	737	1FD0	A pile of broken debris that was once a guard robot lies here.\n<wait>	A pile of broken debris that was once a guard robot lies here.\n<wait>	
m/MS001B.BIN	F0	13	806	1FBA	Furthermore, a thick smell of gasoline lingers in the air.\n<wait>You probably don't want to stay here for too long.\n<wait>	Furthermore, a thick smell of gasoline lingers in the air.\n<wait>You probably don't want to stay here for too long.\n<wait>	
m/MS001B.BIN	F0	14	984	1FD2	Hayasaka:	Hayasaka:	
m/MS001B.BIN	F0	15	995	1FD3	Yo, Katsuragi. There's no telling what awaits us out there in the wild.\n<wait>	Yo, Katsuragi. There's no telling what awaits us out there in the wild.\n<wait>	
m/MS001B.BIN	F0	16	1075	1FD2	Hayasaka:	Hayasaka:	
m/MS001B.BIN	F0	17	1086	1FD3	Let's drop by the pantry and get some food before we go.\n<wait>	Let's drop by the pantry and get some food before we go.\n<wait>	
m/MS001B.BIN	F0	18	1161	1FD2	Hayasaka:	Hayasaka:	
m/MS001B.BIN	F0	19	1172	1FD3	We might also want to get some better equipment.\nThe demons can be pretty damn tough...\n<wait>	We might also want to get some better equipment.\nThe demons can be pretty damn tough...\n<wait>	
m/MS001B.BIN	F0	20	1268	1FD2	Hayasaka:	Hayasaka:	
m/MS001B.BIN	F0	21	1279	1FD3	Let's pay the armoury a visit as well and see if we can find anything.\n<wait>	Let's pay the armoury a visit as well and see if we can find anything.\n<wait>	
m/MS001B.BIN	F0	22	1375	1FD0	A scary, unknown world waits you out there.\n<wait>Maybe it'd be for the best if you dropped by the pantry and stocked up.\n<wait>	A scary, unknown world waits you out there.\n<wait>Maybe it'd be for the best if you dropped by the pantry and stocked up.\n<wait>	
m/MS001B.BIN	F0	23	1501	1FBA	{0B}}	{0B}}	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS001B.BIN	F0	24	1508	1FD0	Furthermore, the weapons you have likely won't take you far.\nMight as well drop by armoury too while you're at it.\n<wait>	Furthermore, the weapons you have likely won't take you far.\nMight as well drop by armoury too while you're at it.\n<wait>	
m/MS001B.BIN	F0	25	1659	1FD0	Newton turns back...\n<wait>	Newton turns back...\n<wait>	
m/MS001B.BIN	F0	26	1746	1FD2	Hayasaka:	Hayasaka:	
m/MS001B.BIN	F0	27	1757	1FD3	Yo, Katsuragi. I have a feeling that the demons out there will be\nmuch stronger than the ones we have fought so far.\n<wait>	Yo, Katsuragi. I have a feeling that the demons out there will be\nmuch stronger than the ones we have fought so far.\n<wait>	
m/MS001B.BIN	F0	28	1882	1FD2	Hayasaka:	Hayasaka:	
m/MS001B.BIN	F0	29	1893	1FD3	Let's drop by the armoury and get some new weapons.\n<wait>	Let's drop by the armoury and get some new weapons.\n<wait>	
m/MS001B.BIN	F0	30	1956	1FD0	A scary, unknown world waits you out there.\nThe weapons you have likely won't take you far.\nMaybe it'd be for the best if you dropped by the armoury and stocked up.\n<wait>	A scary, unknown world waits you out there.\nThe weapons you have likely won't take you far.\nMaybe it'd be for the best if you dropped by the armoury and stocked up.\n<wait>	
m/MS001B.BIN	F0	31	2157	1FD2	Guard Robot:	Guard Robot:	
m/MS001B.BIN	F0	32	2171	1FD3	DANGER AHEAD! DANGER AHEAD! YOU CANNOT PROCEED!\n<wait>	DANGER AHEAD! DANGER AHEAD! YOU CANNOT PROCEED!\n<wait>	
m/MS001B.BIN	F0	33	2281	1FD0	...?\n<wait>	...?\n<wait>	suspect: may be misread operand data, verify before editing
m/MS001B.BIN	F0	34	2294	1FD2	Guard Robot:	Guard Robot:	
