# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS005E.BIN	F0	0	7	1FD0	There's no one here...\n	There's no one here...\n	
m/MS005E.BIN	F0	1	463	1FD2	Rui:	Rui:	
m/MS005E.BIN	F0	2	469	1FD3	Let's use the stairs in the main hall instead.\nThat will save us a lot of time.\n	Let's use the stairs in the main hall instead.\nThat will save us a lot of time.\n	
m/MS005E.BIN	F0	3	559	1FD2	Rui:	Rui:	
m/MS005E.BIN	F0	4	565	1FD3	Let's use the stairs in the main hall instead.\nThat will save us a lot of time.\n	Let's use the stairs in the main hall instead.\nThat will save us a lot of time.\n	
m/MS005E.BIN	F0	5	650	1FD0	We need to get to Bael's throne room, and fast.\nLet's take the stairs in the main hall.\n<wait>	We need to get to Bael's throne room, and fast.\nLet's take the stairs in the main hall.\n<wait>	
m/MS005E.BIN	F0	6	766	1FD2	Rui:	Rui:	
m/MS005E.BIN	F0	7	772	1FD3	There's no time for detours. Let's hurry!\n	There's no time for detours. Let's hurry!\n	
m/MS005E.BIN	F0	8	824	1FD2	Rui:	Rui:	
m/MS005E.BIN	F0	9	830	1FD3	There's no time for detours. Let's hurry!\n	There's no time for detours. Let's hurry!\n	
m/MS005E.BIN	F0	10	877	1FD0	There's no time for detours. Let's hurry!\n<wait>	There's no time for detours. Let's hurry!\n<wait>	
m/MS005E.BIN	F0	11	947	1FD2	Rui:	Rui:	
m/MS005E.BIN	F0	12	953	1FD3	Wrong way. You can only get downstairs from here.\n	Wrong way. You can only get downstairs from here.\n	
m/MS005E.BIN	F0	13	1013	1FD2	Rui:	Rui:	
m/MS005E.BIN	F0	14	1019	1FD3	Wrong way. You can only get downstairs from here.\n	Wrong way. You can only get downstairs from here.\n	
m/MS005E.BIN	F0	15	1074	1FD0	Wrong way. You can only get downstairs from here.\n<wait>	Wrong way. You can only get downstairs from here.\n<wait>	
m/MS005E.BIN	F0	16	1152	1FD2	Rui:	Rui:	
m/MS005E.BIN	F0	17	1158	1FD3	Wrong way. Hurry, there's no time to waste.\n	Wrong way. Hurry, there's no time to waste.\n	
m/MS005E.BIN	F0	18	1212	1FD2	Rui:	Rui:	
m/MS005E.BIN	F0	19	1218	1FD3	Wrong way. Hurry, there's no time to waste.\n	Wrong way. Hurry, there's no time to waste.\n	
m/MS005E.BIN	F0	20	1267	1FD0	Wrong way. Hurry, there's no time to waste.\n<wait>	Wrong way. Hurry, there's no time to waste.\n<wait>	
m/MS005E.BIN	F0	21	1783	1FD2	Voice:	Voice:	
m/MS005E.BIN	F0	22	1791	1FD3	I will not allow you to pass! Prepare yourselves!\n<wait>	I will not allow you to pass! Prepare yourselves!\n<wait>	
