# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS00AF.BIN	F0	0	894	1FB2	召喚		
m/MS00AF.BIN	F0	1	900	1FB2	キャンセル		
m/MS00AF.BIN	F0	2	6135	1FBA	>Your progress will be saved.\n Please select a file to save to.\n	>Your progress will be saved.\n Please select a file to save to.\n	
m/MS00AF.BIN	F0	3	6380	1FBA	>Do you wish to overwrite this save?\n	>Do you wish to overwrite this save?\n	
m/MS00AF.BIN	F0	4	6433	1FB2	Yes	Yes	
m/MS00AF.BIN	F0	5	6438	1FB2	No	No	
m/MS00AF.BIN	F0	6	6482	1FD0	>Saved the game successfully\n<wait>	>Saved the game successfully\n<wait>	
m/MS00AF.BIN	F0	7	6520	1FD0	>Error: Failed to save the game\n Not enough disk space available\n<wait>	>Error: Failed to save the game\n Not enough disk space available\n<wait>	
m/MS00AF.BIN	F0	8	6874	1FBA	>Please select a save to load\n	>Please select a save to load\n	
m/MS00AF.BIN	F0	9	7015	1FBA	>Do you wish to load this save?\n	>Do you wish to load this save?\n	
m/MS00AF.BIN	F0	10	7063	1FB2	Yes	Yes	
m/MS00AF.BIN	F0	11	7068	1FB2	No	No	
