# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS00B7.BIN	F0	0	567	1FD2	Bartender:	Bartender:	
m/MS00B7.BIN	F0	1	650	1FD2	Bartender:	Bartender:	
m/MS00B7.BIN	F0	2	662	1FD3	That is, in terms of demon customers.\nHumans, those we've been getting more than ever before.\n	That is, in terms of demon customers.\nHumans, those we've been getting more than ever before.\n	
m/MS00B7.BIN	F0	3	865	1FD2	Young Man:	Young Man:	
m/MS00B7.BIN	F0	4	877	1FD3	I love having sex with demon girls!\n<wait>	I love having sex with demon girls!\n<wait>	
m/MS00B7.BIN	F0	5	921	1FD2	Young Man:	Young Man:	
m/MS00B7.BIN	F0	6	933	1FD3	Who even cares about human women?\nThey're just useless flesh dolls!\n<wait>{0C}@	Who even cares about human women?\nThey're just useless flesh dolls!\n<wait>{0C}@	runtime inserts: reproduce every {XX} token, in order
m/MS00B7.BIN	F0	7	1015	1FD2	Cambion:	Cambion:	
m/MS00B7.BIN	F0	8	1025	1FD3	I seriously love this place!\nUnlike at the temple of Ginza, folks here have ambition.\n<wait>{0C}@	I seriously love this place!\nUnlike at the temple of Ginza, folks here have ambition.\n<wait>{0C}@	runtime inserts: reproduce every {XX} token, in order
m/MS00B7.BIN	F0	9	1125	1FD2	Cat-Demon Prostitute:	Cat-Demon Prostitute:	
m/MS00B7.BIN	F0	10	1148	1FD3	Oh my, look at you. Your face is that of a pretty boy,\nbut your muscles scream "warrior"!\n<wait>	Oh my, look at you. Your face is that of a pretty boy,\nbut your muscles scream "warrior"!\n<wait>	
m/MS00B7.BIN	F0	11	1246	1FD2	Cat-Demon Prostitute:	Cat-Demon Prostitute:	
m/MS00B7.BIN	F0	12	1269	1FD3	I'm sorry, but I have a customer lined up.\nFeel free to come ask me later though, okay?\n<wait>{0C}@	I'm sorry, but I have a customer lined up.\nFeel free to come ask me later though, okay?\n<wait>{0C}@	runtime inserts: reproduce every {XX} token, in order
m/MS00B7.BIN	F0	13	1371	1FD2	Dirty Old Man:	Dirty Old Man:	
m/MS00B7.BIN	F0	14	1387	1FD3	Catgirls are just the best there are!\n<wait>	Catgirls are just the best there are!\n<wait>	
m/MS00B7.BIN	F0	15	1433	1FD2	Dirty Old Man:	Dirty Old Man:	
m/MS00B7.BIN	F0	16	1449	1FD3	I could do without a smell, but other than that, perfect!\n<wait>{0C}@	I could do without a smell, but other than that, perfect!\n<wait>{0C}@	runtime inserts: reproduce every {XX} token, in order
m/MS00B7.BIN	F0	17	1521	1FD2	Cyber Man:	Cyber Man:	
m/MS00B7.BIN	F0	18	1533	1FD3	They don't just sell women here.\n<wait>	They don't just sell women here.\n<wait>	
m/MS00B7.BIN	F0	19	1574	1FD2	Cyber Man:	Cyber Man:	
m/MS00B7.BIN	F0	20	1586	1FD3	Whether you're interested in boys, little girls,\nor even replicants, they've got them all on offer.\n<wait>	Whether you're interested in boys, little girls,\nor even replicants, they've got them all on offer.\n<wait>	
m/MS00B7.BIN	F0	21	1694	1FD2	Cyber Man:	Cyber Man:	
m/MS00B7.BIN	F0	22	1706	1FD3	For being ran by demons, this place sure is nice! Hahaha!\n<wait>{0C}@	For being ran by demons, this place sure is nice! Hahaha!\n<wait>{0C}@	runtime inserts: reproduce every {XX} token, in order
m/MS00B7.BIN	F0	23	1778	1FD2	Old Man:	Old Man:	
m/MS00B7.BIN	F0	24	1788	1FD3	Ah... Nothing better than sharing the bed with a young boy...\n<wait>{0C}@	Ah... Nothing better than sharing the bed with a young boy...\n<wait>{0C}@	runtime inserts: reproduce every {XX} token, in order
m/MS00B7.BIN	F0	25	1864	1FD2	Smug Man:	Smug Man:	
m/MS00B7.BIN	F0	26	1875	1FD3	When I'm fucking a bitch, I want them to just lie there.\nDon't get in my way. I'm in charge!\n<wait>{0C}@	When I'm fucking a bitch, I want them to just lie there.\nDon't get in my way. I'm in charge!\n<wait>{0C}@	runtime inserts: reproduce every {XX} token, in order
m/MS00B7.BIN	F0	27	1982	1FD2	Bird-Demon Prostitute:	Bird-Demon Prostitute:	
m/MS00B7.BIN	F0	28	2006	1FD3	Hehehe. Don't my breasts look good?\n<wait>{0C}@	Hehehe. Don't my breasts look good?\n<wait>{0C}@	runtime inserts: reproduce every {XX} token, in order
