# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS00D1.BIN	F0	0	21	1FB2	フォント系		@skip
m/MS00D1.BIN	F0	1	33	1FB2	テーブル系		@skip
m/MS00D1.BIN	F0	2	45	1FB2	？？？		@skip
m/MS00D1.BIN	F0	3	53	1FB2	空間座標		@skip
m/MS00D1.BIN	F0	4	63	1FB2	終了		@skip
m/MS00D1.BIN	F0	5	123	1FB2	敵フォント		@skip
m/MS00D1.BIN	F0	6	135	1FB2	ＮＰＣフォント		@skip
m/MS00D1.BIN	F0	7	151	1FB2	背景フォント		@skip
m/MS00D1.BIN	F0	8	165	1FB2	全画面フォント		@skip
m/MS00D1.BIN	F0	9	181	1FB2	戻る		@skip
m/MS00D1.BIN	F0	10	227	1FBA	敵フォント表示\n		@skip
m/MS00D1.BIN	F0	11	283	1FB2	番号入力		@skip
m/MS00D1.BIN	F0	12	293	1FB2	次フォント		@skip
m/MS00D1.BIN	F0	13	305	1FB2	前フォント		@skip
m/MS00D1.BIN	F0	14	317	1FB2	次距離		@skip
m/MS00D1.BIN	F0	15	325	1FB2	次パレット		@skip
m/MS00D1.BIN	F0	16	337	1FB2	ウィンドウ消去		@skip
m/MS00D1.BIN	F0	17	353	1FB2	戻る		@skip
m/MS00D1.BIN	F0	18	574	1FFB	フォント番号：		@skip
m/MS00D1.BIN	F0	19	789	1FBA	ＮＰＣフォント表示\n		@skip
m/MS00D1.BIN	F0	20	849	1FB2	番号入力		@skip
m/MS00D1.BIN	F0	21	859	1FB2	次フォント		@skip
m/MS00D1.BIN	F0	22	871	1FB2	前フォント		@skip
m/MS00D1.BIN	F0	23	883	1FB2	次ＣＧＥＮ		@skip
m/MS00D1.BIN	F0	24	895	1FB2	次パレット		@skip
m/MS00D1.BIN	F0	25	907	1FB2	ウィンドウ消去		@skip
m/MS00D1.BIN	F0	26	923	1FB2	戻る		@skip
m/MS00D1.BIN	F0	27	1142	1FFB	フォント番号：		@skip
m/MS00D1.BIN	F0	28	1269	1FBA	背景フォント表示\n		@skip
m/MS00D1.BIN	F0	29	1327	1FB2	番号入力		@skip
m/MS00D1.BIN	F0	30	1337	1FB2	次フォント		@skip
m/MS00D1.BIN	F0	31	1349	1FB2	前フォント		@skip
m/MS00D1.BIN	F0	32	1361	1FB2	次ＣＧＥＮ		@skip
m/MS00D1.BIN	F0	33	1373	1FB2	次パレット		@skip
m/MS00D1.BIN	F0	34	1385	1FB2	ウィンドウ消去		@skip
m/MS00D1.BIN	F0	35	1401	1FB2	戻る		@skip
m/MS00D1.BIN	F0	36	1606	1FFB	フォント番号：		@skip
m/MS00D1.BIN	F0	37	1742	1FFB	終了する場合は絵を右クリックしてください\n		@skip
m/MS00D1.BIN	F0	38	2054	1FB2	魔法テーブル		@skip
m/MS00D1.BIN	F0	39	2070	1FB2	敵整合性		@skip
m/MS00D1.BIN	F0	40	2080	1FB2	金額入手		@skip
