# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS600C.BIN	R1:B0	0	5	DATA	お前　俺に抱かれてぇのかぁ　クククク！！\n<wait>		
m/MS600C.BIN	R3:B1	0	54	DATA	面白い野郎だ\n<wait>		
m/MS600C.BIN	R5:B2	0	75	DATA	あいにく　そのケはねぇぜ！\n<wait>		
m/MS600C.BIN	R7:B3	0	108	DATA	仕方ねえな　可愛がってやるよ\n<wait>		
m/MS600C.BIN	R9:B4	0	141	DATA	もっとやれ！\n<wait>		
m/MS600C.BIN	R11:B5	0	160	DATA	よかったぜ\n<wait>		
m/MS600C.BIN	R13:56	0	179	DATA	てめぇの顔なんぞ　見たくもねぇなぁ\n<wait>		
m/MS600C.BIN	R15:57	0	220	DATA	この野郎　ムカつくぜッ！！\n<wait>		
m/MS600C.BIN	R17:58	0	253	DATA	何か言いたい事でも　あんのかぁ？\n<wait>		
m/MS600C.BIN	R19:59	0	290	DATA	頭下げるってのは　もっと低いだろぉがぁ！\nもっと下げな！　ケケケケケッ！！\n<wait>		
m/MS600C.BIN	R21:5A	0	366	DATA	よーし　いい感じだ！\n<wait>		
m/MS600C.BIN	R23:5B	0	393	DATA	血の海に　沈んでみたいかぁ！\n<wait>		
m/MS600C.BIN	R25:5C	0	428	DATA	御託はいい　モノ出しな　モノをよお！\n<wait>		
m/MS600C.BIN	R27:5D	0	471	DATA	気に入ったぜ！\n<wait>		
m/MS600C.BIN	R29:5E	0	492	DATA	お前　面白{01})なぁ　ククク\n<wait>		runtime inserts: reproduce every {XX} token, in order
m/MS600C.BIN	R31:5F	0	525	DATA	調子づいてんじゃねぇぞ！\n<wait>		
m/MS600C.BIN	R33:60	0	556	DATA	て、てめぇ！\n<wait>		
m/MS600C.BIN	R35:61	0	577	DATA	ま　今日は　このぐらいにしとこうや\n<wait>		
m/MS600C.BIN	R37:62	0	618	DATA	俺らの事は　眼に入らんみたいだぜ！\n<wait>		
m/MS600C.BIN	R39:63	0	659	DATA	次は　覚悟しろよ！\n<wait>		
m/MS600C.BIN	R41:64	0	686	DATA	暗闇では　気をつける事だなぁ　ケケケケケ！！\n<wait>		
m/MS600C.BIN	R43:A6	0	737	DATA	小さくて　見えねぇかぁ？\n<wait>		
m/MS600C.BIN	R45:7A	0	770	DATA	許す気は毛頭ねぇな！\n<wait>		
m/MS600C.BIN	R47:A8	0	799	DATA	少しばかり　図体がでかいからってな\n<wait>		
m/MS600C.BIN	R49:A9	0	838	DATA	調子に　乗り過ぎてんじゃねぇか？\n<wait>		
m/MS600C.BIN	R51:AA	0	877	DATA	ケケケケッ！　ムカつく野郎だ！\n<wait>		
m/MS600C.BIN	R53:AB	0	916	DATA	何かよぉ　信用出来ねぇぜ　お前ってよ\n<wait>		
m/MS600C.BIN	R55:AC	0	959	DATA	ケッ　眼が笑ってるぜ\n<wait>		
m/MS600C.BIN	R57:AD	0	986	DATA	は　今更なんだってんだ！\n<wait>		
m/MS600C.BIN	R59:AE	0	1013	DATA	なぁ　本当に見えてねぇのかぁ？\n<wait>		
m/MS600C.BIN	R61:AF	0	1052	DATA	おい　野郎　おめぇだよ！\n<wait>		
m/MS600C.BIN	R63:35	0	1085	DATA	クククッ　今がチャンスってヤツかぁ！！\n<wait>		
m/MS600C.BIN	R65:34	0	1134	DATA	目障りだな！\n<wait>		
m/MS600C.BIN	R67:36	0	1184	DATA	見逃してくれよ\n<wait>		
m/MS600C.BIN	R69:37	0	1205	DATA	プレゼントするぜ\n<wait>		
m/MS600C.BIN	R71:38	0	1228	DATA	無理言うなよ\n<wait>		
m/MS600C.BIN	R73:39	0	1249	DATA	元気出せよな\n<wait>		
m/MS600C.BIN	R75:3A	0	1270	DATA	もしかすると		
m/MS600C.BIN	R77:3B	0	1280	DATA	そりゃ良かった\n<wait>		
m/MS600C.BIN	R79:33	0	1299	DATA	頼むぜ		
m/MS600C.BIN	R81:32	0	1309	DATA	命だけは　助けてくれよ\n<wait>		
m/MS600C.BIN	R83:21	0	1342	DATA	イッてるか？\n		
m/MS600C.BIN	R85:22	0	1357	DATA	踊ろうぜ！\n		
m/MS600C.BIN	R87:23	0	1372	DATA	イマイチ　イキ切ってねぇなぁ！\n		
m/MS600C.BIN	R89:24	0	1405	DATA	ヒュー　最高だぜ！\n		
m/MS600C.BIN	R91:25	0	1428	DATA	俺の勝ちって事だ\n		
m/MS600C.BIN	R93:26	0	1447	DATA	俺の負けだ\n		
m/MS600C.BIN	R95:27	0	1462	DATA	あん？　どっか悪いのか？\n		
m/MS600C.BIN	R97:28	0	1491	DATA	クソッ！\nせっかくの気分を台無しに　しやがって！\n		
m/MS600C.BIN	R99:1F	0	1541	DATA	ほっといてくれ\n<wait>		
m/MS600C.BIN	R101:00	0	1566	DATA	おめぇ　何モンだぁ？　キケケケ！\n<wait>		
m/MS600C.BIN	R103:01	0	1607	DATA	仲魔になって　欲しいかあ？\n<wait>		
m/MS600C.BIN	R105:02	0	1636	DATA	じゃあなぁ　		
m/MS600C.BIN	R107:03	0	1650	DATA	ケケッ！　俺から何を　分捕ろうってんだぃ？\n<wait>		
m/MS600C.BIN	R109:04	0	1695	DATA	ああそう\n<wait>		
m/MS600C.BIN	R111:05	0	1712	DATA	じゃあなぁ　クキェキェキェキェ！\n<wait>		
m/MS600C.BIN	R113:06	0	1751	DATA	何が欲しいんだい？\n<wait>		
m/MS600C.BIN	R115:08	0	1863	DATA	これでも　やるわ！　ケケケケッ！！\n<wait>		
m/MS600C.BIN	R117:09	0	1902	DATA	悪いがなぁ　		
m/MS600C.BIN	R119:0A	0	1918	DATA	今は　持ってないなぁ\n<wait>		
m/MS600C.BIN	R121:0B	0	1943	DATA	代わりに\n<wait>		
m/MS600C.BIN	R123:0C	0	1960	DATA	ケケッ　何か俺にくれるのか？\n<wait>		
