# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ { \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS6011.BIN	R1:B6	0	5	DATA	貴方なんか大嫌いだわ！\n<wait>	I despise you!	
m/MS6011.BIN	R3:B7	0	34	DATA	私が欲しいの？\n<wait>	You want me?	
m/MS6011.BIN	R5:B8	0	57	DATA	彼女と仲良くおやりなさい\n<wait>	Go make up with her.	
m/MS6011.BIN	R7:B5	0	88	DATA	よかった\n<wait>	Oh good.	
m/MS6011.BIN	R9:B9	0	101	DATA	可愛い子ね\n<wait>	How cute.	
m/MS6011.BIN	R11:BA	0	120	DATA	意気地が無いのね\n<wait>	No spine, huh?	
m/MS6011.BIN	F12	0	230	1FB2	ちょっと待って	Wait a moment	
m/MS6011.BIN	F12	1	242	1FB2	さよなら	Farewell	
m/MS6011.BIN	F12	2	287	1FB2	謝る	Sorry	
m/MS6011.BIN	F12	3	293	1FB2	別に	Meh	
m/MS6011.BIN	F12	4	373	1FB2	よろこんで	Gladly	
m/MS6011.BIN	F12	5	385	1FB2	しょうがない	No choice	
m/MS6011.BIN	F12	6	393	1FB2	誰がお前なんかに	As if, for you	
m/MS6011.BIN	F12	7	492	1FB2	なだめる	Soothe	
m/MS6011.BIN	F12	8	500	1FB2	ほっとく	Leave be	
m/MS6011.BIN	F12	9	760	1FB2	なだめる	Soothe	
m/MS6011.BIN	F12	10	768	1FB2	無視する	Ignore	
m/MS6011.BIN	F12	11	894	1FB2	そうです	Right.	
m/MS6011.BIN	F12	12	902	1FB2	それほどでもない	Not really	
m/MS6011.BIN	F12	13	1087	1FB2	なだめる	Soothe	
m/MS6011.BIN	F12	14	1095	1FB2	無視する	Ignore	
m/MS6011.BIN	R13:72	0	1230	DATA	調子に乗るんじゃないわよ　ボウヤ！\n<wait>	Don't get cocky with me, boy!	
m/MS6011.BIN	R15:A7	0	1269	DATA	この男　カンにさわるわね！\n<wait>	This guy grates on me!	
m/MS6011.BIN	R17:74	0	1340	DATA	あまり　頭が良さそうに見えないわね\n<wait>	You don't look too bright.	
m/MS6011.BIN	R19:76	0	1408	DATA	何なのボウヤ？　何か文句でもあると言うの？\n<wait>	What is it, boy? You got a complaint?	
m/MS6011.BIN	R21:77	0	1453	DATA	そうねぇ　許してあげようかしら？\n<wait>	Hmph... maybe I'll forgive you.	
m/MS6011.BIN	R23:78	0	1490	DATA	食べちゃいたいくらいよ！\n<wait>	I could just eat you up!	
m/MS6011.BIN	R25:79	0	1521	DATA	ボウヤ　そんなのじゃ駄目\nもっと　お姉さんに　やさしくして{02}	That won't do, boy.\nBe sweeter to big sis, {02}.	runtime inserts: reproduce every {XX} token, in order
