# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
p/P2000.BIN	F0	0	54	NAME	Souma Yukihito	Souma Yukihito	
p/P2001.BIN	F0	0	54	NAME	Souma Yukihito_	Souma Yukihito_	
p/P2002.BIN	F0	0	54	NAME	Utsumi Shouko	Utsumi Shouko	
p/P2003.BIN	F0	0	54	NAME	Utsumi Shouko_	Utsumi Shouko_	
p/P2004.BIN	F0	0	54	NAME	Asuka Rui	Asuka Rui	
p/P2005.BIN	F0	0	54	NAME	Nishino Yoshio	Nishino Yoshio	
p/P2006.BIN	F0	0	54	NAME	Hayasaka Tatsuya	Hayasaka Tatsuya	
p/P2007.BIN	F0	0	54	NAME	Sonoda Tetsuya	Sonoda Tetsuya	
p/P2008.BIN	F0	0	54	NAME	Kamikawa Kouki	Kamikawa Kouki	
p/P2009.BIN	F0	0	54	NAME	Souma Sanshirou	Souma Sanshirou	
p/P200A.BIN	F0	0	54	NAME	Yamase Isamu	Yamase Isamu	
p/P200B.BIN	F0	0	54	NAME	Kirishima Emi	Kirishima Emi	
p/P200C.BIN	F0	0	54	NAME	Barbara	Barbara	
p/P200D.BIN	F0	0	54	NAME	Newton	Newton	
p/P200E.BIN	F0	0	54	NAME	Yamada Kazumi	Yamada Kazumi	
p/P200F.BIN	F0	0	54	NAME	Jukai	Jukai	
p/P2010.BIN	F0	0	54	NAME	Nosferatu	Nosferatu	
p/P2011.BIN	F0	0	54	NAME	Eye Ball	Eye Ball	
p/P2012.BIN	F0	0	54	NAME	Bit Ball	Bit Ball	
p/P2013.BIN	F0	0	54	NAME	High Ball	High Ball	
p/P2014.BIN	F0	0	54	NAME	T93-α	T93-α	
p/P2015.BIN	F0	0	54	NAME	T93-β	T93-β	
p/P2016.BIN	F0	0	54	NAME	Innsmouth	Innsmouth	
p/P2017.BIN	F0	0	54	NAME	Weredog	Weredog	
p/P2018.BIN	F0	0	54	NAME	Werecat	Werecat	
p/P2019.BIN	F0	0	54	NAME	Werewolf	Werewolf	
p/P201A.BIN	F0	0	54	NAME	Vampire	Vampire	
p/P201B.BIN	F0	0	54	NAME	Doppelganger	Doppelganger	
p/P201C.BIN	F0	0	54	NAME	Slime	Slime	
p/P201D.BIN	F0	0	54	NAME	Plasma Ball	Plasma Ball	
p/P201E.BIN	F0	0	54	NAME	Crap Slime	Crap Slime	
p/P201F.BIN	F0	0	54	NAME	Splatter	Splatter	
p/P2020.BIN	F0	0	54	NAME	Dainichi Nyorai	Dainichi Nyorai	
p/P2021.BIN	F0	0	54	NAME	Baal Hadad	Baal Hadad	
p/P2022.BIN	F0	0	54	NAME	Marduk	Marduk	
p/P2023.BIN	F0	0	54	NAME	Lugh	Lugh	
p/P2024.BIN	F0	0	54	NAME	Amon	Amon	
p/P2025.BIN	F0	0	54	NAME	Kama	Kama	
p/P2026.BIN	F0	0	54	NAME	Ishtar	Ishtar	
p/P2027.BIN	F0	0	54	NAME	Amaterasu	Amaterasu	
p/P2028.BIN	F0	0	54	NAME	Lakshmi	Lakshmi	
p/P2029.BIN	F0	0	54	NAME	Urd	Urd	
p/P202A.BIN	F0	0	54	NAME	Ninhursag	Ninhursag	
p/P202B.BIN	F0	0	54	NAME	Nike	Nike	
p/P202C.BIN	F0	0	54	NAME	Freya	Freya	
p/P202D.BIN	F0	0	54	NAME	Ame-no-Uzume	Ame-no-Uzume	
p/P202E.BIN	F0	0	54	NAME	Brigid	Brigid	
p/P202F.BIN	F0	0	54	NAME	Suseri-Hime	Suseri-Hime	
p/P2030.BIN	F0	0	54	NAME	Kalki	Kalki	
p/P2031.BIN	F0	0	54	NAME	Susano-o	Susano-o	
p/P2032.BIN	F0	0	54	NAME	Ares	Ares	
p/P2033.BIN	F0	0	54	NAME	Ookuninushi	Ookuninushi	
p/P2034.BIN	F0	0	54	NAME	Yamato-Takeru	Yamato-Takeru	
p/P2035.BIN	F0	0	54	NAME	Take-Mikazuchi	Take-Mikazuchi	
p/P2036.BIN	F0	0	54	NAME	Priyankara	Priyankara	
p/P2037.BIN	F0	0	54	NAME	Take-Minakata	Take-Minakata	
p/P2038.BIN	F0	0	54	NAME	Hatsueo-no-Mikot	Hatsueo-no-Mikot	
p/P2039.BIN	F0	0	54	NAME	Tajikarao	Tajikarao	
p/P203A.BIN	F0	0	54	NAME	Remiel	Remiel	
p/P203B.BIN	F0	0	54	NAME	Phanuel	Phanuel	
p/P203C.BIN	F0	0	54	NAME	Raphaela	Raphaela	
p/P203D.BIN	F0	0	54	NAME	Abdiel	Abdiel	
p/P203E.BIN	F0	0	54	NAME	Kikuri-Hime	Kikuri-Hime	
p/P203F.BIN	F0	0	54	NAME	Hariti	Hariti	
p/P2040.BIN	F0	0	54	NAME	Asherah	Asherah	
p/P2041.BIN	F0	0	54	NAME	Vesta	Vesta	
p/P2042.BIN	F0	0	54	NAME	Heket	Heket	
p/P2043.BIN	F0	0	54	NAME	Qing-Long	Qing-Long	
p/P2044.BIN	F0	0	54	NAME	Kingu	Kingu	
p/P2045.BIN	F0	0	54	NAME	Toyotama-Hime	Toyotama-Hime	
p/P2046.BIN	F0	0	54	NAME	Pek-Young	Pek-Young	
p/P2047.BIN	F0	0	54	NAME	Kayano-Hime	Kayano-Hime	
p/P2048.BIN	F0	0	54	NAME	Namuci	Namuci	
p/P2049.BIN	F0	0	54	NAME	Garuda	Garuda	
p/P204A.BIN	F0	0	54	NAME	Yatagarasu	Yatagarasu	
p/P204B.BIN	F0	0	54	NAME	Phoenix	Phoenix	
p/P204C.BIN	F0	0	54	NAME	Jatayu	Jatayu	
p/P204D.BIN	F0	0	54	NAME	Hou-Ou	Hou-Ou	
p/P204E.BIN	F0	0	54	NAME	Suparna	Suparna	
p/P204F.BIN	F0	0	54	NAME	Kinshichou	Kinshichou	
p/P2050.BIN	F0	0	54	NAME	Barong	Barong	
p/P2051.BIN	F0	0	54	NAME	Narasimha	Narasimha	
p/P2052.BIN	F0	0	54	NAME	Hakuei	Hakuei	
p/P2053.BIN	F0	0	54	NAME	Shiisaa	Shiisaa	
p/P2054.BIN	F0	0	54	NAME	Shirohebi	Shirohebi	
p/P2055.BIN	F0	0	54	NAME	Apis	Apis	
p/P2056.BIN	F0	0	54	NAME	Shirogitsune	Shirogitsune	
p/P2057.BIN	F0	0	54	NAME	Salamander	Salamander	
p/P2058.BIN	F0	0	54	NAME	Undine	Undine	
p/P2059.BIN	F0	0	54	NAME	Gnome	Gnome	
p/P205A.BIN	F0	0	54	NAME	Sylph	Sylph	
p/P205B.BIN	F0	0	54	NAME	Holy Elemental	Holy Elemental	
p/P205C.BIN	F0	0	54	NAME	Flame Elemental	Flame Elemental	
p/P205D.BIN	F0	0	54	NAME	Aqua Elemental	Aqua Elemental	
p/P205E.BIN	F0	0	54	NAME	Terra Elemental	Terra Elemental	
p/P205F.BIN	F0	0	54	NAME	Aero Elemental	Aero Elemental	
p/P2060.BIN	F0	0	54	NAME	Virtue	Virtue	
p/P2061.BIN	F0	0	54	NAME	Power	Power	
p/P2062.BIN	F0	0	54	NAME	Principality	Principality	
p/P2063.BIN	F0	0	54	NAME	Archangel	Archangel	
p/P2064.BIN	F0	0	54	NAME	Daniel	Daniel	
p/P2065.BIN	F0	0	54	NAME	Cassiel	Cassiel	
p/P2066.BIN	F0	0	54	NAME	Shamsiel	Shamsiel	
p/P2067.BIN	F0	0	54	NAME	Angel	Angel	
p/P2068.BIN	F0	0	54	NAME	Holy Ghost	Holy Ghost	
p/P2069.BIN	F0	0	54	NAME	Watcher	Watcher	
p/P206A.BIN	F0	0	54	NAME	Morax	Morax	
p/P206B.BIN	F0	0	54	NAME	Purson	Purson	
p/P206C.BIN	F0	0	54	NAME	Haagenti	Haagenti	
p/P206D.BIN	F0	0	54	NAME	Vepar	Vepar	
p/P206E.BIN	F0	0	54	NAME	Flauros	Flauros	
p/P206F.BIN	F0	0	54	NAME	Vine	Vine	
p/P2070.BIN	F0	0	54	NAME	Forneus	Forneus	
p/P2071.BIN	F0	0	54	NAME	Decarabia	Decarabia	
p/P2072.BIN	F0	0	54	NAME	Procel	Procel	
p/P2073.BIN	F0	0	54	NAME	Eligor	Eligor	
p/P2074.BIN	F0	0	54	NAME	Orias	Orias	
p/P2075.BIN	F0	0	54	NAME	Vapula	Vapula	
p/P2076.BIN	F0	0	54	NAME	Abaddon	Abaddon	
p/P2077.BIN	F0	0	54	NAME	Marchosias	Marchosias	
p/P2078.BIN	F0	0	54	NAME	Leraje	Leraje	
p/P2079.BIN	F0	0	54	NAME	Orobas	Orobas	
p/P207A.BIN	F0	0	54	NAME	Zepar	Zepar	
p/P207B.BIN	F0	0	54	NAME	Buer	Buer	
p/P207C.BIN	F0	0	54	NAME	Zagan	Zagan	
p/P207D.BIN	F0	0	54	NAME	Amdusias	Amdusias	
p/P207E.BIN	F0	0	54	NAME	Valac	Valac	
p/P207F.BIN	F0	0	54	NAME	Stolas	Stolas	
p/P2080.BIN	F0	0	54	NAME	Valefor	Valefor	
p/P2081.BIN	F0	0	54	NAME	Caim	Caim	
p/P2082.BIN	F0	0	54	NAME	Pendragon	Pendragon	
p/P2083.BIN	F0	0	54	NAME	Naga Kanya	Naga Kanya	
p/P2084.BIN	F0	0	54	NAME	Naga Raja	Naga Raja	
