# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID0099.BIN	0:97	0	0	DATA	＞{02:06}\n		reads: ＞どうしますか？\n
et/ID0099.BIN	0:97	1	21	1FB2	宝石	Gemstone	menu option, declared width 20 columns
et/ID0099.BIN	0:97	2	27	1FB2	魔石	Magic Stone	menu option, declared width 20 columns
et/ID0099.BIN	0:97	3	33	1FB2	ＭＡＧ	MAG	menu option, declared width 20 columns
et/ID0099.BIN	0:97	4	41	1FB2	金	Money	menu option, declared width 20 columns
et/ID0099.BIN	0:97	5	45	1FB2	他の物	Other	menu option, declared width 20 columns
et/ID0099.BIN	0:97	6	66	00	燎{02:00}燠{03:00}燵{04:01}{01:00}		reads: 燎デビルバスター燠飛び道具燵切り早坂達也
et/ID0099.BIN	0:97	7	97	1FB2	肉をあげる	Give meat	menu option, declared width 20 columns
et/ID0099.BIN	0:97	8	109	1FB2	骨をあげる	Give bone	menu option, declared width 20 columns
et/ID0099.BIN	0:97	9	121	1FB2	や{08:2E}	Cancel	reads: やめる; menu option, declared width 20 columns
et/ID0099.BIN	0:97	10	127	1FB2	他の物	Other	menu option, declared width 20 columns
et/ID0099.BIN	0:97	11	147	0F	{01:11}{01:02}	{01:11}{01:02}	reads: あなたが桐島英美
et/ID0099.BIN	0:97	12	152	00	燼{03:01}g		reads: 燼そんなことg
et/ID0099.BIN	0:97	13	232	1FB2	{08:26}	Yes	reads: はい; menu option, declared width 20 columns
et/ID0099.BIN	0:97	14	236	1FB2	{08:27}	No	reads: いいえ; menu option, declared width 20 columns
et/ID0099.BIN	0:97	15	240	1FB2	{08:5C}無い	No More	reads: もう無い; menu option, declared width 20 columns
et/ID0099.BIN	0:97	16	260	0F	{01:3C}	{01:3C}	reads: ひとつ
et/ID0099.BIN	0:97	17	263	00	{02:01}[	{02:01}[	reads: ペンタグランマ[
et/ID0099.BIN	0:97	18	267	00			
et/ID0099.BIN	0:97	19	284	00	{08:5C}肉が無い！\n		reads: もう肉が無い！\n
et/ID0099.BIN	0:97	20	378	18	肉を持{08:52}{08:24}！\n		reads: 肉を持っていない！\n
et/ID0099.BIN	0:97	21	449	1FB2	そこを何とか	Just This Once	menu option, declared width 20 columns
et/ID0099.BIN	0:97	22	463	1FB2	骨を投げる	Throw a Bone	menu option, declared width 20 columns
et/ID0099.BIN	0:97	23	487	0F	{01:2B}	{01:2B}	reads: ゾンビ
et/ID0099.BIN	0:97	24	490	00			
et/ID0099.BIN	0:97	25	549	00	{04:EF}は骨を追いかけ{08:21}\n		reads: は骨を追いかけていった\n
et/ID0099.BIN	0:97	26	579	12	{02:09}・・\n		reads: ・・・・・\n
et/ID0099.BIN	0:97	27	590	00	{04:EF}は骨をくわえて戻{08:52}{08:1E}\n		reads: は骨をくわえて戻ってきた\n
et/ID0099.BIN	0:97	28	640	1FB2	{08:26}	Yes	reads: はい; menu option, declared width 20 columns
et/ID0099.BIN	0:97	29	644	1FB2	{08:27}	No	reads: いいえ; menu option, declared width 20 columns
et/ID0099.BIN	0:97	30	648	1FB2	{08:90}し{08:69}かな…	What now...?	reads: どうしようかな…; menu option, declared width 20 columns
et/ID0099.BIN	0:97	31	674	0F	{01:19}	{01:19}	reads: われわれ
et/ID0099.BIN	0:97	32	677	00	{02:01}{=8A}{=00}	{02:01}{=8A}{=00}	reads: ペンタグランマ{=8A}{=00}
et/ID0099.BIN	0:97	33	728	1FB2	仕方{08:25}な	I guess so	reads: 仕方ないな; menu option, declared width 20 columns
et/ID0099.BIN	0:97	34	738	1FB2	{08:90}し{08:69}かな…	What now...?	reads: どうしようかな…; menu option, declared width 20 columns
et/ID0099.BIN	0:97	35	764	0F	{01:07}	{01:07}	reads: ダンタリオン
et/ID0099.BIN	0:97	36	767	00			
et/ID0099.BIN	0:97	37	859	18	骨を持{08:52}{08:24}！\n		reads: 骨を持っていない！\n
et/ID0099.BIN	2:02	0	19	1FB2	意地{08:56}通る	Push Through	reads: 意地でも通る; menu option, declared width 20 columns
et/ID0099.BIN	2:02	1	31	1FB2	お願い{08:8E}	Beg	reads: お願いする; menu option, declared width 20 columns
et/ID0099.BIN	2:02	2	41	1FB2	骨を投げる	Throw a Bone	menu option, declared width 20 columns
et/ID0099.BIN	2:02	3	65	0F	{01:81}	{01:81}	reads: 
et/ID0099.BIN	2:02	4	68	00	{02:01}	{02:01}	reads: ペンタグランマ
et/ID0099.BIN	2:02	5	72	00			
et/ID0099.BIN	2:02	6	127	00	{04:EF}は\n		reads: は\n
et/ID0099.BIN	2:02	7	136	00	{04:FF}の迫力に気圧{03:0C}た！\n		reads: の迫力に気圧された！\n
et/ID0099.BIN	2:02	8	159	1FBA	{02:09}・・\n		reads: ・・・・・\n
et/ID0099.BIN	2:02	9	240	1FB2	他の物{08:7D}あげる	Give Something	reads: 他の物ならあげる; menu option, declared width 20 columns
et/ID0099.BIN	2:02	10	256	1FB2	土下座{08:4A}頼む	Grovel	reads: 土下座して頼む; menu option, declared width 20 columns
et/ID0099.BIN	2:02	11	282	0F	{01:08}	{01:08}	reads: バエル
et/ID0099.BIN	2:02	12	285	00			
et/ID0099.BIN	2:02	13	304	16	{02:09}・・		reads: ・・・・・
et/ID0099.BIN	2:02	14	334	13	骨を持{08:52}{08:24}！\n		reads: 骨を持っていない！\n
et/ID0099.BIN	2:02	15	385	00	{04:EF}は\n骨を追いかけ{08:21}\n		reads: は\n骨を追いかけていった\n
et/ID0099.BIN	2:02	16	416	00	{04:EF}は\n骨をくわえて戻{08:52}{08:1E}\n		reads: は\n骨をくわえて戻ってきた\n
et/ID0099.BIN	2:02	17	467	1FB2	{08:26}	Yes	reads: はい; menu option, declared width 20 columns
et/ID0099.BIN	2:02	18	471	1FB2	{08:27}	No	reads: いいえ; menu option, declared width 20 columns
et/ID0099.BIN	2:02	19	475	1FB2	{08:90}し{08:69}かな…	What now...?	reads: どうしようかな…; menu option, declared width 20 columns
et/ID0099.BIN	2:02	20	501	0F	{01:21}	{01:21}	reads: パパ
et/ID0099.BIN	2:02	21	504	00	{02:01}{=86}{=00}	{02:01}{=86}{=00}	reads: ペンタグランマ{=86}{=00}
et/ID0099.BIN	2:02	22	563	1FB2	仕方{08:25}な	I guess so	reads: 仕方ないな; menu option, declared width 20 columns
et/ID0099.BIN	2:02	23	573	1FB2	{08:90}し{08:69}かな…	What now...?	reads: どうしようかな…; menu option, declared width 20 columns
et/ID0099.BIN	2:02	24	599	0F	{01:0C}	{01:0C}	reads: わたしの
et/ID0099.BIN	2:02	25	602	00			
et/ID0099.BIN	3:1E	0	0	DATA	ウマイゾ！\n<wait>		
et/ID0099.BIN	15:BA	0	0	DATA	何ノツモリダ？\n<wait>		
et/ID0099.BIN	15:AC	0	0	DATA	カ　身体ガ勝手ニ！\n<wait>		
et/ID0099.BIN	15:BB	0	0	DATA	シマッタ　ツイ{02:09}！\n<wait>		reads: シマッタ　ツイ・・・！\n<wait>
et/ID0099.BIN	15:BC	0	0	DATA	コノ事ハ　他ノ者ニハ黙ッテイテモラエナイカ？\n<wait>		
et/ID0099.BIN	15:BD	0	0	DATA	コノ地獄ノ番犬　		
et/ID0099.BIN	15:BD	1	20	00	{04:EF}ノ名ニカケテ\nココハ通サン！！\n<wait>		reads: ノ名ニカケテ\nココハ通サン！！\n<wait>
