# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID00C2.BIN	0:97	0	0	DATA	＞{02:06}\n		reads: ＞どうしますか？\n
et/ID00C2.BIN	0:97	1	21	1FB2	宝石	Gemstone	menu option, declared width 20 columns
et/ID00C2.BIN	0:97	2	27	1FB2	魔石	Magic Stone	menu option, declared width 20 columns
et/ID00C2.BIN	0:97	3	33	1FB2	ＭＡＧ	MAG	menu option, declared width 20 columns
et/ID00C2.BIN	0:97	4	41	1FB2	金	Money	menu option, declared width 20 columns
et/ID00C2.BIN	0:97	5	45	1FB2	他の物	Other	menu option, declared width 20 columns
et/ID00C2.BIN	0:97	6	66	00	燎{02:00}燠{03:00}燵{04:01}{01:00}		reads: 燎デビルバスター燠飛び道具燵切り早坂達也
et/ID00C2.BIN	0:97	7	97	1FB2	アイスクリーム	Ice Cream	menu option, declared width 20 columns
et/ID00C2.BIN	0:97	8	113	1FB2	フロスト子を作る	Make Frosty	menu option, declared width 20 columns
et/ID00C2.BIN	0:97	9	131	1FB2	や{08:2E}	Cancel	reads: やめる; menu option, declared width 20 columns
et/ID00C2.BIN	0:97	10	137	1FB2	他の物	Other	menu option, declared width 20 columns
et/ID00C2.BIN	0:97	11	157	0F	{01:76}{02:02}	{01:76}{02:02}	reads: キャンプ
et/ID00C2.BIN	0:97	12	162	00	燼{03:01}]		reads: 燼そんなこと]
et/ID00C2.BIN	0:97	13	176	13	アイスクリームを持{08:52}{08:24}！\n<wait>		reads: アイスクリームを持っていない！\n<wait>
et/ID00C2.BIN	0:97	14	242	00	{04:FF}は\nハーゲンガッツのお徳用パックを持{08:52}{08:64}！\n<wait>		reads: は\nハーゲンガッツのお徳用パックを持っていた！\n<wait>
et/ID00C2.BIN	0:97	15	308	00	{04:EF}は夢中で食べ{08:14}\n<wait>		reads: は夢中で食べている\n<wait>
et/ID00C2.BIN	0:97	16	331	1FBA	スキだらけだ！\n＞{08:0C}し{08:15}\n	It's wide open!\n>Attack it?\n	reads: スキだらけだ！\n＞攻撃しますか？\n
et/ID00C2.BIN	0:97	17	405	00	{04:EF}は\n満足{08:4A}眠{08:52}{08:1F}\n		reads: は\n満足して眠ってしまった\n
et/ID00C2.BIN	0:97	18	436	00	{04:FF}は\nバリバリ君を持{08:52}{08:64}！\n<wait>		reads: は\nバリバリ君を持っていた！\n<wait>
et/ID00C2.BIN	0:97	19	486	00	{04:EF}は\n夢中で食べ{08:14}\n<wait>		reads: は\n夢中で食べている\n<wait>
et/ID00C2.BIN	0:97	20	510	1FBA	スキだらけだ！\n＞{08:0C}し{08:15}\n	It's wide open!\n>Attack it?\n	reads: スキだらけだ！\n＞攻撃しますか？\n
et/ID00C2.BIN	0:97	21	642	1FB2	駄目っ{08:50}駄目！	No means no!	reads: 駄目ったら駄目！; menu option, declared width 20 columns
et/ID00C2.BIN	0:97	22	658	1FB2	仕方{08:25}な	I guess so	reads: 仕方ないな; menu option, declared width 20 columns
et/ID00C2.BIN	0:97	23	668	1FB2	{08:5C}持{08:52}{08:25}	Don't Have Any	reads: もう持ってない; menu option, declared width 20 columns
et/ID00C2.BIN	0:97	24	690	0F	{01:16}	{01:16}	reads: あたし
et/ID00C2.BIN	0:97	25	693	00	{02:01}C	{02:01}C	reads: ペンタグランマC
et/ID00C2.BIN	0:97	26	697	00			
et/ID00C2.BIN	0:97	27	723	0E	アイスクリームを持{08:52}{08:24}！\n<wait>		reads: アイスクリームを持っていない！\n<wait>
et/ID00C2.BIN	0:97	28	796	00	{04:FF}は\n雪だるまを作り始めた		reads: は\n雪だるまを作り始めた
et/ID00C2.BIN	0:97	29	827	1FFA	{02:09}・・\n<wait>		reads: ・・・・・\n<wait>
et/ID00C2.BIN	0:97	30	845	15	{02:09}・・		reads: ・・・・・
et/ID00C2.BIN	0:97	31	853	1FFB	疲{08:60}	Tired	reads: 疲れた
et/ID00C2.BIN	0:97	32	859	1FFA	{02:09}・・\n		reads: ・・・・・\n
et/ID00C2.BIN	0:97	33	896	14	{02:09}	{02:09}	reads: ・・・
et/ID00C2.BIN	0:97	34	900	1FFB	出来た！\n<wait>	Done!\n<wait>	
et/ID00C2.BIN	0:97	35	922	1FFA	{02:09}	{02:09}	reads: ・・・
et/ID00C2.BIN	0:97	36	955	1FFA	{02:09}	{02:09}	reads: ・・・
et/ID00C2.BIN	0:97	37	978	1FB2	フロスト子ちゃん	Frosty-chan	menu option, declared width 20 columns
et/ID00C2.BIN	0:97	38	996	1FB2	何{08:56}{08:25}{08:55}	It's Nothing	reads: 何でもないです; menu option, declared width 20 columns
et/ID00C2.BIN	0:97	39	1018	0F	{01:1E}	{01:1E}	reads: はやく
et/ID00C2.BIN	0:97	40	1021	00			
et/ID00C2.BIN	0:97	41	1024	1FBA	{02:09}・・		reads: ・・・・・
et/ID00C2.BIN	0:97	42	1074	14	{02:09}・・\n		reads: ・・・・・\n
et/ID00C2.BIN	0:97	43	1102	1FB2	ひたすら作る	Just Build	menu option, declared width 20 columns
et/ID00C2.BIN	0:97	44	1116	1FB2	返事を{08:8E}	Reply	reads: 返事をする; menu option, declared width 20 columns
et/ID00C2.BIN	0:97	45	1138	0F	{01:1E}	{01:1E}	reads: はやく
et/ID00C2.BIN	0:97	46	1141	00			
et/ID00C2.BIN	0:97	47	1158	1FBA	{02:09}・・\n		reads: ・・・・・\n
et/ID00C2.BIN	0:97	48	1192	1FB2	謝る	Oops	menu option, declared width 20 columns
et/ID00C2.BIN	0:97	49	1198	1FB2	一緒に作ろう	Let's Build	menu option, declared width 20 columns
et/ID00C2.BIN	0:97	50	1212	1FB2	ひたすら作る	Just Build	menu option, declared width 20 columns
et/ID00C2.BIN	0:97	51	1238	0F	{01:21}	{01:21}	reads: パパ
et/ID00C2.BIN	0:97	52	1241	00	{02:01}ｧ		reads: ペンタグランマｧ
et/ID00C2.BIN	0:97	53	1286	1FBA	二人で雪だるまを作っ{08:14}	Making a snowman together	reads: 二人で雪だるまを作っている
et/ID00C2.BIN	0:97	54	1310	1FFA	{02:09}\n	{02:09}\n	reads: ・・・\n
et/ID00C2.BIN	0:97	55	1319	0E	{02:09}・・		reads: ・・・・・
et/ID00C2.BIN	0:97	56	1327	1FFB	出来た！\n	Done!\n	
et/ID00C2.BIN	0:97	57	1340	00	{02:09}	{02:09}	reads: ・・・
et/ID00C2.BIN	0:97	58	1350	18	{02:09}・・		reads: ・・・・・
et/ID00C2.BIN	0:97	59	1358	1FFB	あっ！崩{08:4A}{08:1F}！\n<wait>	Oh! It collapsed!\n<wait>	reads: あっ！崩してしまった！\n<wait>
et/ID00C2.BIN	0:97	60	1379	1FBA	{02:09}	{02:09}	reads: ・・・
