# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID00EC.BIN	0:97	0	0	DATA	＞{02:06}\n	>{02:06}\n	reads: ＞どうしますか？\n
et/ID00EC.BIN	0:97	1	21	1FB2	宝石	Gemstone	menu option, declared width 20 columns
et/ID00EC.BIN	0:97	2	27	1FB2	魔石	Magic Stone	menu option, declared width 20 columns
et/ID00EC.BIN	0:97	3	33	1FB2	ＭＡＧ	MAG	menu option, declared width 20 columns
et/ID00EC.BIN	0:97	4	41	1FB2	金	Money	menu option, declared width 20 columns
et/ID00EC.BIN	0:97	5	45	1FB2	他の物	Other	menu option, declared width 20 columns
et/ID00EC.BIN	0:97	6	66	00	燎{02:00}燠{03:00}燵{04:01}{01:00}	燎Devil Buster燠Ranged Weapon燵{04:01}{01:00}	reads: 燎デビルバスター燠飛び道具燵切り早坂達也
et/ID00EC.BIN	0:97	7	97	1FB2	ミルク	Milk	menu option, declared width 20 columns
et/ID00EC.BIN	0:97	8	105	1FB2	靴	Shoe	menu option, declared width 20 columns
et/ID00EC.BIN	0:97	9	109	1FB2	や{08:2E}	Cancel	reads: やめる; menu option, declared width 20 columns
et/ID00EC.BIN	0:97	10	115	1FB2	他の物	Other	menu option, declared width 20 columns
et/ID00EC.BIN	0:97	11	135	0F	{01:FB}	{01:FB}	reads: 
et/ID00EC.BIN	0:97	12	138	00	{02:00}燼{03:01}s	Devil Buster燼such a things	reads: デビルバスター燼そんなことs
et/ID00EC.BIN	0:97	13	154	14	運良くミルクを持{08:52}{08:64}！\n	Luckily, you had some milk!\n	reads: 運良くミルクを持っていた！\n
et/ID00EC.BIN	0:97	14	249	0E	運良くミルクを持{08:52}{08:64}！\n	Luckily, you had some milk!\n	reads: 運良くミルクを持っていた！\n
et/ID00EC.BIN	0:97	15	310	1FFA	{02:09}	{02:09}	reads: ・・・
et/ID00EC.BIN	0:97	16	328	18	{08:61}ミルクを持{08:52}い{08:19}\n	But you had no milk.\n	reads: しかしミルクを持っていなかった\n
et/ID00EC.BIN	0:97	17	397	1FFA	{02:09}・・\n	{02:09}..\n	reads: ・・・・・\n
