# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID014E.BIN	0:97	0	0	DATA	＞{02:06}\n	>{02:06}\n	reads: ＞どうしますか？\n
et/ID014E.BIN	0:97	1	21	1FB2	宝石	Gemstone	menu option, declared width 20 columns
et/ID014E.BIN	0:97	2	27	1FB2	魔石	Magic Stone	menu option, declared width 20 columns
et/ID014E.BIN	0:97	3	33	1FB2	ＭＡＧ	MAG	menu option, declared width 20 columns
et/ID014E.BIN	0:97	4	41	1FB2	金	Money	menu option, declared width 20 columns
et/ID014E.BIN	0:97	5	45	1FB2	他の物	Other	menu option, declared width 20 columns
et/ID014E.BIN	0:97	6	66	00	燎{02:00}燠{03:00}燵{04:01}{01:00}	燎Devil Buster燠Ranged Weapon燵{04:01}{01:00}	reads: 燎デビルバスター燠飛び道具燵切り早坂達也
et/ID014E.BIN	0:97	7	97	1FB2	肉をあげる	Give meat	menu option, declared width 20 columns
et/ID014E.BIN	0:97	8	109	1FB2	骨をあげる	Give bone	menu option, declared width 20 columns
et/ID014E.BIN	0:97	9	121	1FB2	や{08:2E}	Cancel	reads: やめる; menu option, declared width 20 columns
et/ID014E.BIN	0:97	10	127	1FB2	他の物	Other	menu option, declared width 20 columns
et/ID014E.BIN	0:97	11	147	0F	{01:11}{01:02}	{01:11}{01:02}	reads: あなたが桐島英美
et/ID014E.BIN	0:97	12	152	00	燼{03:01}g	燼such a thingg	reads: 燼そんなことg
et/ID014E.BIN	0:97	13	232	1FB2	{08:26}	Yes	reads: はい; menu option, declared width 20 columns
et/ID014E.BIN	0:97	14	236	1FB2	{08:27}	No	reads: いいえ; menu option, declared width 20 columns
et/ID014E.BIN	0:97	15	240	1FB2	{08:5C}無い	No More	reads: もう無い; menu option, declared width 20 columns
