# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS000D.BIN	0:00	0	21	1FD2	Sonoda:	Sonoda:	
m/MS000D.BIN	0:00	1	30	1FD3	Phew... That was a close one...\nNow then, we must hurry. There's no time.\n<wait>	Phew... That was a close one...\nNow then, we must hurry. There's no time.\n<wait>	
m/MS000D.BIN	0:00	2	118	1FD2	Hayasaka:	Hayasaka:	
m/MS000D.BIN	0:00	3	129	1FD3	That was a close one...\n<wait>There's no time for this. We must hurry!\n<wait>	That was a close one...\n<wait>There's no time for this. We must hurry!\n<wait>	
m/MS000D.BIN	0:00	4	212	1FD2	Kamikawa:	Kamikawa:	
m/MS000D.BIN	0:00	5	223	1FD3	Phew... That was a close one...\nNow then, we must hurry. There's no time.\n<wait>	Phew... That was a close one...\nNow then, we must hurry. There's no time.\n<wait>	
m/MS000D.BIN	0:00	6	311	1FD2	Emi:	Emi:	
m/MS000D.BIN	0:00	7	317	1FD3	That was a close one...\nNow, we've gotta hurry or we won't make it in time!\n<wait>	That was a close one...\nNow, we've gotta hurry or we won't make it in time!\n<wait>	
m/MS000D.BIN	0:00	8	405	1FD2	Sonoda:	Sonoda:	
m/MS000D.BIN	0:00	9	414	1FD3	Phew... That was a close one.\n<wait>	Phew... That was a close one.\n<wait>	
m/MS000D.BIN	0:00	10	457	1FD2	Hayasaka:	Hayasaka:	
m/MS000D.BIN	0:00	11	468	1FD3	Katsuragi. I don't know what you're thinking,\nbut please, exercise some goddamn caution!\n<wait>	Katsuragi. I don't know what you're thinking,\nbut please, exercise some goddamn caution!\n<wait>	
m/MS000D.BIN	0:00	12	571	1FD2	Kamikawa:	Kamikawa:	
m/MS000D.BIN	0:00	13	582	1FD3	You've gotta be more careful, Katsuragi!\n<wait>	You've gotta be more careful, Katsuragi!\n<wait>	
m/MS000D.BIN	0:00	14	637	1FD2	Emi:	Emi:	
m/MS000D.BIN	0:00	15	643	1FD3	You've gotta be more careful, Katsuragi!\n<wait>	You've gotta be more careful, Katsuragi!\n<wait>	
m/MS000D.BIN	0:00	16	693	1FD2	Sonoda:	Sonoda:	
m/MS000D.BIN	0:00	17	715	1FD2	Hayasaka:	Hayasaka:	
m/MS000D.BIN	0:00	18	726	1FD3	Phew... That was a close one.<wait>	Phew... That was a close one.<wait>	
m/MS000D.BIN	0:00	19	779	1FD2	Hayasaka:	Hayasaka:	
m/MS000D.BIN	0:00	20	803	1FD2	Kamikawa:	Kamikawa:	
m/MS000D.BIN	0:00	21	814	1FD3	That was a close one...\n<wait>	That was a close one...\n<wait>	
m/MS000D.BIN	0:00	22	865	1FD2	Emi:	Emi:	
m/MS000D.BIN	0:00	23	871	1FD3	Phew... That was a close one.\n<wait>	Phew... That was a close one.\n<wait>	
m/MS000D.BIN	0:00	24	909	1FD2	Emi:	Emi:	
m/MS000D.BIN	0:00	25	915	1FD3	You've gotta be more careful, Katsuragi!\n<wait>	You've gotta be more careful, Katsuragi!\n<wait>	
