# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS000F.BIN	0:00	0	8	1F04			
m/MS000F.BIN	0:00	1	12	1FD0	There's no one here...\n	There's no one here...\n	
m/MS000F.BIN	0:00	2	65	1FD0	You find Ose surrounded by youngsters who have transformed into demons.\n<wait>	You find Ose surrounded by youngsters who have transformed into demons.\n<wait>	
m/MS000F.BIN	0:00	3	271	1FD2	Ose:	Ose:	
m/MS000F.BIN	0:00	4	277	1FD3	{08:72}珍しい客人だ{08:72}生者で、{08:86}も私と同じ臭いを持つ者{08:72}\n私を倒しに来たと{08:56}言うのかね？\n	...What a rare guest... A living being, and one who carries the same scent as me, no less...\nAre you telling me you've come here to defeat me?\n	reads: ‥‥珍しい客人だ‥‥生者で、しかも私と同じ臭いを持つ者‥‥\n私を倒しに来たとでも言うのかね？\n
m/MS000F.BIN	0:00	5	375	1FB2	{08:26}	Yes	reads: はい; menu option, declared width 20 columns
m/MS000F.BIN	0:00	6	379	1FB2	{08:27}	No	reads: いいえ; menu option, declared width 20 columns
m/MS000F.BIN	0:00	7	395	0F	{01:CE}{03:FF}	{01:CE}{03:FF}	reads: 
m/MS000F.BIN	0:00	8	403	1FD2	Ose:	Ose:	
m/MS000F.BIN	0:00	9	409	1FD3	フフ{02:08}強気な{02:08}‥気に入{08:51}ぞ。\n<wait>		reads: フフ‥‥‥強気な‥‥‥‥気に入ったぞ。\n<wait>; was @operand in v1; jp is now correct and needs translating
m/MS000F.BIN	0:00	10	446	1FD2	Ose:	Ose:	
m/MS000F.BIN	0:00	11	452	1FD3	私と取引をし{08:25}か？\n	Won't you make a deal with me?\n	reads: 私と取引をしないか？\n
m/MS000F.BIN	0:00	12	487	1FB2	何だ？	What is it?	menu option, declared width 20 columns
