# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS001E.BIN	0:00	0	68	1FD2	Yamase:	Yamase:	
m/MS001E.BIN	0:00	1	77	1FD3	Did you get your Arm Terminals upgraded? Good.\n<wait>	Did you get your Arm Terminals upgraded? Good.\n<wait>	
m/MS001E.BIN	0:00	2	130	1FD2	Nishino:	Nishino:	
m/MS001E.BIN	0:00	3	140	1FD3	Next up, Hayasaka will guide you through a short\nVirtual Training session.\n<wait>	Next up, Hayasaka will guide you through a short\nVirtual Training session.\n<wait>	
m/MS001E.BIN	0:00	4	221	1FD2	Hayasaka:	Hayasaka:	
m/MS001E.BIN	0:00	5	232	1FD3	Follow after me, you two.\n<wait>	Follow after me, you two.\n<wait>	
m/MS001E.BIN	0:01	0	106	1FD2	Nishino:	Nishino:	
m/MS001E.BIN	0:01	1	116	1FD3	Ah, you're back.\n<wait>Kirishima, Yamase. You're up next.\n<wait>	Ah, you're back.\n<wait>Kirishima, Yamase. You're up next.\n<wait>	
m/MS001E.BIN	0:01	2	180	1FD2	Yamase:	Yamase:	
m/MS001E.BIN	0:01	3	189	1FD3	Alright. Now, you've already learned about the mapping function.\nHowever, that is hardly the Arm Terminal's only feature.\n<wait>	Alright. Now, you've already learned about the mapping function.\nHowever, that is hardly the Arm Terminal's only feature.\n<wait>	
m/MS001E.BIN	0:01	4	319	1FD2	Emi:	Emi:	
m/MS001E.BIN	0:01	5	325	1FD3	Exactly. There are two programs, DDS and DDC,\nwhich will prove invaluable once you actually encounter a demon.\n<wait>	Exactly. There are two programs, DDS and DCS,\nwhich will prove invaluable once you actually encounter a demon.\n<wait>	
m/MS001E.BIN	0:01	6	444	1FD2	Emi:	Emi:	
m/MS001E.BIN	0:01	7	450	1FD3	As you know, the surface world is currently ruled over by demons.\nNot all of them are necessarily hostile towards us humans, however.\n<wait>	As you know, the surface world is currently ruled over by demons.\nNot all of them are necessarily hostile towards us humans, however.\n<wait>	
m/MS001E.BIN	0:01	8	592	1FD2	Yamase:	Yamase:	
m/MS001E.BIN	0:01	9	601	1FD3	It's better to focus our resources towards taking down the demons who\nare actively trying to kill us, and not waste any resources on those\nwho are more or less neutral.\n<wait>	It's better to focus our resources towards taking down the demons who\nare actively trying to kill us, and not waste any resources on those\nwho are more or less neutral.\n<wait>	
m/MS001E.BIN	0:01	10	778	1FD2	Yamase:	Yamase:	
m/MS001E.BIN	0:01	11	787	1FD3	When facing such demons, you'll find that you can often simply talk your\nway out of having to fight them. Better yet, it's sometimes even\npossible to recruit them to your side.\n<wait>	When facing such demons, you'll find that you can often simply talk your\nway out of having to fight them. Better yet, it's sometimes even\npossible to recruit them to your side.\n<wait>	
m/MS001E.BIN	0:01	12	972	1FD2	Emi:	Emi:	
