# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS0030.BIN	0:01	0	11	1FD0	This is the entrance to Harajuku Shelter.\nHowever, the door is locked, and won't budge an inch.\n<wait>	This is the entrance to Harajuku Shelter.\nHowever, the door is locked, and won't budge an inch.\n<wait>	
m/MS0030.BIN	0:01	1	283	1F03	{=88}{=02}{=88}{=03}{=88}{=04}{=88}{=05}	{=88}{=02}{=88}{=03}{=88}{=04}{=88}{=05}	
m/MS0030.BIN	0:01	2	295	1FD2	Nishino:	Nishino:	
m/MS0030.BIN	0:01	3	305	1FD3	Is this really it...?\n<wait>No, no. We can't give up yet.\n<wait>	Is this really it...?\n<wait>No, no. We can't give up yet.\n<wait>	
m/MS0030.BIN	0:01	4	369	1FD0	Nishino places his Arm Terminal against the control panel\nand attempts to open the door.\n<wait>	Nishino places his Arm Terminal against the control panel\nand attempts to open the door.\n<wait>	
m/MS0030.BIN	0:01	5	466	1FD2	Nishino:	Nishino:	
m/MS0030.BIN	0:01	6	476	1FD3	What!? There's no power!\n<wait>	What!? There's no power!\n<wait>	
m/MS0030.BIN	0:01	7	509	1FD2	Nishino:	Nishino:	
m/MS0030.BIN	0:01	8	519	1FD3	If there's no power, then that means that the people inside are--\n<wait>	If there's no power, then that means that the people inside are...\n<wait>	
m/MS0030.BIN	0:01	9	593	1FD2	Nishino:	Nishino:	
m/MS0030.BIN	0:01	10	603	1FD3	We have no choice but to call for additional support.\n<wait>	We have no choice but to call for additional support.\n<wait>	
m/MS0030.BIN	0:01	11	665	1FD0	With that, Nishino turns on his communicator.\n<wait>	With that, Nishino turns on his communicator.\n<wait>	
m/MS0030.BIN	0:01	12	727	1FD2	Nishino:	Nishino:	
m/MS0030.BIN	0:01	13	737	1FD3	This is the commander of Devil Buster Squad Two.\nWe have an urgent message for the Administrator's Office.\n<wait>	This is the commander of Devil Buster Squad Two.\nWe have an urgent message for the Administrator's Office.\n<wait>	
m/MS0030.BIN	0:01	14	860	1FD2	Administrator's Office:	Administrator's Office:	
m/MS0030.BIN	0:01	15	885	1FD3	We read you. What is the message?\n<wait>	We read you. What is the message?\n<wait>	
m/MS0030.BIN	0:01	16	929	1FD2	Nishino:	Nishino:	
m/MS0030.BIN	0:01	17	939	1FD3	We are currently standing outside of Harajuku Shelter.\nThe shelter's power has gone down, blocking us from entering.\n<wait>	We are currently standing outside of Harajuku Shelter.\nThe shelter's power has gone down, blocking us from entering.\n<wait>	
m/MS0030.BIN	0:01	18	1064	1FD2	Nishino:	Nishino:	
m/MS0030.BIN	0:01	19	1074	1FD3	We have reason to believe that there are survivors inside in need\nof help. Please dispatch an engineering squad immediately to our\ncurrent location.\n<wait>	We have reason to believe that there are survivors inside in need\nof help. Please dispatch an engineering squad immediately to our\ncurrent location.\n<wait>	
m/MS0030.BIN	0:01	20	1235	1FD2	Administrator's Office:	Administrator's Office:	
m/MS0030.BIN	0:01	21	1260	1FD3	Negative.\nYour orders are to return to base at once.\n<wait>	Negative.\nYour orders are to return to base at once.\n<wait>	
m/MS0030.BIN	0:01	22	1323	1FD2	Nishino:	Nishino:	
m/MS0030.BIN	0:01	23	1333	1FD3	......\n<wait>	......\n<wait>	
m/MS0030.BIN	0:01	24	1352	1FD2	Administrator's Office:	Administrator's Office:	
m/MS0030.BIN	0:01	25	1377	1FD3	You will be placed under house arrest upon arrival\nfor disobeying orders. Fail to return immediately,\nand your punishment will be even harsher.\n<wait>	You will be placed under house arrest upon arrival\nfor disobeying orders. Fail to return immediately,\nand your punishment will be even harsher.\n<wait>	
m/MS0030.BIN	0:01	26	1529	1FD2	Administrator's Office:	Administrator's Office:	
m/MS0030.BIN	0:01	27	1554	1FD3	The matter of Harajuku Shelter will be\nhandled by Squad One.\n<wait>	The matter of Harajuku Shelter will be\nhandled by Squad One.\n<wait>	
m/MS0030.BIN	0:01	28	1623	1FD2	Administrator's Office:	Administrator's Office:	
m/MS0030.BIN	0:01	29	1648	1FD3	That is all.\n<wait>	That is all.\n<wait>	
m/MS0030.BIN	0:01	30	1673	1FD0	The transmission ends there.\n<wait>	The transmission ends there.\n<wait>	
m/MS0030.BIN	0:01	31	1710	1FD2	Nishino:	Nishino:	
m/MS0030.BIN	0:01	32	1720	1FD3	If the power is down,\nthen that means that the shelter isn't getting any oxygen.\n<wait>	If the power is down,\nthen that means that the shelter isn't getting any oxygen.\n<wait>	
m/MS0030.BIN	0:01	33	1809	1FD2	Nishino:	Nishino:	
