# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS006C.BIN	0:00	0	16	1FD2	Sonoda:	Sonoda:	
m/MS006C.BIN	0:00	1	25	1FD3	There's a special jail cell just up ahead.\nThat's where she's being kept!\n<wait>	There's a special jail cell just up ahead.\nThat's where she's being kept!\n<wait>	
m/MS006C.BIN	0:00	2	108	1FD0	According to Sonoda, there's a special jail cell just up ahead.\nThat's where Rui's being kept.\n<wait>	According to Sonoda, there's a special jail cell just up ahead.\nThat's where Rui's being kept.\n<wait>	
m/MS006C.BIN	0:00	3	263	1FD2	Sonoda:	Sonoda:	
m/MS006C.BIN	0:00	4	277	0B	Katsuragi! More soldiers are coming! We can't turn back now!\n<wait>	Katsuragi! More soldiers are coming! We can't turn back now!\n<wait>	
m/MS006C.BIN	0:00	5	345	18	More soldiers are coming! We can't turn back now!\n<wait>	More soldiers are coming! We can't turn back now!\n<wait>	
m/MS006C.BIN	0:00	6	519	1FD2	Rui:	Rui:	
m/MS006C.BIN	0:00	7	525	1FD3	There's a staircase at the end of this hallway!\n<wait>	There's a staircase at the end of this hallway!\n<wait>	
m/MS006C.BIN	0:00	8	591	1FD2	Sonoda:	Sonoda:	
m/MS006C.BIN	0:00	9	600	1FD3	There's a staircase at the end of this hallway!\n<wait>	There's a staircase at the end of this hallway!\n<wait>	
m/MS006C.BIN	0:00	10	661	1FD0	It appears that there's a staircase at the end of this hallway.\n<wait>	It appears that there's a staircase at the end of this hallway.\n<wait>	
m/MS006C.BIN	0:00	11	742	1FD2	Sonoda:	Sonoda:	
m/MS006C.BIN	0:00	12	756	0B	Katsuragi! This is no time to be turning back!\nThe jail cell where she's being kept is just up ahead!\n<wait>	Katsuragi! This is no time to be turning back!\nThe jail cell where she's being kept is just up ahead!\n<wait>	
m/MS006C.BIN	0:00	13	865	18	This is no time to be turning back!\nThe jail cell where she's being kept is just up ahead!\n<wait>	This is no time to be turning back!\nThe jail cell where she's being kept is just up ahead!\n<wait>	
m/MS006C.BIN	0:00	14	965	1FD0	The jail cell where Rui is being kept is just up ahead.\n<wait>	The jail cell where Rui is being kept is just up ahead.\n<wait>	
m/MS006C.BIN	0:00	15	1027	1FBA	You've come way too far to turn back now.\n<wait>	You've come way too far to turn back now.\n<wait>	
m/MS006C.BIN	0:01	0	48	1FD2	Baal Soldier:	Baal Soldier:	
m/MS006C.BIN	0:01	1	63	1FD3	Found you!\n<wait>	Found you!\n<wait>	
m/MS006C.BIN	0:01	2	83	1EBE	{01:00}{01:04}	{01:00}{01:04}	reads: 早坂達也西野義雄
m/MS006C.BIN	0:01	3	89	00	d{04:FF}	d{04:FF}	reads: d
m/MS006C.BIN	0:01	4	93	00	d	d	
m/MS006C.BIN	0:01	5	118	1E00			
m/MS006C.BIN	0:01	6	137	1FD2	Sonoda:	Sonoda:	
m/MS006C.BIN	0:01	7	146	1FD3	There's no time to turn back! Let's hurry!\n<wait>	There's no time to turn back! Let's hurry!\n<wait>	
m/MS006C.BIN	0:01	8	203	1FD2	Rui:	Rui:	
m/MS006C.BIN	0:01	9	209	1FD3	There's no time to turn back! Let's hurry!\n<wait>	There's no time to turn back! Let's hurry!\n<wait>	
m/MS006C.BIN	0:01	10	261	1FD0	There's no time to turn back. You should hurry.\n<wait>	There's no time to turn back. You should hurry.\n<wait>	
m/MS006C.BIN	0:02	0	10	1FD2	Sonoda:	Sonoda:	
m/MS006C.BIN	0:02	1	24	0B	What the hell, Katsuragi!? This is not where we're supposed to be going!\n<wait>	What the hell, Katsuragi!? This is not where we're supposed to be going!\n<wait>	
m/MS006C.BIN	0:02	2	104	18	Let's not go there. I'm too young to die.\n<wait>	Let's not go there. I'm too young to die.\n<wait>	
m/MS006C.BIN	0:02	3	155	1FD0	There's nothing to be gained from going here.\n<wait>	There's nothing to be gained from going here.\n<wait>	
m/MS006C.BIN	0:02	4	207	1FBA	You walk away.\n<wait>	You walk away.\n<wait>	
m/MS006C.BIN	0:03	0	18	1FD2	Sonoda:	Sonoda:	
m/MS006C.BIN	0:03	1	27	1FD3	Shit! The big man himself is coming!\n<wait>	Shit! The big man himself is coming!\n<wait>	
m/MS006C.BIN	0:03	2	80	1FD2	Rui:	Rui:	
m/MS006C.BIN	0:03	3	86	1FD3	Crap! Baalzephon is coming!\n<wait>	Crap! Baalzephon is coming!\n<wait>	
m/MS006C.BIN	0:03	4	125	1FD0	You see a demon coming towards you. It's Baalzephon!\n<wait>	You see a demon coming towards you. It's Baalzephon!\n<wait>	
m/MS006C.BIN	0:03	5	184	1FD0	It appears that Yamase went to bring him to you.\n<wait>	It appears that Yamase went to bring him to you.\n<wait>	
m/MS006C.BIN	0:03	6	264	1FD2	Baalzephon:	Baalzephon:	
m/MS006C.BIN	0:03	7	277	1FD3	How truly pathetic...\n<wait>	How truly pathetic...\n<wait>	
m/MS006C.BIN	0:03	8	307	1FD2	Baalzephon:	Baalzephon:	
m/MS006C.BIN	0:03	9	325	09	Katsuragi Ayato. I saw potential in you,\nand went as far as to accept you into my ranks.\n<wait>Is this how you reward me? Traitor!!\n<wait>	Katsuragi Ayato. I saw potential in you,\nand went as far as to accept you into my ranks.\n<wait>Is this how you reward me? Traitor!!\n<wait>	
m/MS006C.BIN	0:03	10	464	18	Well, regardless. I was planning on executing you anyway.\n<wait>	Well, regardless. I was planning on executing you anyway.\n<wait>	
m/MS006C.BIN	0:03	11	530	1FD2	Baalzephon:	Baalzephon:	
m/MS006C.BIN	0:03	12	543	1FD3	This just saves me the trouble.\n<wait>	This just saves me the trouble.\n<wait>	
m/MS006C.BIN	0:03	13	583	1FD2	Baalzephon:	Baalzephon:	
m/MS006C.BIN	0:03	14	596	1FD3	Now, come. All that awaits you is death!\n<wait>	Now, come. All that awaits you is death!\n<wait>	
m/MS006C.BIN	0:03	15	643	1FBA	We'll see about that! Time to show him what you're made of!!\n<wait>	We'll see about that! Time to show him what you're made of!!\n<wait>	
m/MS006C.BIN	0:03	16	715	1EBE	{01:00}{01:04}	{01:00}{01:04}	reads: 早坂達也西野義雄
m/MS006C.BIN	0:03	17	721	00	d{04:FF}	d{04:FF}	reads: d
m/MS006C.BIN	0:03	18	725	00	d	d	
m/MS006C.BIN	0:03	19	748	1F82	p	p	
m/MS006C.BIN	0:03	20	751	00	{01:D2}{=E9}{=00}	{01:D2}{=E9}{=00}	reads: {=E9}{=00}
m/MS006C.BIN	0:03	21	772	1FD2	Baalzephon:	Baalzephon:	
m/MS006C.BIN	0:03	22	785	1FD3	D-Dammit...\n<wait>	D-Dammit...\n<wait>	
m/MS006C.BIN	0:03	23	805	1FD2	Baalzephon:	Baalzephon:	
m/MS006C.BIN	0:03	24	818	1FD3	I cannot believe this... Me? Bested by the likes of you?\nI see now how you were able to defeat Dantalion...\n<wait>	I cannot believe this... Me? Bested by the likes of you?\nI see now how you were able to defeat Dantalion...\n<wait>	
m/MS006C.BIN	0:03	25	960	1FD2	Yamase:	Yamase:	
m/MS006C.BIN	0:03	26	969	1FD3	Whoa... You actually beat him...\n<wait>	Whoa... You actually beat him...\n<wait>	
m/MS006C.BIN	0:03	27	1010	1FD2	Yamase:	Yamase:	
m/MS006C.BIN	0:03	28	1019	1FD3	L-Listen! I was only being used by him! Yeah!\nAnd now that he's dead, I got no allegiance to these guys.\nCatch ya later!\n<wait>	L-Listen! I was only being used by him! Yeah!\nAnd now that he's dead, I got no allegiance to these guys.\nCatch ya later!\n<wait>	
m/MS006C.BIN	0:03	29	1161	1F03	{=88}{=13}	{=88}{=13}	
m/MS006C.BIN	0:03	30	1167	1FD2	Sonoda:	Sonoda:	
m/MS006C.BIN	0:03	31	1176	1FD3	Hold it right there!\n<wait>	Hold it right there!\n<wait>	
m/MS006C.BIN	0:03	32	1219	1FB2	Yamase, wait!	Yamase, wait!	menu option, declared width 20 columns
m/MS006C.BIN	0:03	33	1234	1FB2	Let him go	Let him go	menu option, declared width 20 columns
m/MS006C.BIN	0:03	34	1258	0F	{01:71}	{01:71}	reads: 
m/MS006C.BIN	0:03	35	1261	00			
m/MS006C.BIN	0:03	36	1264	1FD0	You and Sonoda get ready to chase after Yamase.\n<wait>	You and Sonoda get ready to chase after Yamase.\n<wait>	
m/MS006C.BIN	0:03	37	1318	1FBA	However, before you're able to, Rui stops you.\n<wait>	However, before you're able to, Rui stops you.\n<wait>	
m/MS006C.BIN	0:03	38	1376	1FD2	Sonoda:	Sonoda:	
m/MS006C.BIN	0:03	39	1385	1FD3	However...\n<wait>	However...\n<wait>	
m/MS006C.BIN	0:03	40	1404	1FD2	Rui:	Rui:	
m/MS006C.BIN	0:03	41	1410	1FD3	We've gotta get out of here! More soldiers are on their way!\n<wait>	We've gotta get out of here! More soldiers are on their way!\n<wait>	
m/MS006C.BIN	0:03	42	1479	1FD2	Sonoda:	Sonoda:	
m/MS006C.BIN	0:03	43	1488	1FD3	Right... Yeah. You got a point.\n<wait>	Right... Yeah. You got a point.\n<wait>	
m/MS006C.BIN	0:03	44	1537	1F03	{08:13}>What will you do?\n	{08:13}>What will you do?\n	reads: している>What will you do?\n
m/MS006C.BIN	0:03	45	1576	1FB2	Chase him	Chase him	menu option, declared width 20 columns
m/MS006C.BIN	0:03	46	1587	1FB2	Ignore him	Ignore him	menu option, declared width 20 columns
m/MS006C.BIN	0:03	47	1611	0F	{01:BC}{01:FF}	{01:BC}{01:FF}	reads: 
m/MS006C.BIN	0:03	48	1619	1FD0	You decide to chase Yamase.\n<wait>	You decide to chase Yamase.\n<wait>	
m/MS006C.BIN	0:03	49	1664	1FD2	Rui:	Rui:	
m/MS006C.BIN	0:03	50	1670	1FD3	No... Reinforcements are coming...\n<wait>We should... hurry up and escape...\n<wait>	No... Reinforcements are coming...\n<wait>We should... hurry up and escape...\n<wait>	
m/MS006C.BIN	0:03	51	1753	1FD0	She might have a point.\nThere's not much you can do given the damage you've suffered.\n<wait>	She might have a point.\nThere's not much you can do given the damage you've suffered.\n<wait>	
m/MS006C.BIN	0:03	52	1845	1FBA	You decide to let Yamase run away.\n<wait>	You decide to let Yamase run away.\n<wait>	
m/MS006C.BIN	0:03	53	1887	18	Then again, given the condition Sonoda and Rui are in,\\it's not like you can just leave them behind.\n<wait>	Then again, given the condition Sonoda and Rui are in,\\it's not like you can just leave them behind.\n<wait>	
m/MS006C.BIN	0:03	54	1994	1FBA	Perhaps it would be for the best to focus on getting away.\n<wait>	Perhaps it would be for the best to focus on getting away.\n<wait>	
m/MS006C.BIN	0:03	55	2062	1FD0	You decide to do just that.\n<wait>	You decide to do just that.\n<wait>	
m/MS006C.BIN	0:03	56	2105	1F03	{08:13}	{08:13}	reads: している
m/MS006C.BIN	0:03	57	2111	1FD2	Sonoda:	Sonoda:	
m/MS006C.BIN	0:03	58	2120	1FD3	Hold it right there!\n<wait>	Hold it right there!\n<wait>	
m/MS006C.BIN	0:03	59	2149	1FD0	Sonoda begins chasing after Yamase.\n<wait>However, he quickly stops.\n<wait>	Sonoda begins chasing after Yamase.\n<wait>However, he quickly stops.\n<wait>	
m/MS006C.BIN	0:03	60	2224	1FD2	Sonoda:	Sonoda:	
m/MS006C.BIN	0:03	61	2233	1FD3	No... I can't leave those two behind.\n<wait>	No... I can't leave those two behind.\n<wait>	
m/MS006C.BIN	0:03	62	2279	1FD2	Sonoda:	Sonoda:	
m/MS006C.BIN	0:03	63	2288	1FD3	We need to focus on getting away from here!\n<wait>	We need to focus on getting away from here!\n<wait>	
m/MS006C.BIN	0:03	64	2347	1F03	{=88}{=13}	{=88}{=13}	
m/MS006C.BIN	0:03	65	2353	1FD2	Rui:	Rui:	
m/MS006C.BIN	0:03	66	2359	1FD3	What a coward...\n<wait>	What a coward...\n<wait>	
m/MS006C.BIN	0:03	67	2384	1FD2	Rui:	Rui:	
