# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS00B3.BIN	0:02	0	10	00	ｳ{05:02}	{05:02}	reads: ｳ切り
m/MS00B3.BIN	0:02	1	14	00	ｳ{06:03}	{06:03}	reads: ｳ
m/MS00B3.BIN	0:02	2	18	00	ｳ{07:04}	{07:04}	reads: ｳ＞攻撃しますか？
m/MS00B3.BIN	0:02	3	22	00	ｳ{08:05}	{08:05}	reads: ｳコンピュータ
m/MS00B3.BIN	0:02	4	26	00	ｳ		@skip isolated stray half-width kana glyph, no reads context, not readable Japanese
m/MS00B3.BIN	0:02	5	32	09			
m/MS00B3.BIN	0:03	0	9	1F19	{01:2B}	{01:2B}	reads: ゾンビ
m/MS00B3.BIN	0:03	1	12	00	{02:01}?	{02:01}?	reads: ペンタグランマ?
m/MS00B3.BIN	0:03	2	16	00	{03:01}R	{03:01}R	reads: そんなことR
m/MS00B3.BIN	0:03	3	20	00	{04:01}d	{04:01}d	reads: 切りd
m/MS00B3.BIN	0:03	4	24	00	{05:01}v	{05:01}v	reads: 飛び道具v
m/MS00B3.BIN	0:03	5	28	00	{06:01}{=85}{=00}	{06:01}{=85}{=00}	reads: {=85}{=00}
m/MS00B3.BIN	0:03	6	34	1B	Bartender	Bartender	
m/MS00B3.BIN	0:03	7	56	1B	Cyber Woman	Cyber Woman	
m/MS00B3.BIN	0:03	8	80	1B	Young Girl	Young Girl	
m/MS00B3.BIN	0:03	9	103	1B	Cyber Man	Cyber Man	
m/MS00B3.BIN	0:03	10	125	1B	Young Man	Young Man	
m/MS00B3.BIN	0:03	11	147	1B	Maniac	Maniac	
m/MS00B3.BIN	0:03	12	166	1B	Fem Warrior	Fem Warrior	
m/MS00B3.BIN	0:04	0	4	1FD2	Bartender:	Bartender:	
m/MS00B3.BIN	0:04	1	16	1FD3	Welcome! We guarantee that our alcohol is both delicious\nand safe to drink. Please, have a seat.\n<wait>	Welcome! We guarantee that our alcohol is both delicious\nand safe to drink. Please, have a seat.\n<wait>	
m/MS00B3.BIN	0:05	0	4	1FD2	Cyber Woman:	Cyber Woman:	
m/MS00B3.BIN	0:05	1	23	09	I hear that shit has really hit the fan in Shinjuku.\nWouldn't recommend going anywhere near there if I were you.\n	I hear that shit has really hit the fan in Shinjuku.\nWouldn't recommend going anywhere near there if I were you.\n	
m/MS00B3.BIN	0:05	2	144	09	Ah, how I miss Asakusa...\n<wait>	Ah, how I miss Asakusa...\n<wait>	
