# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS00D1.BIN	0:00	0	16	1FB2	フォント系		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:00	1	28	1FB2	テーブル系		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:00	2	40	1FB2	？？？		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:00	3	48	1FB2	空間座標		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:00	4	58	1FB2	終了		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:00	5	78	00	ﾑ{06:02}		reads: ﾑ
m/MS00D1.BIN	0:00	6	82	00	ﾑ		
m/MS00D1.BIN	0:00	7	88	09	{04:01}{04:00}	{04:01}{04:00}	reads: 切りを唱えた！ 
m/MS00D1.BIN	0:01	0	16	1FB2	敵フォント		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:01	1	28	1FB2	ＮＰＣフォント		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:01	2	44	1FB2	背景フォント		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:01	3	58	1FB2	全画面フォント		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:01	4	74	1FB2	戻る		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:01	5	94	00	ﾑ{03:02}		reads: ﾑを攻撃し
m/MS00D1.BIN	0:01	6	98	00	ﾑ{04:03}		reads: ﾑ　
m/MS00D1.BIN	0:01	7	102	00	ﾑ{08:04}{01:04}		reads: ﾑ西野西野義雄
m/MS00D1.BIN	0:01	8	108	00			
m/MS00D1.BIN	0:02	0	2	1FBA	敵フォント表示\n		@skip
m/MS00D1.BIN	0:02	1	58	1FB2	番号入力		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:02	2	68	1FB2	次フォント		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:02	3	80	1FB2	前フォント		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:02	4	92	1FB2	次距離		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:02	5	100	1FB2	次パレット		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:02	6	112	1FB2	ウィンドウ消去		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:02	7	128	1FB2	戻る		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:02	8	147	1F12	{01:52}	{01:52}	reads: 
m/MS00D1.BIN	0:02	9	150	00	{02:01}Z	{02:01}Z	reads: ペンタグランマZ
m/MS00D1.BIN	0:02	10	154	00	{03:01}u	{03:01}u	reads: そんなことu
m/MS00D1.BIN	0:02	11	158	00	{04:01}{=8B}{=00}{05:01}{=9F}{=00}{06:01}	{04:01}{=8B}{=00}{05:01}{=9F}{=00}{06:01}	reads: 切り{=8B}{=00}飛び道具{=9F}{=00}
m/MS00D1.BIN	0:02	12	170	00			
m/MS00D1.BIN	0:02	13	174	18	表示{08:8E}フォント番号を入力{08:4A}{08:6E}\n		reads: 表示するフォント番号を入力してください\n
m/MS00D1.BIN	0:02	14	255	1F82	ﾅ小値{08:55}\n		reads: ﾅ小値です\n
m/MS00D1.BIN	0:02	15	349	1FFB	フォント番号：		@skip
m/MS00D1.BIN	0:02	16	373	1F02	距離　（ＦＣ		
m/MS00D1.BIN	0:02	17	404	00	{02:1F}N{03:00}{01:00} {05:0A}）　パレット番号：		reads: N飛び道具早坂達也 ママペンタグランマ'そんなこと.切り3飛び道具:A＞何をしますか？M山瀬勇?ペンタグランマ>そんなこと=切り<飛び道具;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ切り山瀬勇?ペンタグランマ>そんなこと=切り<飛び道具;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ切り切り山瀬勇?ペンタグランマ>そんなこと=切り<飛び道具;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ切り切り切り?ペンタグランマ>=<;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ）　パレット番号：
m/MS00D1.BIN	0:02	18	450	1F4F	{01:FF}	{01:FF}	reads: 
m/MS00D1.BIN	0:03	0	2	1FBA	ＮＰＣフォント表示\n		@skip
m/MS00D1.BIN	0:03	1	62	1FB2	番号入力		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:03	2	72	1FB2	次フォント		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:03	3	84	1FB2	前フォント		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:03	4	96	1FB2	次ＣＧＥＮ		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:03	5	108	1FB2	次パレット		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:03	6	120	1FB2	ウィンドウ消去		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:03	7	136	1FB2	戻る		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:03	8	155	1F12	{01:52}	{01:52}	reads: 
m/MS00D1.BIN	0:03	9	158	00	{02:01}Z	{02:01}Z	reads: ペンタグランマZ
m/MS00D1.BIN	0:03	10	162	00	{03:01}u	{03:01}u	reads: そんなことu
m/MS00D1.BIN	0:03	11	166	00	{04:01}{=89}{=00}{05:01}{=9D}{=00}{06:01}{=9E}{=00}	{04:01}{=89}{=00}{05:01}{=9D}{=00}{06:01}{=9E}{=00}	reads: 切り{=89}{=00}飛び道具{=9D}{=00}{=9E}{=00}
m/MS00D1.BIN	0:03	12	182	18	表示{08:8E}フォント番号を入力{08:4A}{08:6E}\n		reads: 表示するフォント番号を入力してください\n
m/MS00D1.BIN	0:03	13	263	1F82	ﾅ小値{08:55}\n		reads: ﾅ小値です\n
m/MS00D1.BIN	0:03	14	355	1FFB	フォント番号：		@skip
m/MS00D1.BIN	0:03	15	373	1F02	（ＦＣ		
m/MS00D1.BIN	0:03	16	388	1F44	{05:0A}）　ＣＧＥＮ番号：		reads: ママペンタグランマ'そんなこと.切り3飛び道具:A＞何をしますか？M山瀬勇?ペンタグランマ>そんなこと=切り<飛び道具;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ切り山瀬勇?ペンタグランマ>そんなこと=切り<飛び道具;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ切り切り山瀬勇?ペンタグランマ>そんなこと=切り<飛び道具;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ切り切り切り?ペンタグランマ>=<;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ）　ＣＧＥＮ番号：
m/MS00D1.BIN	0:03	17	412	1F02	　パレット番号：		
m/MS00D1.BIN	0:04	0	2	1FBA	背景フォント表示\n		@skip
m/MS00D1.BIN	0:04	1	60	1FB2	番号入力		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:04	2	70	1FB2	次フォント		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:04	3	82	1FB2	前フォント		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:04	4	94	1FB2	次ＣＧＥＮ		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:04	5	106	1FB2	次パレット		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:04	6	118	1FB2	ウィンドウ消去		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:04	7	134	1FB2	戻る		menu option, declared width 20 columns; @skip
m/MS00D1.BIN	0:04	8	153	1F12	{01:52}	{01:52}	reads: 
m/MS00D1.BIN	0:04	9	156	00	{02:01}Z	{02:01}Z	reads: ペンタグランマZ
m/MS00D1.BIN	0:04	10	160	00	{03:01}u	{03:01}u	reads: そんなことu
m/MS00D1.BIN	0:04	11	164	00	{04:01}{=89}{=00}{05:01}{=9D}{=00}{06:01}{=9E}{=00}	{04:01}{=89}{=00}{05:01}{=9D}{=00}{06:01}{=9E}{=00}	reads: 切り{=89}{=00}飛び道具{=9D}{=00}{=9E}{=00}
m/MS00D1.BIN	0:04	12	180	18	表示{08:8E}フォント番号を入力{08:4A}{08:6E}\n		reads: 表示するフォント番号を入力してください\n
m/MS00D1.BIN	0:04	13	261	1F82	ﾅ小値{08:55}\n		reads: ﾅ小値です\n
m/MS00D1.BIN	0:04	14	339	1FFB	フォント番号：		@skip
m/MS00D1.BIN	0:04	15	357	1F02	（ＦＣ		
m/MS00D1.BIN	0:04	16	372	1F44	{05:0A}）　ＣＧＥＮ番号：		reads: ママペンタグランマ'そんなこと.切り3飛び道具:A＞何をしますか？M山瀬勇?ペンタグランマ>そんなこと=切り<飛び道具;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ切り山瀬勇?ペンタグランマ>そんなこと=切り<飛び道具;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ切り切り山瀬勇?ペンタグランマ>そんなこと=切り<飛び道具;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ切り切り切り?ペンタグランマ>=<;:＞何をしますか？9達也8そろそろ結界1？０１２３４５６７８９ａｂｃｄｅｆ）　ＣＧＥＮ番号：
m/MS00D1.BIN	0:04	17	396	1F02	　パレット番号：		
m/MS00D1.BIN	0:05	0	32	1FFB	終了{08:8E}場合は絵を右クリック{08:4A}{08:6E}\n		reads: 終了する場合は絵を右クリックしてください\n; @skip
m/MS00D1.BIN	0:05	1	149	1FC3	ウィンドウ内画面座標　Ｘ＝		
m/MS00D1.BIN	0:05	2	179	1F02	、Ｙ＝		
m/MS00D1.BIN	0:05	3	212	1F4F	{01:DB}{02:1F}M{03:01}{01:19}{01:1F}{=ED}{=03}{01:1F}N{03:01}	{01:DB}{02:1F}M{03:01}{01:19}{01:1F}{=ED}{=03}{01:1F}N{03:01}	reads: Mそんなことわれわれおにいちゃん{=ED}{=03}おにいちゃんNそんなこと
m/MS00D1.BIN	0:05	4	231	00	{=E9}{=1F}O{03:00}{01:40}{01:1F}L{03:00}{01:DB}{02:1F}M{03:00}{01:19}{01:8B}ﾔ座標　Ｘ＝		reads: {=E9}{=1F}O飛び道具おにいちゃんL飛び道具M飛び道具われわれﾔ座標　Ｘ＝
m/MS00D1.BIN	0:05	5	271	1F02	、Ｙ＝		
m/MS00D1.BIN	0:05	6	281	1F02	、Ｚ＝		
