# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS00DB.BIN	0:01	0	26	1F80	{03:1E}ｰ{03:19}		reads: ｰ
m/MS00DB.BIN	0:01	1	32	00	{01:A2}	{01:A2}	reads: 
m/MS00DB.BIN	0:01	2	35	00	{01:01}{=9F}{=00}{02:01}｣		reads: 山瀬勇{=9F}{=00}ペンタグランマ｣
m/MS00DB.BIN	0:01	3	43	00	{03:01}ﾏ		reads: そんなことﾏ
m/MS00DB.BIN	0:01	4	47	00	{04:01}	{04:01}	reads: 切り
m/MS00DB.BIN	0:01	5	54	0B	{01:06}{01:3C}{01:07}{01:B2}{01:08}{01:D5}{01:09}{01:F6}{01:0A}{01:14}{02:0B}{01:27}{02:0C}{01:40}{02:0D}{01:29}{03:0E}{01:9E}{03:0F}{01:B9}{03:10}{01:E4}{03:11}{01:0D}{04:12}{01:E8}{05:13}{01:FC}{05:14}{01:0F}{06:15}{01:16}{06:16}{01:2A}{06:17}{01:3A}{06:18}{01:5B}{06:19}{01:69}{06:1A}{01:C4}{07:1B}{01:C8}{07:1C}{01:23}{08:1D}{01:29}{08:1E}{01:89}{08:1F}{01:A3}{08:20}{01:BF}{08:21}{01:D4}{08:22}{01:F0}{08:23}{01:08}	{01:06}{01:3C}{01:07}{01:B2}{01:08}{01:D5}{01:09}{01:F6}{01:0A}{01:14}{02:0B}{01:27}{02:0C}{01:40}{02:0D}{01:29}{03:0E}{01:9E}{03:0F}{01:B9}{03:10}{01:E4}{03:11}{01:0D}{04:12}{01:E8}{05:13}{01:FC}{05:14}{01:0F}{06:15}{01:16}{06:16}{01:2A}{06:17}{01:3A}{06:18}{01:5B}{06:19}{01:69}{06:1A}{01:C4}{07:1B}{01:C8}{07:1C}{01:23}{08:1D}{01:29}{08:1E}{01:89}{08:1F}{01:A3}{08:20}{01:BF}{08:21}{01:D4}{08:22}{01:F0}{08:23}{01:08}	reads: カズミひとつダンタリオンバエルわたしたちわたしはあなたに人間まさか我々させてそうだＭＰＥＸＰ回復敵にわたしをなっさせあなたがたあたしありがとうひとり会話できない！わかってくれたしばらくきた！そうだきたしまったまったていったいったできないバエル
m/MS00DB.BIN	0:01	6	179	09	%{01:74}	%{01:74}	reads: %
m/MS00DB.BIN	0:01	7	187	09	'{01:48}\n({01:69}\n	'{01:48}\n({01:69}\n	reads: '\n(\n
m/MS00DB.BIN	0:01	8	206	00	 is protected by their guardian spirit,\n	 is protected by their guardian spirit,\n	
m/MS00DB.BIN	0:01	9	254	00	 obeyed their possessor.\n	 obeyed their possessor.\n	
m/MS00DB.BIN	0:01	10	280	00	 managed to disobey their possessor.\n	 managed to disobey their possessor.\n	
m/MS00DB.BIN	0:01	11	318	00	 is mesmerized by the enemy.\n	 is mesmerized by the enemy.\n	
m/MS00DB.BIN	0:01	12	348	00	 is charmed by the enemy.\n	 is charmed by the enemy.\n	
m/MS00DB.BIN	0:01	13	383	0B	 overcame the temptations.\n	 overcame the temptations.\n	
m/MS00DB.BIN	0:01	14	414	1FC4	 is freed from the temptations.\n	 is freed from the temptations.\n	
m/MS00DB.BIN	0:01	15	456	18	 momentarily escaped the binding spell.\n	 momentarily escaped the binding spell.\n	
m/MS00DB.BIN	0:01	16	497	00	 fights back against the temptations.\n	 fights back against the temptations.\n	
m/MS00DB.BIN	0:01	17	536	00	 lost themselves to the temptation.\n	 lost themselves to the temptation.\n	
m/MS00DB.BIN	0:01	18	573	00	 got in the way of their allies.\n	 got in the way of their allies.\n	
m/MS00DB.BIN	0:01	19	607	00	 dropped their guard.\n	 dropped their guard.\n	
m/MS00DB.BIN	0:01	20	630	00	 tosses punches everywhere!\n	 tosses punches everywhere!\n	
m/MS00DB.BIN	0:01	21	665	0E	{01:33}	{01:33}	reads: きみ
m/MS00DB.BIN	0:01	22	668	00	({01:57}	({01:57}	reads: (
m/MS00DB.BIN	0:01	23	672	00	2{01:65}	2{01:65}	reads: 2
m/MS00DB.BIN	0:01	24	676	00	\<{01:6F}	\<{01:6F}	reads: \<
m/MS00DB.BIN	0:01	25	680	00	F{01:79}	F{01:79}	reads: F
m/MS00DB.BIN	0:01	26	684	00	P{01:89}	P{01:89}	reads: P
m/MS00DB.BIN	0:01	27	688	00	座り込んで{08:1F}\n		reads: 座り込んでしまった\n
m/MS00DB.BIN	0:01	28	703	00	歌を歌っ{08:14}\n		reads: 歌を歌っている\n
m/MS00DB.BIN	0:01	29	719	00	 threw up.\n	 threw up.\n	
m/MS00DB.BIN	0:01	30	738	1F43	{01:24}で		reads: おかげで
m/MS00DB.BIN	0:01	31	746	00	 mutters random nonsense.\n	 mutters random nonsense.\n	
m/MS00DB.BIN	0:01	32	773	00	 bursts out laughing.\n	 bursts out laughing.\n	
m/MS00DB.BIN	0:01	33	800	00	 stares into space.\n	 stares into space.\n	
m/MS00DB.BIN	0:01	34	825	1FC4	 attacks the wrong target.\n	 attacks the wrong target.\n	
m/MS00DB.BIN	0:01	35	857	1FC4	 falls down onto the ground.\n	 falls down onto the ground.\n	
m/MS00DB.BIN	0:01	36	909	0E	{01:38}	{01:38}	reads: アタシ
m/MS00DB.BIN	0:01	37	912	00			
m/MS00DB.BIN	0:01	38	917	1FC4	 lets out a scream.\n{1E10:01021E}	 lets out a scream.\n{1E10:01021E}	
m/MS00DB.BIN	0:01	39	947	00	 is unable to move.\n	 is unable to move.\n	
m/MS00DB.BIN	0:01	40	968	00	 cannot move their body.\n	 cannot move their body.\n	
m/MS00DB.BIN	0:01	41	994	00	 is overcome by fear.\n	 is overcome by fear.\n	
