# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS00DC.BIN	0:00	0	21	00	ﾜ{07:02}		reads: ﾜ＞どうやって？; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	1	25	00	ﾜ{06:03}		reads: ﾜ; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	2	29	00	ﾜ{03:04}		reads: ﾜ味方; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	3	33	00	ﾜ{03:05}		reads: ﾜ銃口を向けた; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	4	37	00	ﾜ{03:06}		reads: ﾜ自分に; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	5	41	00	ﾜ{03:07}		reads: ﾜ襲いかかっ; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	6	45	00	ﾜ{05:08}		reads: ﾜ; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	7	49	00	ﾜ{02:09}		reads: ﾜ・・・; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	8	53	00	ﾜ		@skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	9	65	00	ﾜ{02:0D}		reads: ﾜさせて; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	10	69	00	ﾜ		@skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	11	81	0F	ﾜ		@skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	12	85	0C	ﾜ{05:12}		reads: ﾜ; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	13	89	00	ﾜ{03:13}		reads: ﾜ目の前に; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	14	93	00	ﾜ{08:14}		reads: ﾜている; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	15	97	00	ﾜ{03:15}		reads: ﾜ; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	16	101	00	ﾜ{03:16}		reads: ﾜ; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	17	105	00	ﾜ{03:17}		reads: ﾜ; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	18	109	00	ﾜ		@skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	19	113	0D	ﾜ		@skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	20	121	00	ﾜ		@skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	21	129	00	ﾜ{02:1D}		reads: ﾜ; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	22	133	00	ﾜ{02:1E}		reads: ﾜ; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	23	137	00	ﾜ{02:1F}		reads: ﾜ; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	24	141	00	ﾜ{03:20}		reads: ﾜ; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:00	25	145	00	ﾜ{04:FF}		reads: ﾜ; @skip pool-index scaffolding (no renderable text)
m/MS00DC.BIN	0:01	0	14	1F80	{04:05}	{04:05}	reads: 　
m/MS00DC.BIN	0:01	1	38	18	{04:0E}	{04:0E}	reads: はの
m/MS00DC.BIN	0:01	2	47	1E5C	, 	, 	
m/MS00DC.BIN	0:02	0	3	0D	became 	became 	
m/MS00DC.BIN	0:02	1	15	00	.\n	.\n	
m/MS00DC.BIN	0:03	0	3	0D	became 	became 	
m/MS00DC.BIN	0:03	1	15	00	.\n	.\n	
m/MS00DC.BIN	0:04	0	3	0D	was afflicted with 	was afflicted with 	
m/MS00DC.BIN	0:04	1	27	00	.\n	.\n	
m/MS00DC.BIN	0:05	0	14	00	{04:EC}に	{04:EC} inflicted 	reads: に
m/MS00DC.BIN	0:05	1	23	00	{04:0F}た\n	{04:0F}.\n	reads: されした\n
m/MS00DC.BIN	0:06	0	8	00	状態に{04:12}た\n	 state.\n	reads: 状態になっさせた\n
m/MS00DC.BIN	0:07	0	10	1E5C	died.	died.	
m/MS00DC.BIN	0:07	1	18	18	was defeated.       \n	was defeated.       \n	
m/MS00DC.BIN	0:08	0	3	0D	踊{04:15}{04:16}た\n	 started dancing.\n	reads: 踊りらせ出した\n
m/MS00DC.BIN	0:09	0	7	0D	was cursed.	was cursed.	
m/MS00DC.BIN	0:0A	0	7	0D	became dozy.\n	became dozy.\n	
m/MS00DC.BIN	0:0B	0	3	0D	became sleepy.	became sleepy.	
m/MS00DC.BIN	0:0C	0	10	1E5C	became trapped by illusions.\n	became trapped by illusions.\n	
m/MS00DC.BIN	0:0D	0	7	0D	can no longer see.\n	can no longer see.\n	
m/MS00DC.BIN	0:0E	0	7	0D	had their magic sealed.\n	had their magic sealed.\n	
m/MS00DC.BIN	0:0F	0	3	0D	was hurt.\n	was hurt.\n	
